web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572898633-688","https://www.zillow.com/homes/san-carlos,-ca_rb/","","https://www.zillow.com/homedetails/20-Elston-Ct-San-Carlos-CA-94070/15559226_zpid/","San Carlos, CA 94070","Pre-foreclosure","20 Elston Ct,","","","null","4","null","$1,687,695","$1,687,695","Single Family","1991","Forced air","Central","Single Family","0.26 acres","null","9","9","9","{""targetDiv"":""gpt-ad-d1594bca-ef98-4062-9dab-8a916d17dd6d"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""20 Elston Ct"",""bd"":""4"",""city"":""San_Carlos"",""proptp"":""sfh"",""pid"":""15559226"",""lot"":""3"",""zestibuck"":""2-2_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""2937837331314098362"",""sqftrange"":""2000-2499"",""price"":""2280670"",""sqft"":""2430"",""posting_url"":"""",""mlong"":""-122.27625"",""state"":""CA"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""94070"",""mlat"":""37.49727"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS1fobhj1lbzm41000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""1990-1999"",""zestimate"":""2280670"",""premieragent"":""no""}}","null","null","null","null"
"1572898749-773","https://www.zillow.com/homes/san-carlos,-ca_rb/","","https://www.zillow.com/homedetails/1326-Crestview-Dr-San-Carlos-CA-94070/15559070_zpid/","San Carlos, CA 94070","For sale","1326 Crestview Dr,","","","2,914","4","3","null","$2,848,000","Single Family","1973","Forced air, Other","None","Single Family","0.33 acres","$8,000/mo","9","9","9","{""targetDiv"":""gpt-ad-129b545b-0dac-4895-a6ba-e6343fd695aa"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1326 Crestview Dr"",""bd"":""4"",""fsbid"":""4383"",""city"":""San_Carlos"",""proptp"":""sfh"",""pid"":""15559070"",""lot"":""3"",""zestibuck"":""2_5-2_999m"",""listtp"":""buy_agent"",""zguidh"":""-870417527237926067"",""sqftrange"":""2500-2999"",""price"":""2848000"",""sqft"":""2914"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/san-carlos/1326-crestview-dr/pid_33553873/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.281713"",""state"":""CA"",""park"":""yes"",""prange"":""2_5-2_999m"",""zip"":""94070"",""mlat"":""37.478554"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzzxt4uvmsxb81000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""1970-1979"",""zestimate"":""2848019"",""premieragent"":""no""}}","null","null","null","null"
"1572898669-710","https://www.zillow.com/homes/san-carlos,-ca_rb/","","https://www.zillow.com/homedetails/2940-Sherwood-Dr-San-Carlos-CA-94070/15562592_zpid/","San Carlos, CA 94070","For sale","2940 Sherwood Dr,","","","2,020","3","2","$1,792,682","$1,750,000","Single Family","1963","Forced air","None","Single Family","7,649 sqft","$5,200/mo","7","6","null","No Data","null","null","null","null"
"1572898766-783","https://www.zillow.com/homes/san-carlos,-ca_rb/","","https://www.zillow.com/homedetails/2300-San-Carlos-Ave-San-Carlos-CA-94070/15555935_zpid/","San Carlos, CA 94070","For sale by owner","2300 San Carlos Ave,","","","1,230","3","1","$1,512,776","$1,595,000","Single Family","1947","Forced air, Other","No Data","Single Family","6,490 sqft","$4,200/mo","9","9","9","{""targetDiv"":""gpt-ad-97c41082-6555-443f-be58-6c46119460b9"",""slot"":""zillow/property_details/buy_owner/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2300 San Carlos Ave"",""bd"":""3"",""city"":""San_Carlos"",""proptp"":""sfh"",""pid"":""15555935"",""lot"":""2"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_owner"",""zguidh"":""-3027486173233744511"",""sqftrange"":""1000-1499"",""price"":""1595000"",""sqft"":""1230"",""posting_url"":"""",""mlong"":""-122.277735"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""94070"",""mlat"":""37.502633"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISj3i3z3dt7r8c0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1940-1959"",""zestimate"":""1512776"",""premieragent"":""no""}}","null","null","null","null"
"1572898756-778","https://www.zillow.com/homes/san-carlos,-ca_rb/","","https://www.zillow.com/homedetails/1101-Elm-St-San-Carlos-CA-94070/15561897_zpid/","San Carlos, CA 94070","For sale","1101 Elm St,","","","1,240","3","2","$1,786,418","$1,598,000","Single Family","1946","Forced air","None","Single Family","4,878 sqft","$4,250/mo","9","10","6","No Data","null","null","null","null"
"1572898622-680","https://www.zillow.com/homes/san-carlos,-ca_rb/","","https://www.zillow.com/homedetails/421-Portofino-Dr-San-Carlos-CA-94070/15558411_zpid/","San Carlos, CA 94070","Pre-foreclosure / auction","421 Portofino Dr,","2","https://www.zillow.com/san-carlos-ca/2_p/","null","1","null","null","null","Apartment","1963","No Data","No Data","Apartment","null","null","9","9","9","No Data","null","null","null","null"
"1572898697-736","https://www.zillow.com/homes/san-carlos,-ca_rb/","","https://www.zillow.com/homedetails/333-Oakview-Dr-San-Carlos-CA-94070/15561173_zpid/","San Carlos, CA 94070","For sale","333 Oakview Dr,","","","1,500","3","3","$1,937,220","$1,795,000","Single Family","1952","Forced air","Central","Single Family","5,501 sqft","$5,475/mo","9","10","6","{""targetDiv"":""gpt-ad-3bcf5c3b-a8d3-481d-9cff-27dbe88fd870"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""333 Oakview Dr"",""bd"":""3"",""fsbid"":""13698"",""city"":""San_Carlos"",""proptp"":""sfh"",""pid"":""15561173"",""lot"":""2"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""3327355264745841089"",""sqftrange"":""1500-1999"",""price"":""1795000"",""sqft"":""1500"",""posting_url"":""http://www.jllaminette.com"",""mlong"":""-122.258035"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""94070"",""mlat"":""37.490399"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnux41m83hj501000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1940-1959"",""zestimate"":""1937220"",""premieragent"":""no""}}","null","null","null","null"
"1572898641-692","https://www.zillow.com/homes/san-carlos,-ca_rb/","","https://www.zillow.com/homedetails/209-Bay-View-Dr-San-Carlos-CA-94070/15554784_zpid/","San Carlos, CA 94070","For sale","209 Bay View Dr,","","","2,700","3","2","$2,275,019","$2,275,000","Single Family","1958","Forced air","None","Single Family","0.3 acres","$5,889/mo","9","9","9","{""targetDiv"":""gpt-ad-9fc87348-81e3-46ed-9f83-9b808df78469"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""209 Bay View Dr"",""bd"":""3"",""fsbid"":""13698"",""city"":""San_Carlos"",""proptp"":""sfh"",""pid"":""15554784"",""lot"":""3"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-3696869624667405665"",""sqftrange"":""2500-2999"",""price"":""2275000"",""sqft"":""2700"",""posting_url"":"""",""mlong"":""-122.283161"",""state"":""CA"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""94070"",""mlat"":""37.500018"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7ea7p95kqw2k0000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""1940-1959"",""zestimate"":""2275019"",""premieragent"":""no""}}","null","null","null","null"
"1572898761-781","https://www.zillow.com/homes/san-carlos,-ca_rb/","","https://www.zillow.com/homedetails/1-Elm-St-APT-102-San-Carlos-CA-94070/15636326_zpid/","San Carlos, CA 94070","For sale","1 Elm St APT 102,","","","1,180","2","2","$1,001,157","$948,888","Condo","1981","Forced air","None","Condo","$480/month","$3,800/mo","null","null","null","{""targetDiv"":""gpt-ad-740d65ea-7dee-4640-92a0-bbb9041d5b5e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 102"",""aamgnrc1"":""1 Elm St"",""bd"":""2"",""fsbid"":""13698"",""city"":""San_Carlos"",""proptp"":""cnd"",""pid"":""15636326"",""lot"":""5"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""8596161621051040651"",""sqftrange"":""1000-1499"",""price"":""948888"",""oh"":""yes"",""sqft"":""1180"",""posting_url"":""http://www.roselynegenin.com"",""mlong"":""-122.268577"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94070"",""mlat"":""37.512978"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7q7dp76m72yj0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1980-1989"",""zestimate"":""1001157"",""premieragent"":""no""}}","null","null","null","null"
"1572898679-720","https://www.zillow.com/homes/san-carlos,-ca_rb/","","https://www.zillow.com/homedetails/1001-Laurel-St-UNIT-104-San-Carlos-CA-94070/96067329_zpid/","San Carlos, CA 94070","For sale","1001 Laurel St UNIT 104,","","","1,094","2","2","$1,113,157","$1,050,000","Condo","2009","Forced air","Central","Condo","$587/month","$4,500/mo","9","10","6","{""targetDiv"":""gpt-ad-4c0371e2-34d2-4413-b577-f2ad5dd7061e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Unit 104"",""aamgnrc1"":""1001 Laurel St"",""bd"":""2"",""fsbid"":""14224"",""city"":""San_Carlos"",""proptp"":""cnd"",""pid"":""96067329"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""3834885950629363720"",""sqftrange"":""1000-1499"",""price"":""1050000"",""sqft"":""1094"",""posting_url"":""http://www.MaryAnnT.com"",""mlong"":""-122.254092"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94070"",""mlat"":""37.501337"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3zvuw025sfb90000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2000-2009"",""zestimate"":""1113157"",""premieragent"":""no""}}","null","null","null","null"
