web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount,next_page6,next_page6-href,next_page7,next_page7-href,next_page8,next_page8-href,next_page9,next_page9-href,next_page10,next_page10-href,next_page11,next_page11-href,next_page12,next_page12-href,next_page13,next_page13-href,next_page14,next_page14-href,next_page15,next_page15-href,next_page16,next_page16-href,next_page17,next_page17-href,next_page18,next_page18-href,next_page19,next_page19-href,next_page20,next_page20-href
"1572907856-6575","https://www.zillow.com/homes/san-jose-CA_rb/","","https://www.zillow.com/homedetails/458-Curie-Dr-San-Jose-CA-95123/19824445_zpid/","San Jose, CA 95123","For sale","458 Curie Dr,","","","","","4","https://www.zillow.com/san-jose-ca/4_p/","","","2,256","3","3","$1,050,456","$1,050,000","Single Family","1975","Forced air","None","Single Family","5,758 sqft","$3,990/mo","7","7","9","{""targetDiv"":""gpt-ad-689e5d96-310f-466c-a3dd-9850d61893e9"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""458 Curie Dr"",""bd"":""3"",""fsbid"":""13698"",""city"":""San_Jose"",""proptp"":""sfh"",""pid"":""19824445"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-7623996825829978185"",""sqftrange"":""2000-2499"",""price"":""1050000"",""sqft"":""2256"",""posting_url"":"""",""mlong"":""-121.812888"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95123"",""mlat"":""37.227613"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfcacyne3lg9f0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Blossom_Valley"",""yrblt"":""1970-1979"",""zestimate"":""1050456"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1572906549-5607","https://www.zillow.com/homes/san-jose-CA_rb/","","https://www.zillow.com/homedetails/1425-Taper-Ct-San-Jose-CA-95122/19715833_zpid/","San Jose, CA 95122","For sale","1425 Taper Ct,","","","","","","","5","https://www.zillow.com/san-jose-ca/5_p/","1,329","4","2","null","$729,900","Single Family","1974","Wall","Wall","Single Family","3,471 sqft","$3,500/mo","7","3","6","{""targetDiv"":""gpt-ad-db50d266-cf24-4471-8697-e8cfd480ce93"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1425 Taper Ct"",""bd"":""4"",""fsbid"":""4383"",""city"":""San_Jose"",""proptp"":""sfh"",""pid"":""19715833"",""lot"":""1"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""6466544973946582117"",""sqftrange"":""1000-1499"",""price"":""729900"",""sqft"":""1329"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/san-jose/1425-taper-ct/pid_29113285/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-121.837402"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""95122"",""mlat"":""37.323446"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfw1ve1nip3yq1000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""hood"":""East_San_Jose"",""yrblt"":""1970-1979"",""zestimate"":""720894"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/san-jose-ca/6_p/","NEXT","https://www.zillow.com/san-jose-ca/7_p/","NEXT","https://www.zillow.com/san-jose-ca/8_p/","NEXT","https://www.zillow.com/san-jose-ca/9_p/","NEXT","https://www.zillow.com/san-jose-ca/10_p/","","","","","","","","","","","","","","","","","","","",""
"1572907817-6551","https://www.zillow.com/homes/san-jose-CA_rb/","","https://www.zillow.com/homedetails/11-Peralta-Ave-Los-Gatos-CA-95030/153430987_zpid/","Los Gatos, CA 95030","For sale","11 Peralta Ave,","","","","","4","https://www.zillow.com/san-jose-ca/4_p/","","","2,052","4","3","$2,171,548","$2,188,000","Single Family","1890","Forced air","None","Single Family","7,000 sqft","$3,495/mo","10","9","10","{""targetDiv"":""gpt-ad-4ded82b7-66df-4e04-83c1-3747231da132"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""11 Peralta Ave"",""bd"":""4"",""fsbid"":""13698"",""city"":""Los_Gatos"",""proptp"":""sfh"",""pid"":""153430987"",""lot"":""2"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""zguidh"":""-2617667096992184918"",""sqftrange"":""2000-2499"",""price"":""2188000"",""sqft"":""2052"",""posting_url"":"""",""mlong"":""-121.989331"",""state"":""CA"",""prange"":""2-2_499m"",""zip"":""95030"",""mlat"":""37.225921"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbhznm1v4k2vm0000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""hood"":""Edenvale_-_Seven_Trees"",""yrblt"":""pre1900"",""zestimate"":""2171548"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1572906378-5465","https://www.zillow.com/homes/san-jose-CA_rb/","","https://www.zillow.com/homedetails/1538-Perrin-Ct-San-Jose-CA-95131/19565136_zpid/","San Jose, CA 95131","For sale","1538 Perrin Ct,","","","","","","","5","https://www.zillow.com/san-jose-ca/5_p/","1,352","3","3","$996,005","$996,000","Single Family","1987","Forced air","Central","Single Family","2,800 sqft","$3,500/mo","6","7","7","{""targetDiv"":""gpt-ad-6089301f-1d8f-4fd8-adb5-3f2855b173b9"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1538 Perrin Ct"",""bd"":""3"",""fsbid"":""16701"",""city"":""San_Jose"",""proptp"":""sfh"",""pid"":""19565136"",""lot"":""1"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""-6462133209611631051"",""sqftrange"":""1000-1499"",""price"":""996000"",""sqft"":""1352"",""posting_url"":""http://www.sergioascencio.com"",""mlong"":""-121.875884"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""95131"",""mlat"":""37.390929"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISblm0zqms78r71000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""hood"":""North_Valley"",""yrblt"":""1980-1989"",""zestimate"":""996005"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/san-jose-ca/6_p/","NEXT","https://www.zillow.com/san-jose-ca/7_p/","NEXT","https://www.zillow.com/san-jose-ca/8_p/","NEXT","https://www.zillow.com/san-jose-ca/9_p/","NEXT","https://www.zillow.com/san-jose-ca/10_p/","NEXT","https://www.zillow.com/san-jose-ca/11_p/","","","","","","","","","","","","","","","","","",""
"1572908054-6697","https://www.zillow.com/homes/san-jose-CA_rb/","","https://www.zillow.com/homedetails/4651-Columbia-River-Ct-San-Jose-CA-95136/19701882_zpid/","San Jose, CA 95136","For sale","4651 Columbia River Ct,","","","3","https://www.zillow.com/san-jose-ca/3_p/","","","","","1,441","3","3","$655,012","$655,000","Townhouse","1973","Forced air","Central","Townhouse","1,611 sqft","$3,250/mo","4","6","5","{""targetDiv"":""gpt-ad-9e00a019-66bb-4945-980d-7a5c4e534644"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""4651 Columbia River Ct"",""bd"":""3"",""fsbid"":""14311"",""city"":""San_Jose"",""proptp"":""twn"",""pid"":""19701882"",""lot"":""1"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""727197378906083516"",""sqftrange"":""1000-1499"",""price"":""655000"",""sqft"":""1441"",""posting_url"":""http://www.tailoredtransitionsre.com"",""mlong"":""-121.864829"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""95136"",""mlat"":""37.263912"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3n28i3ousdk21000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""hood"":""Blossom_Valley"",""yrblt"":""1970-1979"",""zestimate"":""655012"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1572905048-4396","https://www.zillow.com/homes/san-jose-CA_rb/","","https://www.zillow.com/homedetails/1435-Montego-Dr-San-Jose-CA-95120/19760630_zpid/","San Jose, CA 95120","Pre-foreclosure","1435 Montego Dr,","","","","","","","5","https://www.zillow.com/san-jose-ca/5_p/","3,488","5","5","$1,533,170","$1,533,170","Single Family","1972","Forced air, Other","Central","Single Family","7,448 sqft","null","9","6","9","{""targetDiv"":""gpt-ad-482001b0-4ce8-458b-9522-55db0103b4dc"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1435 Montego Dr"",""bd"":""5"",""city"":""San_Jose"",""proptp"":""sfh"",""pid"":""19760630"",""lot"":""2"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_foreclosure"",""zguidh"":""8571262259429233843"",""sqftrange"":""3000-3499"",""price"":""1847193"",""sqft"":""3488"",""posting_url"":"""",""mlong"":""-121.890118"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""95120"",""mlat"":""37.220586"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Almaden_Valley"",""yrblt"":""1970-1979"",""zestimate"":""1847193"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/san-jose-ca/6_p/","NEXT","https://www.zillow.com/san-jose-ca/7_p/","NEXT","https://www.zillow.com/san-jose-ca/8_p/","NEXT","https://www.zillow.com/san-jose-ca/9_p/","NEXT","https://www.zillow.com/san-jose-ca/10_p/","NEXT","https://www.zillow.com/san-jose-ca/11_p/","NEXT","https://www.zillow.com/san-jose-ca/12_p/","NEXT","https://www.zillow.com/san-jose-ca/13_p/","NEXT","https://www.zillow.com/san-jose-ca/14_p/","NEXT","https://www.zillow.com/san-jose-ca/15_p/","NEXT","https://www.zillow.com/san-jose-ca/16_p/","NEXT","https://www.zillow.com/san-jose-ca/17_p/","","","","","",""
"1572906232-5350","https://www.zillow.com/homes/san-jose-CA_rb/","","https://www.zillow.com/homedetails/7070-Via-Ramada-San-Jose-CA-95139/19841093_zpid/","San Jose, CA 95139","For sale","7070 Via Ramada,","","","","","","","5","https://www.zillow.com/san-jose-ca/5_p/","1,833","4","3","$1,011,146","$999,000","Single Family","1968","Forced air","None","Single Family","6,046 sqft","$3,800/mo","5","6","8","{""targetDiv"":""gpt-ad-55dd0038-e738-4ae6-9883-7502c9ea065b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""7070 Via Ramada"",""bd"":""4"",""fsbid"":""13698"",""city"":""San_Jose"",""proptp"":""sfh"",""pid"":""19841093"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-6771848266901696665"",""sqftrange"":""1500-1999"",""price"":""999000"",""sqft"":""1833"",""posting_url"":""http://www.teamjamison.com"",""mlong"":""-121.770662"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""95139"",""mlat"":""37.22936"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvg04m3y5uz820000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Santa_Teresa"",""yrblt"":""1960-1969"",""zestimate"":""1011146"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/san-jose-ca/6_p/","NEXT","https://www.zillow.com/san-jose-ca/7_p/","NEXT","https://www.zillow.com/san-jose-ca/8_p/","NEXT","https://www.zillow.com/san-jose-ca/9_p/","NEXT","https://www.zillow.com/san-jose-ca/10_p/","NEXT","https://www.zillow.com/san-jose-ca/11_p/","NEXT","https://www.zillow.com/san-jose-ca/12_p/","","","","","","","","","","","","","","","",""
"1572908249-6807","https://www.zillow.com/homes/san-jose-CA_rb/","","https://www.zillow.com/homedetails/2373-Richland-Ave-San-Jose-CA-95125/19687286_zpid/","San Jose, CA 95125","For sale","2373 Richland Ave,","2","https://www.zillow.com/san-jose-ca/2_p/","","","","","","","3,952","6","5","$2,489,610","$2,549,000","Single Family","2007","Forced air","Central","Single Family","9,156 sqft","$6,250/mo","8","6","7","{""targetDiv"":""gpt-ad-12edd520-d6a6-4cf7-869d-ba9c2889f88c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2373 Richland Ave"",""bd"":""6"",""fsbid"":""13698"",""city"":""San_Jose"",""proptp"":""sfh"",""pid"":""19687286"",""lot"":""2"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""zguidh"":""5127809416425696613"",""sqftrange"":""3500-3999"",""price"":""2549000"",""sqft"":""3952"",""posting_url"":""http://www.therealexperts.com"",""mlong"":""-121.8897"",""state"":""CA"",""park"":""yes"",""prange"":""2_5-2_999m"",""zip"":""95125"",""mlat"":""37.286407"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjjeva6sday5j1000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""hood"":""Willow_Glen"",""yrblt"":""2000-2009"",""zestimate"":""2489610"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1572908151-6754","https://www.zillow.com/homes/san-jose-CA_rb/","","https://www.zillow.com/homedetails/2847-Helmsley-Dr-San-Jose-CA-95132/19774379_zpid/","San Jose, CA 95132","For sale","2847 Helmsley Dr,","2","https://www.zillow.com/san-jose-ca/2_p/","","","","","","","2,533","5","3","$1,423,672","$1,398,000","Single Family","1973","Forced air","None","Single Family","6,098 sqft","$4,350/mo","6","6","7","{""targetDiv"":""gpt-ad-10b0c791-ca0a-4048-9a71-c0449ac44636"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2847 Helmsley Dr"",""bd"":""5"",""fsbid"":""3020"",""city"":""San_Jose"",""proptp"":""sfh"",""pid"":""19774379"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-5338363380045068154"",""sqftrange"":""2500-2999"",""price"":""1398000"",""sqft"":""2533"",""posting_url"":""http://www.homeresearch.com/Listing/Detail/153175?src=zillow"",""mlong"":""-121.854093"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95132"",""mlat"":""37.388652"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzrbvcxchgel01000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Berryessa"",""yrblt"":""1970-1979"",""zestimate"":""1423672"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1572908367-6857","https://www.zillow.com/homes/san-jose-CA_rb/","","https://www.zillow.com/homedetails/272-Duffy-Ct-San-Jose-CA-95116/19719078_zpid/","San Jose, CA 95116","For sale","272 Duffy Ct,","","","","","","","","","1,428","3","3","$738,738","$738,000","Single Family","1982","Forced air","None","Single Family","3,524 sqft","$3,400/mo","4","2","7","{""targetDiv"":""gpt-ad-54f26f4b-6da3-4417-819f-3931f3dc40ce"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""272 Duffy Ct"",""bd"":""3"",""fsbid"":""16701"",""city"":""San_Jose"",""proptp"":""sfh"",""pid"":""19719078"",""lot"":""1"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""-2257295204921948351"",""sqftrange"":""1000-1499"",""price"":""738000"",""sqft"":""1428"",""posting_url"":""http://www.karenpai.com"",""mlong"":""-121.851197"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""95116"",""mlat"":""37.34934"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf8ruospww0l00000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""hood"":""North_Valley"",""yrblt"":""1980-1989"",""zestimate"":""738738"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
