web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572901640-2238","https://www.zillow.com/homes/san-leandro-CA_rb/","","https://www.zillow.com/homedetails/16522-Foothill-Blvd-San-Leandro-CA-94578/24894010_zpid/","San Leandro, CA 94578","For sale","16522 Foothill Blvd,","","","3","https://www.zillow.com/san-leandro-ca/3_p/","null","--","null","None","$1,600,000","Multi Family","1956","No Data","No Data","Multi Family","$958","$2,700/mo","3","1","3","{""targetDiv"":""gpt-ad-7bb79db1-f945-47ea-a083-22c1cd0d2606"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94578"",""aamgnrc1"":""16522 Foothill Blvd"",""mlat"":""37.697645"",""bd"":""0"",""fsbid"":""14311"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbx3u2roej7p91000000000.jpg"",""zusr"":""true"",""city"":""San_Leandro"",""proptp"":""mfh"",""pid"":""24894010"",""yrblt"":""1940-1959"",""lot"":""4"",""listtp"":""buy_agent"",""zguidh"":""-958496188357013177"",""premieragent"":""no"",""sqftrange"":""1500-1999"",""price"":""1600000"",""sqft"":""1670"",""posting_url"":"""",""mlong"":""-122.105146"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m""}}","null","null","null","null"
"1572901739-2344","https://www.zillow.com/homes/san-leandro-CA_rb/","","https://www.zillow.com/homedetails/713-Bloom-St-San-Leandro-CA-94577/54788980_zpid/","San Leandro, CA 94577","Pre-foreclosure","713 Bloom St,","2","https://www.zillow.com/san-leandro-ca/2_p/","","","null","3","null","$526,150","$526,150","Townhouse","2003","Other","No Data","Townhouse","2,100 sqft","null","5","3","4","{""targetDiv"":""gpt-ad-ba872c7e-611a-4b5f-ae56-c46bed7c1205"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""713 Bloom St"",""bd"":""3"",""city"":""San_Leandro"",""proptp"":""twn"",""pid"":""54788980"",""lot"":""1"",""zestibuck"":""600-699k"",""listtp"":""buy_foreclosure"",""zguidh"":""3246405587607641419"",""sqftrange"":""1000-1499"",""price"":""604771"",""sqft"":""1200"",""posting_url"":"""",""mlong"":""-122.168094"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94577"",""mlat"":""37.728914"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISe83kkf88blk11000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""2000-2009"",""zestimate"":""604771"",""premieragent"":""no""}}","null","null","null","null"
"1572901996-2500","https://www.zillow.com/homes/san-leandro-CA_rb/","","https://www.zillow.com/homedetails/309-Williams-St-San-Leandro-CA-94577/24873478_zpid/","San Leandro, CA 94577","For sale","309 Williams St,","","","","","null","7","null","$1,029,001","$945,000","Multi Family","1892","No Data","No Data","Multi Family","$276","$3,295/mo","2","2","4","{""targetDiv"":""gpt-ad-674e8f5a-cd0d-40c9-8858-f90373f251d8"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""309 Williams St"",""bd"":""7"",""fsbid"":""15263"",""city"":""San_Leandro"",""proptp"":""mfh"",""pid"":""24873478"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""2414242272428829186"",""sqftrange"":""3000-3499"",""price"":""945000"",""sqft"":""3423"",""posting_url"":"""",""mlong"":""-122.154513"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94577"",""mlat"":""37.71961"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjnhk70ochge70000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Downtown"",""yrblt"":""pre1900"",""zestimate"":""1029001"",""premieragent"":""no""}}","null","null","null","null"
"1572901657-2254","https://www.zillow.com/homes/san-leandro-CA_rb/","","https://www.zillow.com/homedetails/1303-Timothy-Dr-San-Leandro-CA-94577/24880837_zpid/","San Leandro, CA 94577","Pre-foreclosure / auction","1303 Timothy Dr,","","","3","https://www.zillow.com/san-leandro-ca/3_p/","null","3","null","$545,892","$545,892","Single Family","1944","No Data","No Data","Single Family","7,050 sqft","null","5","3","4","{""targetDiv"":""gpt-ad-baa2b413-bcc5-48c7-9a9b-d1622d4c6bd5"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1303 Timothy Dr"",""bd"":""3"",""city"":""San_Leandro"",""proptp"":""sfh"",""pid"":""24880837"",""lot"":""2"",""zestibuck"":""600-699k"",""listtp"":""buy_foreclosure"",""zguidh"":""7835482899270640133"",""sqftrange"":""1000-1499"",""price"":""627463"",""sqft"":""1083"",""posting_url"":"""",""mlong"":""-122.176742"",""state"":""CA"",""prange"":""600-699k"",""zip"":""94577"",""mlat"":""37.717884"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z600"",""hood"":""Davis_West"",""yrblt"":""1940-1959"",""zestimate"":""627463"",""premieragent"":""no""}}","null","null","null","null"
"1572902067-2514","https://www.zillow.com/homes/san-leandro-CA_rb/","","https://www.zillow.com/homedetails/417-Bradrick-Dr-San-Leandro-CA-94578/24884671_zpid/","San Leandro, CA 94578","For sale","417 Bradrick Dr,","","","","","1,486","3","1","$630,960","$598,000","Single Family","1953","Forced air","No Data","Single Family","6,603 sqft","$3,250/mo","4","3","4","{""targetDiv"":""gpt-ad-961b70e7-ea91-4aba-8c18-aaafb9e57eee"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""417 Bradrick Dr"",""bd"":""3"",""fsbid"":""14106"",""city"":""San_Leandro"",""proptp"":""sfh"",""pid"":""24884671"",""lot"":""2"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""-4854287112806675834"",""sqftrange"":""1000-1499"",""price"":""598000"",""sqft"":""1486"",""posting_url"":"""",""mlong"":""-122.137131"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94578"",""mlat"":""37.69666"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3bpx7yhhwg281000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""hood"":""Floresta_Gardens"",""yrblt"":""1940-1959"",""zestimate"":""630960"",""premieragent"":""no""}}","null","null","null","null"
"1572901618-2213","https://www.zillow.com/homes/san-leandro-CA_rb/","","https://www.zillow.com/homedetails/2478-Longview-Dr-San-Leandro-CA-94577/24891004_zpid/","San Leandro, CA 94577","Pre-foreclosure","2478 Longview Dr,","","","3","https://www.zillow.com/san-leandro-ca/3_p/","null","3","null","$765,461","$765,461","Single Family","1962","No Data","No Data","Single Family","7,104 sqft","null","6","2","4","{""targetDiv"":""gpt-ad-6a2b687a-7d89-44b9-81a3-a28e26e58e45"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2478 Longview Dr"",""bd"":""3"",""city"":""San_Leandro"",""proptp"":""sfh"",""pid"":""24891004"",""lot"":""2"",""zestibuck"":""800-899k"",""listtp"":""buy_foreclosure"",""zguidh"":""7317032327300283122"",""sqftrange"":""2000-2499"",""price"":""879841"",""sqft"":""2016"",""posting_url"":"""",""mlong"":""-122.12612"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94577"",""mlat"":""37.72241"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z800"",""hood"":""Bay-O-Vista"",""yrblt"":""1960-1969"",""zestimate"":""879841"",""premieragent"":""no""}}","null","null","null","null"
"1572901761-2364","https://www.zillow.com/homes/san-leandro-CA_rb/","","https://www.zillow.com/homedetails/1387-And-1389-145th-Ave-San-Leandro-CA-94578/2092048301_zpid/","San Leandro, CA 94578","Auction","1387 And 1389 145th Ave,","2","https://www.zillow.com/san-leandro-ca/2_p/","","","null","4","null","null","$639,872","Single Family","1966","No Data","No Data","Single Family","6,534 sqft","$3,500/mo","2","1","3","{""targetDiv"":""gpt-ad-35a79b43-e9b5-413e-b1e3-f8f3296867e2"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94578"",""aamgnrc1"":""1387 And 1389 145th Ave"",""mlat"":""37.7033"",""bd"":""4"",""fsbid"":""16886"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvcpozh827tqt0000000000.jpg"",""zusr"":""true"",""city"":""San_Leandro"",""proptp"":""sfh"",""pid"":""2092048301"",""hood"":""Halcyon_Foothill"",""yrblt"":""1960-1969"",""lot"":""2"",""listtp"":""buy_foreclosure"",""stale"":""yes"",""zguidh"":""-2259006630806762040"",""premieragent"":""no"",""sqftrange"":""2000-2499"",""price"":""639872"",""sqft"":""2176"",""posting_url"":""http://www.auction.com/details/1387-and-1389-145th-avenue-san-leandro-ca-94578-2493405-e_13807/?utm_source=zillow&utm_medium=feed&utm_campaign=trustee&utm_name=partner"",""mlong"":""-122.1272"",""state"":""CA"",""prange"":""600-699k""}}","null","null","null","null"
"1572901968-2495","https://www.zillow.com/homes/san-leandro-CA_rb/","","https://www.zillow.com/homedetails/16930-Clinton-Ave-San-Leandro-CA-94578/24894669_zpid/","San Leandro, CA 94578","For sale","16930 Clinton Ave,","","","","","1,084","3","2","null","$589,888","Single Family","1945","Forced air","None","Single Family","5,662 sqft","$3,000/mo","2","1","3","{""targetDiv"":""gpt-ad-07cc0d8e-4d4e-4f4f-985d-fe33ba9a6581"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""16930 Clinton Ave"",""bd"":""3"",""fsbid"":""3031"",""city"":""San_Leandro"",""proptp"":""sfh"",""pid"":""24894669"",""lot"":""2"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""-2071437514644044741"",""sqftrange"":""1000-1499"",""price"":""589888"",""sqft"":""1084"",""posting_url"":""http://www.century21.com/property/16930-Clinton-Ave-San-Leandro-CA-94578/3731296/detail"",""mlong"":""-122.108648"",""state"":""CA"",""prange"":""500-599k"",""zip"":""94578"",""mlat"":""37.68985"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7mw1yctnn30j1000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1940-1959"",""zestimate"":""624488"",""premieragent"":""no""}}","null","null","null","null"
"1572901517-2101","https://www.zillow.com/homes/san-leandro-CA_rb/","","https://www.zillow.com/homedetails/16322-Ridgehaven-Dr-503-San-Leandro-CA-94578/2083700897_zpid/","San Leandro, CA 94578","For sale","16322 Ridgehaven Dr # 503,","","","3","https://www.zillow.com/san-leandro-ca/3_p/","1,773","4","4","$789,133","$789,131","Townhouse","2019","Forced air","Central","Townhouse","1,772 sqft","$3,500/mo","3","1","3","{""targetDiv"":""gpt-ad-59db1bc7-c69a-4296-9140-20b9af28e642"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 503"",""aamgnrc1"":""16322 Ridgehaven Dr"",""bd"":""4"",""fsbid"":""13698"",""city"":""San_Leandro"",""proptp"":""twn"",""pid"":""2083700897"",""lot"":""1"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""8101768628362243307"",""sqftrange"":""1500-1999"",""price"":""789131"",""sqft"":""1773"",""posting_url"":"""",""mlong"":""-122.125289"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""94578"",""mlat"":""37.706453"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS764dj1xifbmf0000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""yrblt"":""2010-2019"",""zestimate"":""789133"",""premieragent"":""no""}}","null","null","null","null"
"1572901627-2224","https://www.zillow.com/homes/san-leandro-CA_rb/","","https://www.zillow.com/homedetails/1615-167th-Ave-San-Leandro-CA-94578/299076652_zpid/","San Leandro, CA 94578","Pre-foreclosure","1615 167th Ave,","","","3","https://www.zillow.com/san-leandro-ca/3_p/","null","3","null","null","null","Multi Family","2007","No Data","No Data","Multi Family","null","null","4","1","3","{""targetDiv"":""gpt-ad-89128251-2ec1-4ea2-8990-f7eecb853ffa"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94578"",""aamgnrc1"":""1615 167th Ave"",""mlat"":""37.695133"",""bd"":""3"",""z_listing_image_url"":"""",""zusr"":""true"",""city"":""San_Leandro"",""proptp"":""mfh"",""pid"":""299076652"",""yrblt"":""2000-2009"",""lot"":""1"",""listtp"":""buy_foreclosure"",""zguidh"":""3907683877452435924"",""premieragent"":""no"",""posting_url"":"""",""mlong"":""-122.105928"",""state"":""CA"",""park"":""yes""}}","null","null","null","null"
