web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572901740-2345","https://www.zillow.com/homes/san-mateo-CA_rb/","","https://www.zillow.com/homedetails/138-S-Fremont-St-San-Mateo-CA-94401/2084282272_zpid/","San Mateo, CA 94401","For sale","138 S Fremont St,","2","https://www.zillow.com/san-mateo-ca/2_p/","","","1,647","3","3","$1,434,871","$1,399,000","Townhouse","2018","Forced air","None","Townhouse","9,997 sqft","$4,500/mo","5","5","7","{""targetDiv"":""gpt-ad-2ef5ba02-755f-4851-b25f-fc829300a25e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""138 S Fremont St"",""bd"":""3"",""fsbid"":""13698"",""city"":""San_Mateo"",""proptp"":""twn"",""pid"":""2084282272"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""9035854666705793994"",""sqftrange"":""1500-1999"",""price"":""1399000"",""sqft"":""1647"",""posting_url"":""http://www.annchangrealtor.com"",""mlong"":""-122.320081"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94401"",""mlat"":""37.569983"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3b1nn0mrql4x0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Central"",""yrblt"":""2010-2019"",""zestimate"":""1434871"",""premieragent"":""no""}}","null","null","null","null"
"1572901587-2177","https://www.zillow.com/homes/san-mateo-CA_rb/","","https://www.zillow.com/homedetails/700-Ventura-Ave-San-Mateo-CA-94403/181400255_zpid/","San Mateo, CA 94403","Lot/land","700 Ventura Ave,","","","3","https://www.zillow.com/san-mateo-ca/3_p/","null","0.41 acres","null","None","$1,800,000","null","null","null","null","null","null","$3,800/mo","5","5","8","No Data","null","null","null","null"
"1572901813-2414","https://www.zillow.com/homes/san-mateo-CA_rb/","","https://www.zillow.com/homedetails/28-Denali-Dr-San-Mateo-CA-94403/15543668_zpid/","San Mateo, CA 94403","For sale","28 Denali Dr,","","","","","1,710","3","3","$1,550,978","$1,499,000","Townhouse","1988","Forced air","None","Townhouse","2,334 sqft","$5,200/mo","7","5","8","No Data","null","null","null","null"
"1572901841-2441","https://www.zillow.com/homes/san-mateo-CA_rb/","","https://www.zillow.com/homedetails/1-Baldwin-Ave-APT-219-San-Mateo-CA-94401/15633497_zpid/","San Mateo, CA 94401","For sale","1 Baldwin Ave APT 219,","","","","","1,000","1","1","$557,221","$528,888","Condo","1988","Forced air","Central","Condo","$4,381/month","$3,401/mo","3","6","7","No Data","null","null","null","null"
"1572901806-2407","https://www.zillow.com/homes/san-mateo-CA_rb/","","https://www.zillow.com/homedetails/1-Baldwin-Ave-APT-602-San-Mateo-CA-94401/15633573_zpid/","San Mateo, CA 94401","For sale","1 Baldwin Ave APT 602,","","","","","930","1","1","$566,233","$545,000","Condo","1988","Forced air","Central","Condo","$4,381/month","$3,300/mo","3","6","7","{""targetDiv"":""gpt-ad-2aa037d1-aebe-4d0f-8f89-5827dc56157b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 602"",""aamgnrc1"":""1 Baldwin Ave"",""bd"":""1"",""fsbid"":""13698"",""city"":""San_Mateo"",""proptp"":""cnd"",""pid"":""15633573"",""lot"":""6"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""-7818370509204818327"",""sqftrange"":""500-999"",""price"":""545000"",""sqft"":""930"",""posting_url"":""http://www.ksparer.com"",""mlong"":""-122.327954"",""state"":""CA"",""prange"":""500-599k"",""zip"":""94401"",""mlat"":""37.566106"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7qf3ntct5vnd1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""hood"":""Central_Business_District"",""yrblt"":""1980-1989"",""zestimate"":""566233"",""premieragent"":""no""}}","null","null","null","null"
"1572901667-2267","https://www.zillow.com/homes/san-mateo-CA_rb/","","https://www.zillow.com/homedetails/30-Crippleridge-Ct-San-Mateo-CA-94402/15543202_zpid/","San Mateo, CA 94402","For sale","30 Crippleridge Ct,","2","https://www.zillow.com/san-mateo-ca/2_p/","","","1,720","3","3","$1,260,601","$1,260,000","Townhouse","1978","Forced air","None","Townhouse","1,633 sqft","$4,300/mo","7","6","9","{""targetDiv"":""gpt-ad-22451dfd-bce5-41ec-adda-943d2b3b7934"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""30 Crippleridge Ct"",""bd"":""3"",""fsbid"":""13698"",""city"":""San_Mateo"",""proptp"":""twn"",""pid"":""15543202"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-1957224173916509178"",""sqftrange"":""1500-1999"",""price"":""1260000"",""sqft"":""1720"",""posting_url"":"""",""mlong"":""-122.333871"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94402"",""mlat"":""37.529274"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvch2drgf3cgl0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""College_Heights"",""yrblt"":""1970-1979"",""zestimate"":""1260601"",""premieragent"":""no""}}","null","null","null","null"
"1572901767-2368","https://www.zillow.com/homes/san-mateo-CA_rb/","","https://www.zillow.com/homedetails/3319-Kimberly-Way-San-Mateo-CA-94403/15540985_zpid/","San Mateo, CA 94403","For sale","3319 Kimberly Way,","","","","","1,450","3","2","$1,277,453","$1,250,000","Townhouse","1978","Forced air","None","Townhouse","1,751 sqft","$4,185/mo","6","9","8","No Data","null","null","null","null"
"1572901722-2329","https://www.zillow.com/homes/san-mateo-CA_rb/","","https://www.zillow.com/homedetails/3049-Los-Prados-St-APT-223-San-Mateo-CA-94403/15630200_zpid/","San Mateo, CA 94403","For sale","3049 Los Prados St APT 223,","2","https://www.zillow.com/san-mateo-ca/2_p/","","","717","1","1","$576,085","$568,000","Condo","1963","Forced air","None","Condo","$402/month","$2,695/mo","6","9","8","No Data","null","null","null","null"
"1572901633-2230","https://www.zillow.com/homes/san-mateo-CA_rb/","","https://www.zillow.com/homedetails/400-Hillsborough-Blvd-Hillsborough-CA-94010/2085056844_zpid/","Hillsborough, CA 94010","For sale","400 Hillsborough Blvd,","2","https://www.zillow.com/san-mateo-ca/2_p/","","","6,505","6","7","$7,522,465","$7,998,888","Single Family","1938","Forced air","Central","Single Family","0.84 acres","$20,572/mo","3","6","7","{""targetDiv"":""gpt-ad-9b3c10c0-8de8-4141-bfc3-e0c425b0dca6"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""400 Hillsborough Blvd"",""bd"":""6"",""fsbid"":""13753"",""city"":""Hillsborough"",""proptp"":""sfh"",""pid"":""2085056844"",""lot"":""5"",""zestibuck"":""7m-7_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-1422014626895683397"",""sqftrange"":""6000-6999"",""price"":""7998888"",""sqft"":""6505"",""posting_url"":""https://www.pacificunion.com/real-estate/400-hillsborough-boulevard-hillsborough-ca-94010/ML81756511/73607257"",""mlong"":""-122.352877"",""state"":""CA"",""park"":""yes"",""prange"":""7m-7_999m"",""zip"":""94010"",""mlat"":""37.561136"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7e2xby8r3g2s1000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""hood"":""San_Mateo_Park"",""yrblt"":""1920-1939"",""zestimate"":""7522465"",""premieragent"":""no""}}","null","null","null","null"
"1572901754-2357","https://www.zillow.com/homes/san-mateo-CA_rb/","","https://www.zillow.com/homedetails/240-N-Bayshore-Blvd-APT-208-San-Mateo-CA-94401/15633935_zpid/","San Mateo, CA 94401","For sale","240 N Bayshore Blvd APT 208,","","","","","725","1","1","$600,026","$588,888","Condo","1982","Electric","None","Condo","$500/month","$2,550/mo","2","6","7","{""targetDiv"":""gpt-ad-ed16df20-5e3e-4704-b8c0-e400cdd80baf"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 208"",""aamgnrc1"":""240 N Bayshore Blvd"",""bd"":""1"",""fsbid"":""13698"",""city"":""San_Mateo"",""proptp"":""cnd"",""pid"":""15633935"",""lot"":""6"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""-313540378651051394"",""sqftrange"":""500-999"",""price"":""588888"",""sqft"":""725"",""posting_url"":"""",""mlong"":""-122.320236"",""state"":""CA"",""prange"":""500-599k"",""zip"":""94401"",""mlat"":""37.577993"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7q3ym8sik3mv0000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""hood"":""North_Shoreview"",""yrblt"":""1980-1989"",""zestimate"":""600026"",""premieragent"":""no""}}","null","null","null","null"
