web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572898669-711","https://www.zillow.com/homes/San-Pablo-CA_rb/","","https://www.zillow.com/homedetails/2918-Cornelius-Dr-San-Pablo-CA-94806/18497042_zpid/","San Pablo, CA 94806","Pre-foreclosure / auction","2918 Cornelius Dr,","2","https://www.zillow.com/san-pablo-ca/2_p/","null","3","null","$529,037","$529,037","Single Family","1960","Wall","No Data","Single Family","8,970 sqft","null","3","2","4","No Data","null","null","null","null"
"1572898716-753","https://www.zillow.com/homes/San-Pablo-CA_rb/","","https://www.zillow.com/homedetails/1541-Colin-St-San-Pablo-CA-94806/18509773_zpid/","San Pablo, CA 94806","For sale","1541 Colin St,","","","817","2","1","$475,363","$435,500","Single Family","1943","Forced air","Central","Single Family","5,998 sqft","$2,400/mo","2","1","2","{""targetDiv"":""gpt-ad-bab4bb3e-98f9-431a-ae6b-3f75384a86a6"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1541 Colin St"",""bd"":""2"",""fsbid"":""14106"",""city"":""San_Pablo"",""proptp"":""sfh"",""pid"":""18509773"",""lot"":""2"",""zestibuck"":""450-499k"",""listtp"":""buy_agent"",""zguidh"":""7292972351924342686"",""sqftrange"":""500-999"",""price"":""435500"",""sqft"":""817"",""posting_url"":"""",""mlong"":""-122.348802"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94806"",""mlat"":""37.969981"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfghs6wzbdf341000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1940-1959"",""zestimate"":""475363"",""premieragent"":""no""}}","null","null","null","null"
"1572898783-788","https://www.zillow.com/homes/San-Pablo-CA_rb/","","https://www.zillow.com/homedetails/5809-N-Arlington-Blvd-San-Pablo-CA-94806/95406797_zpid/","San Pablo, CA 94806","Lot/land","5809 N Arlington Blvd,","","","null","6,080 sqft","null","None","$225,000","null","null","null","null","null","null","null","3","2","3","{""targetDiv"":""gpt-ad-5bfb207c-42b4-49f1-b320-3dc20753d09f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94806"",""aamgnrc1"":""5809 N Arlington Blvd"",""mlat"":""37.954997"",""bd"":""4"",""fsbid"":""15463"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISj71t63mfwahf1000000000.jpg"",""zusr"":""true"",""city"":""San_Pablo"",""proptp"":""lot"",""pid"":""95406797"",""yrblt"":""2010-2019"",""lot"":""2"",""listtp"":""buy_agent"",""zguidh"":""-3147589108310785678"",""premieragent"":""no"",""sqftrange"":""2500-2999"",""price"":""225000"",""sqft"":""2500"",""posting_url"":"""",""mlong"":""-122.322457"",""state"":""CA"",""park"":""yes"",""prange"":""200-249k""}}","null","null","null","null"
"1572898700-738","https://www.zillow.com/homes/San-Pablo-CA_rb/","","https://www.zillow.com/homedetails/1408-S-Victoria-Ct-San-Pablo-CA-94806/18507206_zpid/","San Pablo, CA 94806","Pre-foreclosure","1408 S Victoria Ct,","","","828","2","1","$409,052","$409,052","Single Family","1943","No Data","No Data","Single Family","7,061 sqft","null","2","1","2","{""targetDiv"":""gpt-ad-2777bf6c-582b-4fa5-993e-334bd6b4736a"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1408 S Victoria Ct"",""bd"":""2"",""city"":""San_Pablo"",""proptp"":""sfh"",""pid"":""18507206"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_foreclosure"",""zguidh"":""9185752792238815499"",""sqftrange"":""500-999"",""price"":""385000"",""sqft"":""828"",""posting_url"":"""",""mlong"":""-122.355217"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""94806"",""mlat"":""37.951211"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS6anmyvq0fwqj1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1940-1959"",""zestimate"":""421704"",""premieragent"":""no""}}","null","null","null","null"
"1572898750-774","https://www.zillow.com/homes/San-Pablo-CA_rb/","","https://www.zillow.com/homedetails/1940-Stanton-Ave-LOT-1944-San-Pablo-CA-94806/2088455801_zpid/","San Pablo, CA 94806","For sale","1940 Stanton Ave LOT 1944,","","","1,688","3","2","$576,613","$555,887","Multi Family","1960","No Data","No Data","Multi Family","$329","$2,800/mo","1","2","3","No Data","null","null","null","null"
"1572898679-719","https://www.zillow.com/homes/San-Pablo-CA_rb/","","https://www.zillow.com/homedetails/2009-Road-20-San-Pablo-CA-94806/18509482_zpid/","San Pablo, CA 94806","Pre-foreclosure / auction","2009 Road 20,","2","https://www.zillow.com/san-pablo-ca/2_p/","913","3","1","$431,374","$431,374","Single Family","1950","Other","No Data","Single Family","6,655 sqft","null","2","1","2","{""targetDiv"":""gpt-ad-1d524c39-c01e-4b7c-985c-6c528568e6bd"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2009 Road 20"",""bd"":""3"",""city"":""San_Pablo"",""proptp"":""sfh"",""pid"":""18509482"",""lot"":""2"",""zestibuck"":""400-449k"",""listtp"":""buy_foreclosure"",""zguidh"":""-4436090514427678500"",""sqftrange"":""500-999"",""price"":""444716"",""sqft"":""913"",""posting_url"":"""",""mlong"":""-122.347919"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94806"",""mlat"":""37.963798"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1940-1959"",""zestimate"":""444716"",""premieragent"":""no""}}","null","null","null","null"
"1572898705-743","https://www.zillow.com/homes/San-Pablo-CA_rb/","","https://www.zillow.com/homedetails/2057-Rosedale-Dr-San-Pablo-CA-94806/18498746_zpid/","San Pablo, CA 94806","Pre-foreclosure","2057 Rosedale Dr,","","","null","4","null","$511,764","$511,764","Single Family","1968","No Data","No Data","Single Family","6,175 sqft","null","6","2","4","{""targetDiv"":""gpt-ad-9ff6aa33-ce63-4791-b189-ed18b3f7700a"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2057 Rosedale Dr"",""bd"":""4"",""city"":""San_Pablo"",""proptp"":""sfh"",""pid"":""18498746"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_foreclosure"",""zguidh"":""8653769909974729856"",""sqftrange"":""1000-1499"",""price"":""527592"",""sqft"":""1441"",""posting_url"":"""",""mlong"":""-122.324423"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94806"",""mlat"":""38.003695"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""1960-1969"",""zestimate"":""527592"",""premieragent"":""no""}}","null","null","null","null"
"1572898826-799","https://www.zillow.com/homes/San-Pablo-CA_rb/","","https://www.zillow.com/homedetails/125-Santa-Ana-St-San-Pablo-CA-94806/67706063_zpid/","San Pablo, CA 94806","For sale","125 Santa Ana St,","","","1,668","3","3","$520,730","$510,000","Townhouse","2003","Forced air","Central","Townhouse","1,524 sqft","$2,900/mo","2","1","2","{""targetDiv"":""gpt-ad-30eee091-b30a-4e92-bd86-29d222f83991"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""125 Santa Ana St"",""bd"":""3"",""fsbid"":""14106"",""city"":""San_Pablo"",""proptp"":""twn"",""pid"":""67706063"",""lot"":""1"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""-3168857421772230042"",""sqftrange"":""1500-1999"",""price"":""510000"",""sqft"":""1668"",""posting_url"":"""",""mlong"":""-122.340383"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94806"",""mlat"":""37.965133"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfg1czmd8yryx1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""2000-2009"",""zestimate"":""520730"",""premieragent"":""no""}}","null","null","null","null"
"1572898829-800","https://www.zillow.com/homes/San-Pablo-CA_rb/","","https://www.zillow.com/homedetails/1329-Folsom-Ave-San-Pablo-CA-94806/18508642_zpid/","San Pablo, CA 94806","For sale","1329 Folsom Ave,","","","952","3","2","$414,999","$399,000","Single Family","1957","Wall","None","Single Family","0.9 acres","$2,450/mo","1","1","2","{""targetDiv"":""gpt-ad-74513610-c162-4b3e-880b-21a2fdd43666"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1329 Folsom Ave"",""bd"":""3"",""fsbid"":""16701"",""city"":""San_Pablo"",""proptp"":""sfh"",""pid"":""18508642"",""lot"":""5"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""-669984735773900131"",""sqftrange"":""500-999"",""price"":""399000"",""sqft"":""952"",""posting_url"":""http://www.erikacarrasco.com"",""mlong"":""-122.355312"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""94806"",""mlat"":""37.961651"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzzxx3kqia7wt0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1940-1959"",""zestimate"":""414999"",""premieragent"":""no""}}","null","null","null","null"
"1572898758-779","https://www.zillow.com/homes/San-Pablo-CA_rb/","","https://www.zillow.com/homedetails/1958-Mason-St-San-Pablo-CA-94806/95423106_zpid/","San Pablo, CA 94806","Lot/land","1958 Mason St,","","","null","2,800 sqft","null","null","$95,000","null","null","null","null","null","null","null","1","1","2","{""targetDiv"":""gpt-ad-c8853f61-10bf-4d8f-9ef0-61a4cb241a46"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94806"",""aamgnrc1"":""1958 Mason St"",""mlat"":""37.958833"",""bd"":""0"",""fsbid"":""14644"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzrvmr6yjh1pg0000000000.jpg"",""zusr"":""true"",""city"":""San_Pablo"",""proptp"":""lot"",""pid"":""95423106"",""lot"":""1"",""listtp"":""buy_agent"",""zguidh"":""2951929096441682315"",""premieragent"":""no"",""price"":""95000"",""posting_url"":""http://www.derekhan.com"",""mlong"":""-122.344594"",""state"":""CA"",""prange"":""0-100k""}}","null","null","null","null"
