web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572918959-8782","https://www.zillow.com/homes/san-ramon-CA_rb/","","https://www.zillow.com/homedetails/3081-Wrangler-Rd-San-Ramon-CA-94582/18456122_zpid/","San Ramon, CA 94582","Pre-foreclosure / auction","3081 Wrangler Rd,","","","","","4","https://www.zillow.com/san-ramon-ca/4_p/","","","null","4","null","$1,127,982","$1,127,982","Single Family","1995","No Data","No Data","Single Family","3,920 sqft","null","null","null","null","{""targetDiv"":""gpt-ad-63fe4502-9f45-4373-85bd-600134808fab"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""3081 Wrangler Rd"",""bd"":""4"",""city"":""San_Ramon"",""proptp"":""sfh"",""pid"":""18456122"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""7975552007517204817"",""sqftrange"":""2500-2999"",""price"":""1162869"",""sqft"":""2595"",""posting_url"":"""",""mlong"":""-121.926358"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94582"",""mlat"":""37.790973"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjjmhp2rhwzdf0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1990-1999"",""zestimate"":""1162869"",""premieragent"":""no""}}","null","null","null","null"
"1572919059-8897","https://www.zillow.com/homes/san-ramon-CA_rb/","","https://www.zillow.com/homedetails/711-Pradera-Way-San-Ramon-CA-94583/18443351_zpid/","San Ramon, CA 94583","Pre-foreclosure","711 Pradera Way,","","","3","https://www.zillow.com/san-ramon-ca/3_p/","","","","","2,337","4","2.5","$1,135,983","$1,135,983","Single Family","1999","Forced air","Central","Single Family","8,860 sqft","null","null","null","null","{""targetDiv"":""gpt-ad-f21949ad-ebb3-4632-a166-51b7a2e179df"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""711 Pradera Way"",""bd"":""4"",""city"":""San_Ramon"",""proptp"":""sfh"",""pid"":""18443351"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""5136838892751361718"",""sqftrange"":""2000-2499"",""price"":""1171117"",""sqft"":""2337"",""posting_url"":"""",""mlong"":""-121.996902"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94583"",""mlat"":""37.770487"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISqt7rxzzti1c81000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1990-1999"",""zestimate"":""1171117"",""premieragent"":""no""}}","null","null","null","null"
"1572919367-9241","https://www.zillow.com/homes/san-ramon-CA_rb/","","https://www.zillow.com/homedetails/128-Paddington-Ct-San-Ramon-CA-94582/82853080_zpid/","San Ramon, CA 94582","For sale","128 Paddington Ct,","2","https://www.zillow.com/san-ramon-ca/2_p/","","","","","","","2,275","3","3","$1,147,473","$1,149,000","Single Family","2007","Forced air","Central","Single Family","5,623 sqft","null","9","9","10","{""targetDiv"":""gpt-ad-6d277400-ab40-4db9-bed1-4296bdf62e0d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""128 Paddington Ct"",""bd"":""3"",""fsbid"":""14311"",""city"":""San_Ramon"",""proptp"":""sfh"",""pid"":""82853080"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-2870750422936614639"",""sqftrange"":""2000-2499"",""price"":""1149000"",""sqft"":""2275"",""posting_url"":"""",""mlong"":""-121.902375"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94582"",""mlat"":""37.772215"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS33jrghzr19w51000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2000-2009"",""zestimate"":""1147473"",""premieragent"":""no""}}","null","null","null","null"
"1572919025-8858","https://www.zillow.com/homes/san-ramon-CA_rb/","","https://www.zillow.com/homedetails/5032-Lakeview-Dr-UNIT-203-San-Ramon-CA-94582/18455733_zpid/","San Ramon, CA 94582","Pre-foreclosure / auction","5032 Lakeview Dr UNIT 203,","","","","","4","https://www.zillow.com/san-ramon-ca/4_p/","","","null","3","null","$631,125","$631,125","Condo","1989","No Data","Central","Condo","$215/month","null","10","9","10","{""targetDiv"":""gpt-ad-7355dc93-93cf-4de9-b02c-de70dfbad693"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Unit 203"",""aamgnrc1"":""5032 Lakeview Dr"",""bd"":""3"",""city"":""San_Ramon"",""proptp"":""cnd"",""pid"":""18455733"",""zestibuck"":""600-699k"",""listtp"":""buy_foreclosure"",""zguidh"":""4309872119116201414"",""sqftrange"":""1000-1499"",""price"":""650645"",""sqft"":""1192"",""posting_url"":"""",""mlong"":""-121.944615"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94582"",""mlat"":""37.78645"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1980-1989"",""zestimate"":""650645"",""premieragent"":""no""}}","null","null","null","null"
"1572919081-8923","https://www.zillow.com/homes/san-ramon-CA_rb/","","https://www.zillow.com/homedetails/8233-Saturn-Park-Dr-San-Ramon-CA-94582/67698700_zpid/","San Ramon, CA 94582","For sale","8233 Saturn Park Dr,","","","3","https://www.zillow.com/san-ramon-ca/3_p/","","","","","2,243","3","3","$1,139,955","$1,140,000","Single Family","2004","Forced air","Central","Single Family","4,835 sqft","null","8","8","10","{""targetDiv"":""gpt-ad-4b5aa113-9d80-473e-a82c-54c6fd2a9dea"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""8233 Saturn Park Dr"",""bd"":""3"",""fsbid"":""14106"",""city"":""San_Ramon"",""proptp"":""sfh"",""pid"":""67698700"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""1336845259821424954"",""sqftrange"":""2000-2499"",""price"":""1140000"",""sqft"":""2243"",""posting_url"":""http://khristajarvisteam.com"",""mlong"":""-121.916695"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94582"",""mlat"":""37.774015"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS33vkzcjlne8b1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2000-2009"",""zestimate"":""1139955"",""premieragent"":""no""}}","null","null","null","null"
"1572919428-9303","https://www.zillow.com/homes/san-ramon-CA_rb/","","https://www.zillow.com/homedetails/5077-Rashelle-Way-San-Ramon-CA-94582/95393109_zpid/","San Ramon, CA 94582","For sale","5077 Rashelle Way,","2","https://www.zillow.com/san-ramon-ca/2_p/","","","","","","","3,050","4","3","$1,382,000","$1,389,000","Single Family","2012","Forced air","Central","Single Family","5,540 sqft","null","8","8","10","{""targetDiv"":""gpt-ad-5c50287a-a8f2-4b9a-8a29-7e386c35db04"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""5077 Rashelle Way"",""bd"":""4"",""fsbid"":""15050"",""city"":""San_Ramon"",""proptp"":""sfh"",""pid"":""95393109"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""2135133668326226846"",""sqftrange"":""3000-3499"",""price"":""1389000"",""sqft"":""3050"",""posting_url"":""http://www.darbyonthemove.com"",""mlong"":""-121.921945"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94582"",""mlat"":""37.768077"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf4wzg4p329ed0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1382000"",""premieragent"":""no""}}","null","null","null","null"
"1572919120-8966","https://www.zillow.com/homes/san-ramon-CA_rb/","","https://www.zillow.com/homedetails/4075-W-Lakeshore-Dr-San-Ramon-CA-94582/18455420_zpid/","San Ramon, CA 94582","For sale","4075 W Lakeshore Dr,","","","3","https://www.zillow.com/san-ramon-ca/3_p/","","","","","1,900","2","3","$836,689","$849,900","Townhouse","1990","Forced air","Central","Townhouse","3,611 sqft","$3,600/mo","10","9","10","{""targetDiv"":""gpt-ad-68c9f12a-f971-45a9-8a3d-d6d86eee9a5d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""4075 W Lakeshore Dr"",""bd"":""2"",""fsbid"":""14106"",""city"":""San_Ramon"",""proptp"":""twn"",""pid"":""18455420"",""lot"":""1"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""1814690306945163304"",""sqftrange"":""1500-1999"",""price"":""849900"",""sqft"":""1900"",""posting_url"":""http://www.langhofer.com"",""mlong"":""-121.946682"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94582"",""mlat"":""37.786026"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf44aie0cbqio0000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""1990-1999"",""zestimate"":""836689"",""premieragent"":""no""}}","null","null","null","null"
"1572919503-9394","https://www.zillow.com/homes/san-ramon-CA_rb/","","https://www.zillow.com/homedetails/4079-W-Lakeshore-Dr-San-Ramon-CA-94582/18455421_zpid/","San Ramon, CA 94582","For sale","4079 W Lakeshore Dr,","","","","","","","","","2,114","3","3","$949,955","$949,950","Townhouse","1990","Forced air","Central","Townhouse","4,800 sqft","$3,800/mo","10","9","10","{""targetDiv"":""gpt-ad-6b08ccb9-b9d8-45d3-9ec3-fbdbf289a494"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""4079 W Lakeshore Dr"",""bd"":""3"",""fsbid"":""14311"",""city"":""San_Ramon"",""proptp"":""twn"",""pid"":""18455421"",""lot"":""1"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""-5015020481869000503"",""sqftrange"":""2000-2499"",""price"":""949950"",""sqft"":""2114"",""posting_url"":""http://www.RJFiset.com"",""mlong"":""-121.946571"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94582"",""mlat"":""37.786048"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbdgyyts9x3g30000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""1990-1999"",""zestimate"":""949955"",""premieragent"":""no""}}","null","null","null","null"
"1572918926-8758","https://www.zillow.com/homes/san-ramon-CA_rb/","","https://www.zillow.com/community/lexington-at-gale-ranch/2084365884_zpid/","San Ramon, CA 94582","New construction","Lot #0094, Lexington at Gale Ranch,","","","","","4","https://www.zillow.com/san-ramon-ca/4_p/","","","3,091","4","5","None","$1,390,995","Single Family","2019","No Data","No Data","Single Family","No Data","null","8","8","10","{""targetDiv"":""gpt-ad-3290f1ea-cf6e-4fa7-95ac-9aa5e19f0c30"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 86LTJD"",""aamgnrc1"":""616 Thyme Way"",""bd"":""4"",""fsbid"":""830"",""city"":""San_Ramon"",""proptp"":""sfh"",""pid"":""2086786772"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""3000-3499"",""price"":""1390995"",""sqft"":""3091"",""posting_url"":""https://www.tollbrothers.com/luxury-homes-for-sale/California/Lexington-at-Gale-Ranch/Tarrington"",""state"":""CA"",""mlong"":""-121.918759"",""cnty"":""Contra_Costa"",""prange"":""1-1_499m"",""zip"":""94582"",""mlat"":""37.758144"",""plid"":""17376116"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISqtvxa52n0l4e1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1346294"",""premieragent"":""no"",""builderChatId"":""830-808787"",""dma"":""37""}}","null","null","null","null"
"1572919205-9055","https://www.zillow.com/homes/san-ramon-CA_rb/","","https://www.zillow.com/homedetails/2040-Trefoil-Rd-San-Ramon-CA-94583/166225136_zpid/","San Ramon, CA 94583","For sale","2040 Trefoil Rd,","","","3","https://www.zillow.com/san-ramon-ca/3_p/","","","","","2,534","4","4","null","$1,308,888","Single Family","2016","Forced air","Central","Single Family","3,049 sqft","$3,950/mo","8","8","10","{""targetDiv"":""gpt-ad-648186dc-3b79-4d9e-8d43-47d30bede487"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2040 Trefoil Rd"",""bd"":""4"",""fsbid"":""3031"",""city"":""San_Ramon"",""proptp"":""sfh"",""pid"":""166225136"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-4791546397818162739"",""sqftrange"":""2500-2999"",""price"":""1308888"",""sqft"":""2534"",""posting_url"":""http://www.century21.com/property/2040-Trefoil-Rd-San-Ramon-CA-94582/97897945/detail"",""mlong"":""-121.917795"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94583"",""mlat"":""37.754988"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr1u5ipcrjxw21000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1284192"",""premieragent"":""no""}}","null","null","null","null"
