web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572902343-2518","https://www.zillow.com/homes/santa-clara-CA_rb/","","https://www.zillow.com/homedetails/1048-Monroe-St-UNIT-208-Santa-Clara-CA-95050/300480981_zpid/","Santa Clara, CA 95050","New construction","1048 Monroe St UNIT 208,","","","3","https://www.zillow.com/santa-clara-ca/3_p/","830","1","1","$694,159","$765,828","Condo","2019","No Data","No Data","Condo","No Data","null","7","5","7","No Data","null","null","null","null"
"1572902589-2694","https://www.zillow.com/homes/santa-clara-CA_rb/","","https://www.zillow.com/homedetails/2250-Bohannon-Dr-Santa-Clara-CA-95050/19606853_zpid/","Santa Clara, CA 95050","For sale","2250 Bohannon Dr,","","","","","1,475","3","2","$1,438,095","$1,399,950","Single Family","1952","Forced air","None","Single Family","5,998 sqft","$3,850/mo","7","5","7","{""targetDiv"":""gpt-ad-8202e5ac-f471-465d-92c9-0eb92025af92"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2250 Bohannon Dr"",""bd"":""3"",""fsbid"":""13698"",""city"":""Santa_Clara"",""proptp"":""sfh"",""pid"":""19606853"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""556876304275590192"",""sqftrange"":""1000-1499"",""price"":""1399950"",""sqft"":""1475"",""posting_url"":""http://www.windermeresv.com"",""mlong"":""-121.957033"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95050"",""mlat"":""37.334469"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjn18nzytzk1u1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1940-1959"",""zestimate"":""1438095"",""premieragent"":""no""}}","null","null","null","null"
"1572902438-2572","https://www.zillow.com/homes/santa-clara-CA_rb/","","https://www.zillow.com/homedetails/2065-Warburton-Ave-Santa-Clara-CA-95050/19556482_zpid/","Santa Clara, CA 95050","For sale","2065 Warburton Ave,","2","https://www.zillow.com/santa-clara-ca/2_p/","","","1,693","3","2","$1,489,509","$1,450,000","Single Family","1951","Forced air","Central","Single Family","6,255 sqft","$4,000/mo","3","5","7","{""targetDiv"":""gpt-ad-e07402a4-db2a-4e05-8631-1e4152342dd4"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2065 Warburton Ave"",""bd"":""3"",""fsbid"":""13698"",""city"":""Santa_Clara"",""proptp"":""sfh"",""pid"":""19556482"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""4551138292595210766"",""sqftrange"":""1500-1999"",""price"":""1450000"",""sqft"":""1693"",""posting_url"":"""",""mlong"":""-121.960751"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95050"",""mlat"":""37.355967"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjzm4oyd0kv3o0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1940-1959"",""zestimate"":""1489509"",""premieragent"":""no""}}","null","null","null","null"
"1572902559-2663","https://www.zillow.com/homes/santa-clara-CA_rb/","","https://www.zillow.com/homedetails/2120-Rancho-Mccormick-Blvd-Santa-Clara-CA-95050/19557773_zpid/","Santa Clara, CA 95050","For sale","2120 Rancho Mccormick Blvd,","","","","","1,636","3","3","$1,002,995","$999,000","Townhouse","1981","Forced air","Central","Townhouse","827 sqft","$3,600/mo","3","5","7","No Data","null","null","null","null"
"1572902425-2562","https://www.zillow.com/homes/santa-clara-CA_rb/","","https://www.zillow.com/homedetails/1338-Lafayette-St-Santa-Clara-CA-95050/19579489_zpid/","Santa Clara, CA 95050","For sale","1338 Lafayette St,","2","https://www.zillow.com/santa-clara-ca/2_p/","","","1,206","3","2","null","$1,229,888","Single Family","1920","Wall","None","Single Family","7,222 sqft","$3,500/mo","7","5","7","{""targetDiv"":""gpt-ad-977f1093-47ca-43fd-ae5a-32282bca8e5a"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1338 Lafayette St"",""bd"":""3"",""fsbid"":""4383"",""city"":""Santa_Clara"",""proptp"":""sfh"",""pid"":""19579489"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""6424485107921661472"",""sqftrange"":""1000-1499"",""price"":""1229888"",""sqft"":""1206"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/santa-clara/1338-lafayette-st/pid_32337714/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-121.945533"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95050"",""mlat"":""37.353384"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrl971wrsb1br1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1920-1939"",""zestimate"":""1208828"",""premieragent"":""no""}}","null","null","null","null"
"1572902399-2544","https://www.zillow.com/homes/santa-clara-CA_rb/","","https://www.zillow.com/homedetails/1464-Homestead-Rd-Santa-Clara-CA-95050/19580272_zpid/","Santa Clara, CA 95050","For sale","1464 Homestead Rd,","2","https://www.zillow.com/santa-clara-ca/2_p/","","","3,094","5","5","$1,275,925","$1,300,000","Single Family","1982","Other","None","Single Family","5,039 sqft","$4,190/mo","7","5","7","{""targetDiv"":""gpt-ad-50a2c855-da5d-4b6f-8396-ce129995b2a2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1464 Homestead Rd"",""bd"":""5"",""fsbid"":""16701"",""city"":""Santa_Clara"",""proptp"":""sfh"",""pid"":""19580272"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-4050072277100547861"",""sqftrange"":""3000-3499"",""price"":""1300000"",""sqft"":""3094"",""posting_url"":"""",""mlong"":""-121.949314"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95050"",""mlat"":""37.346695"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjbohweteey7w1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1980-1989"",""zestimate"":""1275925"",""premieragent"":""no""}}","null","null","null","null"
"1572902537-2644","https://www.zillow.com/homes/santa-clara-CA_rb/","","https://www.zillow.com/homedetails/2150-Brown-Ave-Santa-Clara-CA-95051/19555397_zpid/","Santa Clara, CA 95051","Pre-foreclosure","2150 Brown Ave,","","","","","1,226","3","2","$1,044,927","$1,044,927","Single Family","1958","Other","None","Single Family","5,789 sqft","null","6","6","8","{""targetDiv"":""gpt-ad-25199e83-9a22-4ce7-bd08-0d2a21ddf2a9"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2150 Brown Ave"",""bd"":""3"",""city"":""Santa_Clara"",""proptp"":""sfh"",""pid"":""19555397"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""-1950010252921324380"",""sqftrange"":""1000-1499"",""price"":""1258949"",""sqft"":""1226"",""posting_url"":"""",""mlong"":""-121.979602"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95051"",""mlat"":""37.361805"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IShrgigyo8frm91000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1940-1959"",""zestimate"":""1258949"",""premieragent"":""no""}}","null","null","null","null"
"1572902481-2597","https://www.zillow.com/homes/santa-clara-CA_rb/","","https://www.zillow.com/homedetails/1067-Alta-Mira-Dr-APT-A-Santa-Clara-CA-95051/19596608_zpid/","Santa Clara, CA 95051","For sale","1067 Alta Mira Dr APT A,","","","","","1,067","2","2","$699,952","$699,950","Condo","1971","Forced air","None","Condo","$440/month","$2,995/mo","4","6","7","{""targetDiv"":""gpt-ad-4a348c29-cd33-47a2-b47c-4b7e1942948b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt A"",""aamgnrc1"":""1067 Alta Mira Dr"",""bd"":""2"",""fsbid"":""16701"",""city"":""Santa_Clara"",""proptp"":""cnd"",""pid"":""19596608"",""lot"":""1"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""792311129223337979"",""sqftrange"":""1000-1499"",""price"":""699950"",""sqft"":""1067"",""posting_url"":""http://WWW.ALMORIDI.COM"",""mlong"":""-121.995236"",""state"":""CA"",""prange"":""600-699k"",""zip"":""95051"",""mlat"":""37.346163"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjv7a3ph5i0g50000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1970-1979"",""zestimate"":""699952"",""premieragent"":""no""}}","null","null","null","null"
"1572902551-2654","https://www.zillow.com/homes/santa-clara-CA_rb/","","https://www.zillow.com/homedetails/1368-El-Camino-Real-STE-402-Santa-Clara-CA-95050/2082269655_zpid/","Santa Clara, CA 95050","For sale","1368 El Camino Real STE 402,","","","","","2,087","3","3","$1,286,355","$1,299,000","Condo","2018","Forced air","Central","Condo","$493/month","null","7","5","7","{""targetDiv"":""gpt-ad-fac51136-ee9b-4aec-9c46-a44afae29587"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Ste 402"",""aamgnrc1"":""1368 El Camino Real"",""bd"":""3"",""fsbid"":""13698"",""city"":""Santa_Clara"",""proptp"":""cnd"",""pid"":""2082269655"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""7708448031021769034"",""sqftrange"":""2000-2499"",""price"":""1299000"",""sqft"":""2087"",""posting_url"":"""",""mlong"":""-121.951225"",""state"":""CA"",""prange"":""1-1_499m"",""zip"":""95050"",""mlat"":""37.352667"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7idsmtad711j0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1286355"",""premieragent"":""no""}}","null","null","null","null"
"1572902601-2705","https://www.zillow.com/homes/santa-clara-CA_rb/","","https://www.zillow.com/homedetails/1853-Almaden-Rd-APT-225-San-Jose-CA-95125/2082237227_zpid/","San Jose, CA 95125","New construction","1853 Almaden Rd APT 225,","","","","","1,295","2","2","$890,232","$890,225","Condo","No Data","No Data","No Data","Condo","$450/month","null","7","5","7","{""targetDiv"":""gpt-ad-bb760f97-e608-4793-96dd-12ad3fc21af4"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 225"",""aamgnrc1"":""1853 Almaden Rd"",""bd"":""2"",""fsbid"":""16594"",""city"":""San_Jose"",""proptp"":""cnd"",""pid"":""2082237227"",""zestibuck"":""800-899k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1000-1499"",""price"":""890225"",""sqft"":""1295"",""posting_url"":""https://www.siliconsagebuilders.com/User/User/Almaden?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=53003&nhf_listing_type=community&utm_term=comm_TheAlmaden&utm_campaign=San+Jose%2FCA"",""state"":""CA"",""mlong"":""-121.951499"",""cnty"":""Contra_Costa"",""prange"":""800-899k"",""zip"":""95125"",""mlat"":""37.352632"",""plid"":""13530471"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrhugzf2tkvd30000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""hood"":""Point_Richmond"",""zestimate"":""890232"",""premieragent"":""no"",""builderChatId"":""16594-819001"",""dma"":""37""}}","null","null","null","null"
