web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount,next_page6,next_page6-href,next_page7,next_page7-href,next_page8,next_page8-href,next_page9,next_page9-href,next_page10,next_page10-href,next_page11,next_page11-href,next_page12,next_page12-href,next_page13,next_page13-href,next_page14,next_page14-href,next_page15,next_page15-href,next_page16,next_page16-href,next_page17,next_page17-href,next_page18,next_page18-href,next_page19,next_page19-href,next_page20,next_page20-href
"1572905174-4496","https://www.zillow.com/homes/santa-rosa-CA_rb/","","https://www.zillow.com/homedetails/(undisclosed-Address)-Santa-Rosa-CA-95403/2083834806_zpid/","Santa Rosa, CA 95403","For sale","(undisclosed Address),","","","","","","","5","https://www.zillow.com/santa-rosa-ca/5_p/","924","2","1","$309,899","$309,900","Condo","1974","No Data","No Data","Condo","$240/month","null","1","2","8","No Data","null","null","null","null","NEXT","https://www.zillow.com/santa-rosa-ca/6_p/","NEXT","https://www.zillow.com/santa-rosa-ca/7_p/","NEXT","https://www.zillow.com/santa-rosa-ca/8_p/","NEXT","https://www.zillow.com/santa-rosa-ca/9_p/","NEXT","https://www.zillow.com/santa-rosa-ca/10_p/","NEXT","https://www.zillow.com/santa-rosa-ca/11_p/","NEXT","https://www.zillow.com/santa-rosa-ca/12_p/","NEXT","https://www.zillow.com/santa-rosa-ca/13_p/","NEXT","https://www.zillow.com/santa-rosa-ca/14_p/","NEXT","https://www.zillow.com/santa-rosa-ca/15_p/","","","","","","","","","",""
"1572906575-5628","https://www.zillow.com/homes/santa-rosa-CA_rb/","","https://www.zillow.com/homedetails/1668-Deer-Run-Santa-Rosa-CA-95405/15764247_zpid/","Santa Rosa, CA 95405","For sale","1668 Deer Run,","","","","","","","5","https://www.zillow.com/santa-rosa-ca/5_p/","2,278","3","3","$718,938","$725,000","Single Family","1981","Forced air","None","Single Family","8,712 sqft","$3,300/mo","2","4","7","No Data","null","null","null","null","NEXT","https://www.zillow.com/santa-rosa-ca/6_p/","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1572905966-5136","https://www.zillow.com/homes/santa-rosa-CA_rb/","","https://www.zillow.com/homedetails/4009-New-Zealand-Ave-Santa-Rosa-CA-95407/96074267_zpid/","Santa Rosa, CA 95407","For sale","4009 New Zealand Ave,","","","","","","","5","https://www.zillow.com/santa-rosa-ca/5_p/","2,238","3","3","null","$599,000","Single Family","2008","No Data","No Data","Single Family","3,484 sqft","$3,000/mo","4","2","3","No Data","null","null","null","null","NEXT","https://www.zillow.com/santa-rosa-ca/6_p/","NEXT","https://www.zillow.com/santa-rosa-ca/7_p/","NEXT","https://www.zillow.com/santa-rosa-ca/8_p/","NEXT","https://www.zillow.com/santa-rosa-ca/9_p/","NEXT","https://www.zillow.com/santa-rosa-ca/10_p/","","","","","","","","","","","","","","","","","","","",""
"1572906483-5552","https://www.zillow.com/homes/santa-rosa-CA_rb/","","https://www.zillow.com/homedetails/2143-Vintage-Cir-Santa-Rosa-CA-95404/15864498_zpid/","Santa Rosa, CA 95404","For sale","2143 Vintage Cir,","","","","","","","5","https://www.zillow.com/santa-rosa-ca/5_p/","2,488","3","3","$949,906","$949,900","Single Family","2019","No Data","No Data","Single Family","6,098 sqft","null","7","4","8","No Data","null","null","null","null","NEXT","https://www.zillow.com/santa-rosa-ca/6_p/","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1572904704-4114","https://www.zillow.com/homes/santa-rosa-CA_rb/","","https://www.zillow.com/homedetails/796-Los-Olivos-Rd-Santa-Rosa-CA-95404/251484570_zpid/","Santa Rosa, CA 95404","Lot/land","796 Los Olivos Rd,","","","","","","","5","https://www.zillow.com/santa-rosa-ca/5_p/","null","0.45 acres","null","None","$289,475","null","null","null","null","null","null","null","7","9","null","No Data","null","null","null","null","NEXT","https://www.zillow.com/santa-rosa-ca/6_p/","NEXT","https://www.zillow.com/santa-rosa-ca/7_p/","NEXT","https://www.zillow.com/santa-rosa-ca/8_p/","NEXT","https://www.zillow.com/santa-rosa-ca/9_p/","NEXT","https://www.zillow.com/santa-rosa-ca/10_p/","NEXT","https://www.zillow.com/santa-rosa-ca/11_p/","NEXT","https://www.zillow.com/santa-rosa-ca/12_p/","NEXT","https://www.zillow.com/santa-rosa-ca/13_p/","NEXT","https://www.zillow.com/santa-rosa-ca/14_p/","NEXT","https://www.zillow.com/santa-rosa-ca/15_p/","NEXT","https://www.zillow.com/santa-rosa-ca/16_p/","NEXT","https://www.zillow.com/santa-rosa-ca/17_p/","NEXT","https://www.zillow.com/santa-rosa-ca/18_p/","","","",""
"1572907444-6317","https://www.zillow.com/homes/santa-rosa-CA_rb/","","https://www.zillow.com/homedetails/3341-Parker-Hill-Rd-Santa-Rosa-CA-95404/15863449_zpid/","Santa Rosa, CA 95404","For sale","3341 Parker Hill Rd,","","","","","","","","","4,399","3","3","null","$2,850,000","Single Family","1995","Other","Central","Single Family","2.65 acres","$6,750/mo","7","4","8","{""targetDiv"":""gpt-ad-c5c82b53-3005-436e-997d-8176e19232f2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""3341 Parker Hill Rd"",""bd"":""3"",""fsbid"":""4383"",""city"":""Santa_Rosa"",""proptp"":""sfh"",""pid"":""15863449"",""lot"":""7"",""zestibuck"":""2_5-2_999m"",""listtp"":""buy_agent"",""zguidh"":""-5652408742482142627"",""sqftrange"":""4000-4499"",""price"":""2850000"",""oh"":""yes"",""sqft"":""4399"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/santa-rosa/3341-parker-hill-rd/pid_33602555/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.704386"",""state"":""CA"",""park"":""yes"",""prange"":""2_5-2_999m"",""zip"":""95404"",""mlat"":""38.473204"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISblaz5ybz4q2r1000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""1990-1999"",""zestimate"":""2597563"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1572904442-3855","https://www.zillow.com/homes/santa-rosa-CA_rb/","","https://www.zillow.com/homedetails/1570-Lawndale-Rd-Kenwood-CA-95452/2087452794_zpid/","Kenwood, CA 95452","Lot/land","1570 Lawndale Rd,","","","","","","","5","https://www.zillow.com/santa-rosa-ca/5_p/","null","26 acres","null","None","$2,400,000","null","null","null","null","null","null","$2,250/mo","7","8","9","{""targetDiv"":""gpt-ad-74f3b3c8-f7b6-4411-9da2-fa7ae889f871"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95452"",""aamgnrc1"":""1570 Lawndale Rd"",""mlat"":""38.408793"",""bd"":""0"",""fsbid"":""13753"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvw0r0ct943tx0000000000.jpg"",""zusr"":""true"",""city"":""Kenwood"",""proptp"":""lot"",""pid"":""2087452794"",""lot"":""10"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""2138531723213366884"",""premieragent"":""no"",""price"":""2400000"",""posting_url"":""https://www.pacificunion.com/real-estate/1570-lawndale-road-kenwood-ca-95452/21822702/61876740"",""mlong"":""-122.570931"",""state"":""CA"",""prange"":""2-2_499m""}}","null","null","null","null","NEXT","https://www.zillow.com/santa-rosa-ca/6_p/","NEXT","https://www.zillow.com/santa-rosa-ca/7_p/","NEXT","https://www.zillow.com/santa-rosa-ca/8_p/","NEXT","https://www.zillow.com/santa-rosa-ca/9_p/","NEXT","https://www.zillow.com/santa-rosa-ca/10_p/","NEXT","https://www.zillow.com/santa-rosa-ca/11_p/","NEXT","https://www.zillow.com/santa-rosa-ca/12_p/","NEXT","https://www.zillow.com/santa-rosa-ca/13_p/","NEXT","https://www.zillow.com/santa-rosa-ca/14_p/","NEXT","https://www.zillow.com/santa-rosa-ca/15_p/","NEXT","https://www.zillow.com/santa-rosa-ca/16_p/","NEXT","https://www.zillow.com/santa-rosa-ca/17_p/","NEXT","https://www.zillow.com/santa-rosa-ca/18_p/","NEXT","https://www.zillow.com/santa-rosa-ca/19_p/","NEXT","https://www.zillow.com/santa-rosa-ca/20_p/"
"1572906086-5231","https://www.zillow.com/homes/santa-rosa-CA_rb/","","https://www.zillow.com/homedetails/457-Blythewood-Pl-Santa-Rosa-CA-95407/250058870_zpid/","Santa Rosa, CA 95407","For sale","457 Blythewood Pl,","","","","","","","5","https://www.zillow.com/santa-rosa-ca/5_p/","1,317","3","3","$529,995","$529,523","Single Family","2019","No Data","No Data","Single Family","1,306 sqft","null","3","2","3","No Data","null","null","null","null","NEXT","https://www.zillow.com/santa-rosa-ca/6_p/","NEXT","https://www.zillow.com/santa-rosa-ca/7_p/","NEXT","https://www.zillow.com/santa-rosa-ca/8_p/","NEXT","https://www.zillow.com/santa-rosa-ca/9_p/","","","","","","","","","","","","","","","","","","","","","",""
"1572907194-6113","https://www.zillow.com/homes/santa-rosa-CA_rb/","","https://www.zillow.com/homedetails/4734-Annadel-Heights-Dr-Santa-Rosa-CA-95405/15795397_zpid/","Santa Rosa, CA 95405","For sale","4734 Annadel Heights Dr,","2","https://www.zillow.com/santa-rosa-ca/2_p/","","","","","","","2,605","5","4","null","$1,098,000","Single Family","1984","Forced air","Central","Single Family","0.3 acres","$3,657/mo","8","4","7","{""targetDiv"":""gpt-ad-05398329-de42-4636-b514-06aa20adc0d8"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""4734 Annadel Heights Dr"",""bd"":""5"",""fsbid"":""14644"",""city"":""Santa_Rosa"",""proptp"":""sfh"",""pid"":""15795397"",""lot"":""3"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""8215756810519004689"",""sqftrange"":""2500-2999"",""price"":""1098000"",""sqft"":""2605"",""posting_url"":"""",""mlong"":""-122.656299"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95405"",""mlat"":""38.433745"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzztm0n02299t1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Bennett_Valley"",""yrblt"":""1980-1989"",""zestimate"":""1080644"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1572907109-6048","https://www.zillow.com/homes/santa-rosa-CA_rb/","","https://www.zillow.com/homedetails/3545-Ridgeview-Dr-Santa-Rosa-CA-95404/15869783_zpid/","Santa Rosa, CA 95404","For sale","3545 Ridgeview Dr,","2","https://www.zillow.com/santa-rosa-ca/2_p/","","","","","","","2,109","3","3","$941,779","$950,000","Single Family","1974","Other","Central","Single Family","0.27 acres","$3,205/mo","7","4","8","{""targetDiv"":""gpt-ad-80d81f6b-14a2-48e9-9c66-00539ca240a5"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""3545 Ridgeview Dr"",""bd"":""3"",""fsbid"":""13599"",""city"":""Santa_Rosa"",""proptp"":""sfh"",""pid"":""15869783"",""lot"":""3"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""9201345458843377290"",""sqftrange"":""2000-2499"",""price"":""950000"",""sqft"":""2109"",""posting_url"":""https://www.bhhs.com/drysdaleproperties-ca326/ca/3545-ridgeview-drive-santa-rosa-95404/pid-2190345779?lead=MemberKey%3D1094225%26LeadBrand%3D11413101711000010000"",""mlong"":""-122.698061"",""state"":""CA"",""prange"":""900-999k"",""zip"":""95404"",""mlat"":""38.465063"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnu570dl1uc941000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""1970-1979"",""zestimate"":""941779"",""premieragent"":""no""}}","null","null","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
