web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572899232-975","https://www.zillow.com/homes/sausalito-CA_rb/","","https://www.zillow.com/homedetails/94-San-Carlos-Ave-Sausalito-CA-94965/19270198_zpid/","Sausalito, CA 94965","For sale","94 San Carlos Ave,","","","3,250","4","3","null","$4,795,000","Single Family","1928","Other","No Data","Single Family","9,317 sqft","$16,595/mo","2","9","null","{""targetDiv"":""gpt-ad-bf917752-1f13-46e7-a7e5-a8744b1e2a37"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""94 San Carlos Ave"",""bd"":""4"",""fsbid"":""4398"",""city"":""Sausalito"",""proptp"":""sfh"",""pid"":""19270198"",""lot"":""2"",""zestibuck"":""4m-4_999m"",""listtp"":""buy_agent"",""zguidh"":""-2822553153546525799"",""sqftrange"":""3000-3499"",""price"":""4795000"",""oh"":""yes"",""sqft"":""3250"",""posting_url"":""https://www.sothebyshomes.com/sanfrancisco/sales/00810404-94-San-Carlos-Ave-Sausalito-CA-94965?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.481586"",""state"":""CA"",""park"":""yes"",""prange"":""4m-4_999m"",""zip"":""94965"",""mlat"":""37.853685"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvwco6ogwc2dx1000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""1920-1939"",""zestimate"":""4795006"",""premieragent"":""no""}}","null","null","null","null"
"1572899128-878","https://www.zillow.com/homes/sausalito-CA_rb/","","https://www.zillow.com/homedetails/47-Prospect-Ave-Sausalito-CA-94965/19270452_zpid/","Sausalito, CA 94965","For sale","47 Prospect Ave,","","","4,390","3","6","$4,950,004","$4,950,000","Single Family","1900","Forced air","Other","Single Family","5,227 sqft","$16,854/mo","2","9","null","{""targetDiv"":""gpt-ad-d5b50806-0e44-44f1-bac1-d0bc8d1884d2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""47 Prospect Ave"",""bd"":""3"",""fsbid"":""13601"",""city"":""Sausalito"",""proptp"":""sfh"",""pid"":""19270452"",""lot"":""1"",""zestibuck"":""4m-4_999m"",""listtp"":""buy_agent"",""zguidh"":""-6956409311358621376"",""sqftrange"":""4000-4499"",""price"":""4950000"",""sqft"":""4390"",""posting_url"":""http://greathomes.org/mls/property/21922993"",""mlong"":""-122.485089"",""state"":""CA"",""park"":""yes"",""prange"":""4m-4_999m"",""zip"":""94965"",""mlat"":""37.852185"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr1iklc00vcpj0000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""1900-1919"",""zestimate"":""4950004"",""premieragent"":""no""}}","null","null","null","null"
"1572899081-842","https://www.zillow.com/homes/sausalito-CA_rb/","","https://www.zillow.com/homedetails/240-Santa-Rosa-Ave-Sausalito-CA-94965/19270238_zpid/","Sausalito, CA 94965","For sale","240 Santa Rosa Ave,","","","2,660","3","3","$1,962,229","$1,999,000","Single Family","1992","Other","No Data","Single Family","8,276 sqft","$6,619/mo","2","9","null","{""targetDiv"":""gpt-ad-7877124f-de9a-49a6-aa64-756713f771af"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""240 Santa Rosa Ave"",""bd"":""3"",""fsbid"":""13599"",""city"":""Sausalito"",""proptp"":""sfh"",""pid"":""19270238"",""lot"":""2"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""1073741535510038430"",""sqftrange"":""2500-2999"",""price"":""1999000"",""sqft"":""2660"",""posting_url"":""https://www.bhhs.com/drysdaleproperties-ca326/ca/240-santa-rosa-avenue-sausalito-94965/pid-2171063266?lead=MemberKey%3D1118601%26LeadBrand%3D11413101711000010000"",""mlong"":""-122.488905"",""state"":""CA"",""prange"":""1_5-1_999m"",""zip"":""94965"",""mlat"":""37.854199"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb13cnn38yfmr0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1990-1999"",""zestimate"":""1962229"",""premieragent"":""no""}}","null","null","null","null"
"1572899095-850","https://www.zillow.com/homes/sausalito-CA_rb/","","https://www.zillow.com/homedetails/77-Central-Ave-Sausalito-CA-94965/19270469_zpid/","Sausalito, CA 94965","For sale","77 Central Ave,","","","3,615","4","4","null","$4,899,000","Single Family","1900","Forced air","Central","Single Family","8,712 sqft","$16,616/mo","2","9","null","{""targetDiv"":""gpt-ad-9ef46662-aade-4642-9fa2-981764f38a1f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""77 Central Ave"",""bd"":""4"",""fsbid"":""4383"",""city"":""Sausalito"",""proptp"":""sfh"",""pid"":""19270469"",""lot"":""2"",""zestibuck"":""4m-4_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-1984732332072268760"",""sqftrange"":""3500-3999"",""price"":""4899000"",""sqft"":""3615"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/sausalito/77-central-ave/pid_31385726/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.482838"",""state"":""CA"",""prange"":""4m-4_999m"",""zip"":""94965"",""mlat"":""37.851576"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISmqm5r8i1xr440000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""1900-1919"",""zestimate"":""4813121"",""premieragent"":""no""}}","null","null","null","null"
"1572899153-899","https://www.zillow.com/homes/sausalito-CA_rb/","","https://www.zillow.com/homedetails/26-Crescent-Ave-Sausalito-CA-94965/80737389_zpid/","Sausalito, CA 94965","For sale","26 Crescent Ave,","","","2,100","3","3","$2,301,055","$2,295,000","Single Family","2015","Other","No Data","Single Family","3,484 sqft","$7,966/mo","2","9","null","{""targetDiv"":""gpt-ad-0d67c533-1456-4b03-82b0-d4ca924a0ac4"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""26 Crescent Ave"",""bd"":""3"",""fsbid"":""14224"",""city"":""Sausalito"",""proptp"":""sfh"",""pid"":""80737389"",""lot"":""1"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""zguidh"":""-2403266985229044375"",""sqftrange"":""2000-2499"",""price"":""2295000"",""sqft"":""2100"",""posting_url"":""http://www.m-california.com"",""mlong"":""-122.484553"",""state"":""CA"",""prange"":""2-2_499m"",""zip"":""94965"",""mlat"":""37.848509"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr1mj3lzmtebo1000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""2010-2019"",""zestimate"":""2301055"",""premieragent"":""no""}}","null","null","null","null"
"1572899203-948","https://www.zillow.com/homes/sausalito-CA_rb/","","https://www.zillow.com/homedetails/61-Wolfback-Ridge-Rd-Sausalito-CA-94965/89037323_zpid/","Sausalito, CA 94965","For sale","61 Wolfback Ridge Rd,","","","4,611","5","4","null","$5,495,000","Single Family","2009","Other, Radiant","No Data","Single Family","0.74 acres","$18,433/mo","2","9","null","{""targetDiv"":""gpt-ad-de4c09e8-e34b-40cc-a0fd-bb1c92128a75"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""61 Wolfback Ridge Rd"",""bd"":""5"",""fsbid"":""4383"",""city"":""Sausalito"",""proptp"":""sfh"",""pid"":""89037323"",""lot"":""4"",""zestibuck"":""5m-5_999m"",""listtp"":""buy_agent"",""zguidh"":""374998666605311777"",""sqftrange"":""4500-4999"",""price"":""5495000"",""sqft"":""4611"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/sausalito/61-wolfback-ridge-rd/pid_32541375/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.490218"",""state"":""CA"",""park"":""yes"",""prange"":""5m-5_999m"",""zip"":""94965"",""mlat"":""37.847664"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzfm3hatsj0gv0000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""2000-2009"",""zestimate"":""5360603"",""premieragent"":""no""}}","null","null","null","null"
"1572899167-912","https://www.zillow.com/homes/sausalito-CA_rb/","","https://www.zillow.com/homedetails/83-Monte-Mar-Dr-Sausalito-CA-94965/19269411_zpid/","Sausalito, CA 94965","For sale","83 Monte Mar Dr,","","","2,835","4","4","$2,427,845","$2,399,000","Single Family","1982","Forced air","Central","Single Family","10,454 sqft","$8,318/mo","2","9","null","{""targetDiv"":""gpt-ad-9de00114-2132-4295-b237-d635b50987c3"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""83 Monte Mar Dr"",""bd"":""4"",""fsbid"":""14224"",""city"":""Sausalito"",""proptp"":""sfh"",""pid"":""19269411"",""lot"":""2"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""zguidh"":""-6067075752605693694"",""sqftrange"":""2500-2999"",""price"":""2399000"",""sqft"":""2835"",""posting_url"":"""",""mlong"":""-122.49149"",""state"":""CA"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""94965"",""mlat"":""37.854902"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3fk0ypboakab1000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""1980-1989"",""zestimate"":""2427845"",""premieragent"":""no""}}","null","null","null","null"
"1572899197-942","https://www.zillow.com/homes/sausalito-CA_rb/","","https://www.zillow.com/homedetails/12-W-Harbor-Dr-Sausalito-CA-94965/19269758_zpid/","Sausalito, CA 94965","For sale","12 W Harbor Dr,","","","null","3","null","$999,275","$985,000","Single Family","1979","Radiant","None","Single Family","871 sqft","$4,300/mo","2","9","null","{""targetDiv"":""gpt-ad-730b79fb-2fcb-4055-bfce-8cab4cd7e898"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""12 W Harbor Dr"",""bd"":""3"",""fsbid"":""13478"",""city"":""Sausalito"",""proptp"":""sfh"",""pid"":""19269758"",""lot"":""1"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""-6205126942743785607"",""sqftrange"":""1500-1999"",""price"":""985000"",""sqft"":""1718"",""posting_url"":""https://sausalito.evrealestate.com/mls=RHN21924799?s=zillow"",""mlong"":""-122.501376"",""state"":""CA"",""prange"":""900-999k"",""zip"":""94965"",""mlat"":""37.866214"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7uqq7ffus64w0000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""1970-1979"",""zestimate"":""999275"",""premieragent"":""no""}}","null","null","null","null"
"1572899102-857","https://www.zillow.com/homes/sausalito-CA_rb/","","https://www.zillow.com/homedetails/72-Marie-St-Sausalito-CA-94965/19269176_zpid/","Sausalito, CA 94965","For sale","72 Marie St,","","","1,815","2","2","null","$1,650,000","Single Family","1972","Other","No Data","Single Family","7,261 sqft","$5,750/mo","2","9","null","No Data","null","null","null","null"
"1572899106-860","https://www.zillow.com/homes/sausalito-CA_rb/","","https://www.zillow.com/homedetails/14-Josephine-St-Sausalito-CA-94965/19270531_zpid/","Sausalito, CA 94965","For sale","14 Josephine St,","","","4,038","5","7","$4,361,767","$4,395,000","Condo","1970","Forced air","No Data","Condo","No Data","$8,500/mo","2","9","null","{""targetDiv"":""gpt-ad-9919a104-3038-4b82-9db9-ca7f8f1def88"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""14 Josephine St"",""bd"":""5"",""fsbid"":""14224"",""city"":""Sausalito"",""proptp"":""cnd"",""pid"":""19270531"",""lot"":""1"",""zestibuck"":""4m-4_999m"",""listtp"":""buy_agent"",""zguidh"":""-4103834793535504458"",""sqftrange"":""4000-4499"",""price"":""4395000"",""sqft"":""4038"",""posting_url"":"""",""mlong"":""-122.479654"",""state"":""CA"",""park"":""yes"",""prange"":""4m-4_999m"",""zip"":""94965"",""mlat"":""37.851247"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7ue1078ugife0000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""1970-1979"",""zestimate"":""4361767"",""premieragent"":""no""}}","null","null","null","null"
