web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572899134-882","https://www.zillow.com/homes/sebastopol-CA_rb/","","https://www.zillow.com/homedetails/4410-Thomas-Rd-Sebastopol-CA-95472/184909686_zpid/","Sebastopol, CA 95472","For sale","4410 Thomas Rd,","2","https://www.zillow.com/sebastopol-ca/2_p/","2,560","5","3","None","$1,795,000","Single Family","No Data","None","No Data","Single Family","8.2 acres","$2,900/mo","7","8","null","{""targetDiv"":""gpt-ad-86d81d55-e591-4b53-bc74-a5b30ac6e8ce"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95472"",""aamgnrc1"":""4410 Thomas Rd"",""mlat"":""38.447291"",""bd"":""5"",""fsbid"":""13601"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzbjqhi646m9a0000000000.jpg"",""zusr"":""true"",""city"":""Sebastopol"",""proptp"":""sfh"",""pid"":""184909686"",""lot"":""8"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-7650520959154010315"",""premieragent"":""no"",""sqftrange"":""2500-2999"",""price"":""1795000"",""sqft"":""2560"",""posting_url"":""http://greathomes.org/mls/property/21831110"",""mlong"":""-122.888971"",""state"":""CA"",""prange"":""1_5-1_999m""}}","null","null","null","null"
"1572899190-935","https://www.zillow.com/homes/sebastopol-CA_rb/","","https://www.zillow.com/homedetails/1364-Valley-Ford-Freestone-Rd-Valley-Ford-CA-94972/15774016_zpid/","Valley Ford, CA 94972","For sale","1364 Valley Ford Freestone Rd,","","","2,022","4","2","null","$1,197,000","Single Family","1972","Forced air","Central","Single Family","12 acres","$3,700/mo","9","5","6","{""targetDiv"":""gpt-ad-b6384d2e-b3b4-4749-b747-ff2d57913687"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1364 Valley Ford Freestone Rd"",""bd"":""4"",""fsbid"":""4383"",""city"":""Valley_Ford"",""proptp"":""sfh"",""pid"":""15774016"",""lot"":""9"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""5774174513715458197"",""sqftrange"":""2000-2499"",""price"":""1197000"",""sqft"":""2022"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/valley-ford/1364-valley-ford-freestone-rd/pid_31499109/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.914722"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94972"",""mlat"":""38.339843"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISa99qkah764dq1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1970-1979"",""zestimate"":""1176966"",""premieragent"":""no""}}","null","null","null","null"
"1572899142-887","https://www.zillow.com/homes/sebastopol-CA_rb/","","https://www.zillow.com/homedetails/3280-Hicks-Rd-Sebastopol-CA-95472/15830308_zpid/","Sebastopol, CA 95472","For sale","3280 Hicks Rd,","2","https://www.zillow.com/sebastopol-ca/2_p/","1,010","2","1","$1,298,997","$1,299,000","Single Family","1932","Gas","No Data","Single Family","2.08 acres","$2,750/mo","7","8","null","{""targetDiv"":""gpt-ad-a8df21ef-3398-4834-bcf4-aae905093e67"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""3280 Hicks Rd"",""bd"":""2"",""fsbid"":""13601"",""city"":""Sebastopol"",""proptp"":""sfh"",""pid"":""15830308"",""lot"":""7"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-4030108102423969158"",""sqftrange"":""1000-1499"",""price"":""1299000"",""sqft"":""1010"",""posting_url"":""http://greathomes.org/mls/property/21910070"",""mlong"":""-122.86599"",""state"":""CA"",""prange"":""1-1_499m"",""zip"":""95472"",""mlat"":""38.438425"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzb3ay7zz5qry0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1920-1939"",""zestimate"":""1298997"",""premieragent"":""no""}}","null","null","null","null"
"1572899329-1049","https://www.zillow.com/homes/sebastopol-CA_rb/","","https://www.zillow.com/homedetails/5299-Lone-Pine-Rd-LOT-5295-Sebastopol-CA-95472/2082286667_zpid/","Sebastopol, CA 95472","For sale","5299 Lone Pine Rd LOT 5295,","","","4,662","4","6","$1,899,008","$1,899,000","Single Family","2007","No Data","No Data","Single Family","3.42 acres","null","9","7","9","{""targetDiv"":""gpt-ad-59419c1a-2c6a-4556-830e-4f46cb759de4"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Lot 5295"",""aamgnrc1"":""5299 Lone Pine Rd"",""bd"":""4"",""fsbid"":""13601"",""city"":""Sebastopol"",""proptp"":""sfh"",""pid"":""2082286667"",""lot"":""7"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""257117743320787355"",""sqftrange"":""4500-4999"",""price"":""1899000"",""sqft"":""4662"",""posting_url"":""http://greathomes.org/mls/property/21927311"",""mlong"":""-122.782159"",""state"":""CA"",""prange"":""1_5-1_999m"",""zip"":""95472"",""mlat"":""38.363561"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3r9cxchjbe4q0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2000-2009"",""zestimate"":""1899008"",""premieragent"":""no""}}","null","null","null","null"
"1572899346-1063","https://www.zillow.com/homes/sebastopol-CA_rb/","","https://www.zillow.com/homedetails/5861-Fredricks-Rd-Sebastopol-CA-95472/15806505_zpid/","Sebastopol, CA 95472","For sale","5861 Fredricks Rd,","","","1,440","2","2","null","$889,000","Single Family","1910","Forced air","No Data","Single Family","1.02 acres","$2,850/mo","9","7","9","{""targetDiv"":""gpt-ad-cfafb3ba-9c14-45fc-8f2f-4931d455e496"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""5861 Fredricks Rd"",""bd"":""2"",""fsbid"":""6038"",""city"":""Sebastopol"",""proptp"":""sfh"",""pid"":""15806505"",""lot"":""6"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""zguidh"":""-651197021936366544"",""sqftrange"":""1000-1499"",""price"":""889000"",""sqft"":""1440"",""posting_url"":""http://www.bhgre.com/property/5861-Fredricks-Rd-Sebastopol-CA-95472/11926190/detail"",""mlong"":""-122.795473"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""95472"",""mlat"":""38.372942"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfg5zn0k7oep50000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""1900-1919"",""zestimate"":""897155"",""premieragent"":""no""}}","null","null","null","null"
"1572899231-974","https://www.zillow.com/homes/sebastopol-CA_rb/","","https://www.zillow.com/homedetails/8800-Green-Valley-Rd-SPC-6-Sebastopol-CA-95472/2113117921_zpid/","Sebastopol, CA 95472","For sale","8800 Green Valley Rd SPC 6,","","","600","1","1","$113,305","$117,000","Mobile / Manufactured","1969","No Data","No Data","Mobile / Manufactured","$195","$1,575/mo","7","8","null","{""targetDiv"":""gpt-ad-b1a6a631-254a-486f-9d85-bf0fd642a733"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Spc 6"",""aamgnrc1"":""8800 Green Valley Rd"",""bd"":""1"",""fsbid"":""13601"",""city"":""Sebastopol"",""proptp"":""mm"",""pid"":""2113117921"",""zestibuck"":""100-149k"",""listtp"":""buy_agent"",""zguidh"":""-1899834165974174041"",""sqftrange"":""500-999"",""price"":""117000"",""sqft"":""600"",""posting_url"":""http://greathomes.org/mls/property/21922610"",""mlong"":""-122.865453"",""state"":""CA"",""prange"":""100-149k"",""zip"":""95472"",""mlat"":""38.447301"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS33vkbir05hfi0000000000.jpg"",""zusr"":""true"",""price_band"":""z100"",""yrblt"":""1960-1969"",""zestimate"":""113305"",""premieragent"":""no""}}","null","null","null","null"
"1572899351-1069","https://www.zillow.com/homes/sebastopol-CA_rb/","","https://www.zillow.com/homedetails/15210-Bittner-Rd-Occidental-CA-95465/300262109_zpid/","Occidental, CA 95465","Lot/land","15210 Bittner Rd,","","","null","2.33 acres","null","None","$175,000","null","null","null","null","null","null","null","NA","7","8","{""targetDiv"":""gpt-ad-ddf13acd-b5eb-4a12-b642-caf67b6c2a62"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95465"",""aamgnrc1"":""15210 Bittner Rd"",""mlat"":""38.400661"",""bd"":""0"",""fsbid"":""13601"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzrj1jwbnesui1000000000.jpg"",""zusr"":""true"",""city"":""Occidental"",""proptp"":""lot"",""pid"":""300262109"",""lot"":""7"",""listtp"":""buy_agent"",""zguidh"":""-3272195966052520140"",""premieragent"":""no"",""price"":""175000"",""posting_url"":""http://greathomes.org/mls/property/21828501"",""mlong"":""-122.949689"",""state"":""CA"",""prange"":""150-199k""}}","null","null","null","null"
"1572899356-1073","https://www.zillow.com/homes/sebastopol-CA_rb/","","https://www.zillow.com/homedetails/5286-Mcfarlane-Rd-Sebastopol-CA-95472/15805495_zpid/","Sebastopol, CA 95472","For sale","5286 Mcfarlane Rd,","","","1,160","2","1","$875,196","$865,000","Single Family","1964","Other","No Data","Single Family","1 acre","$2,800/mo","9","7","9","{""targetDiv"":""gpt-ad-0689fd23-fef1-4ac4-950f-2d01038b3847"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""5286 Mcfarlane Rd"",""bd"":""2"",""fsbid"":""13601"",""city"":""Sebastopol"",""proptp"":""sfh"",""pid"":""15805495"",""lot"":""5,6"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""zguidh"":""9110889328077744334"",""sqftrange"":""1000-1499"",""price"":""865000"",""sqft"":""1160"",""posting_url"":""http://greathomes.org/mls/property/21927952"",""mlong"":""-122.782973"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""95472"",""mlat"":""38.359692"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbhr92auapmwa1000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""1960-1969"",""zestimate"":""875196"",""premieragent"":""no""}}","null","null","null","null"
"1572899112-866","https://www.zillow.com/homes/sebastopol-CA_rb/","","https://www.zillow.com/homedetails/711-705-Furlong-Rd-Sebastopol-CA-95472/2084687365_zpid/","Sebastopol, CA 95472","For sale","711 & 705 Furlong Rd,","2","https://www.zillow.com/sebastopol-ca/2_p/","3,189","3","3","null","$1,649,000","Single Family","2004","No Data","No Data","Single Family","4.55 acres","$5,475/mo","NA","7","8","{""targetDiv"":""gpt-ad-659eab65-e095-4491-849e-2c0ad7ebf8ed"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""711 & 705 Furlong Rd"",""bd"":""3"",""fsbid"":""4398"",""city"":""Sebastopol"",""proptp"":""sfh"",""pid"":""2084687365"",""lot"":""7"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""8146002570935992651"",""sqftrange"":""3000-3499"",""price"":""1649000"",""sqft"":""3189"",""posting_url"":""https://www.sothebyshomes.com/winecountry/sales/0245061-711-&-705-Furlong-Rd-Sebastopol-CA-95472?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.892956"",""state"":""CA"",""prange"":""1_5-1_999m"",""zip"":""95472"",""mlat"":""38.394383"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjn579n419pxf1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2000-2009"",""zestimate"":""1605085"",""premieragent"":""no""}}","null","null","null","null"
"1572899205-950","https://www.zillow.com/homes/sebastopol-CA_rb/","","https://www.zillow.com/homedetails/204-Ragle-Ave-S-Sebastopol-CA-95472/2083275410_zpid/","Sebastopol, CA 95472","For sale","204 Ragle Ave S,","","","1,072","3","2","$665,689","$669,000","Single Family","1973","No Data","No Data","Single Family","7,405 sqft","$2,650/mo","4","9","null","{""targetDiv"":""gpt-ad-6f44b732-2d41-40ef-a66f-94e0230323ae"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""204 Ragle Ave S"",""bd"":""3"",""fsbid"":""14311"",""city"":""Sebastopol"",""proptp"":""sfh"",""pid"":""2083275410"",""lot"":""2"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""4667309624977179043"",""sqftrange"":""1000-1499"",""price"":""669000"",""sqft"":""1072"",""posting_url"":"""",""mlong"":""-122.842958"",""state"":""CA"",""prange"":""600-699k"",""zip"":""95472"",""mlat"":""38.397043"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf4kiv6nc7pen0000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1970-1979"",""zestimate"":""665689"",""premieragent"":""no""}}","null","null","null","null"
