web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572919735-9663","https://www.zillow.com/homes/sonoma-CA_rb/","","https://www.zillow.com/homedetails/522-Este-Madera-Dr-Sonoma-CA-95476/15770757_zpid/","Sonoma, CA 95476","For sale","522 Este Madera Dr,","","","","","","","","","1,619","3","2","null","$1,125,000","Single Family","1966","None","No Data","Single Family","7,405 sqft","$3,739/mo","6","5","6","{""targetDiv"":""gpt-ad-a81f5e72-728b-47d7-9c5d-037c1ee5f611"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""522 Este Madera Dr"",""bd"":""3"",""fsbid"":""4398"",""city"":""Sonoma"",""proptp"":""sfh"",""pid"":""15770757"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""1386956661670407225"",""sqftrange"":""1500-1999"",""price"":""1125000"",""oh"":""yes"",""sqft"":""1619"",""posting_url"":""https://www.sothebyshomes.com/winecountry/sales/0245155-522-Este-Madera-Dr-Sonoma-CA-95476?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.447638"",""state"":""CA"",""prange"":""1-1_499m"",""zip"":""95476"",""mlat"":""38.283422"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb9hk9g4tbpra1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1960-1969"",""zestimate"":""1086822"",""premieragent"":""no""}}","null","null","null","null"
"1572919262-9123","https://www.zillow.com/homes/sonoma-CA_rb/","","https://www.zillow.com/homedetails/1198-Ingram-Dr-Sonoma-CA-95476/59722849_zpid/","Sonoma, CA 95476","For sale","1198 Ingram Dr,","","","3","https://www.zillow.com/sonoma-ca/3_p/","","","","","3,572","4","5","null","$1,499,000","Single Family","2004","Forced air","Central","Single Family","6,799 sqft","$4,943/mo","6","5","6","{""targetDiv"":""gpt-ad-ed98a457-0835-4b7b-b89e-11148575f923"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1198 Ingram Dr"",""bd"":""4"",""fsbid"":""3031"",""city"":""Sonoma"",""proptp"":""sfh"",""pid"":""59722849"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""707114753786592981"",""sqftrange"":""3500-3999"",""price"":""1499000"",""sqft"":""3572"",""posting_url"":""http://www.century21.com/property/1198-Ingram-Dr-Sonoma-CA-95476/12043157/detail"",""mlong"":""-122.450286"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95476"",""mlat"":""38.278466"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnu5bzmvmo8s51000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2000-2009"",""zestimate"":""1450852"",""premieragent"":""no""}}","null","null","null","null"
"1572919617-9528","https://www.zillow.com/homes/sonoma-CA_rb/","","https://www.zillow.com/homedetails/667-Cherry-Ave-34-Sonoma-CA-95476/2083148641_zpid/","Sonoma, CA 95476","For sale","667 Cherry Ave # 34,","2","https://www.zillow.com/sonoma-ca/2_p/","","","","","","","1,289","2","2","$476,403","$487,000","Condo","1990","Forced air","Central","Condo","$510/month","$2,400/mo","1","3","6","{""targetDiv"":""gpt-ad-e35e9970-634f-41f6-9384-0c84f3fbfa51"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 34"",""aamgnrc1"":""667 Cherry Ave"",""bd"":""2"",""fsbid"":""13601"",""city"":""Sonoma"",""proptp"":""cnd"",""pid"":""2083148641"",""zestibuck"":""450-499k"",""listtp"":""buy_agent"",""zguidh"":""1556557834677641389"",""sqftrange"":""1000-1499"",""price"":""487000"",""sqft"":""1289"",""posting_url"":""http://greathomes.org/mls/property/21921140"",""mlong"":""-122.490919"",""state"":""CA"",""prange"":""450-499k"",""zip"":""95476"",""mlat"":""38.309833"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3jji2m70or2a0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1990-1999"",""zestimate"":""476403"",""premieragent"":""no""}}","null","null","null","null"
"1572919245-9102","https://www.zillow.com/homes/sonoma-CA_rb/","","https://www.zillow.com/homedetails/1055-Heaven-Hill-Rd-Sonoma-CA-95476/2084038083_zpid/","Sonoma, CA 95476","Lot/land","1055 Heaven Hill Rd,","","","3","https://www.zillow.com/sonoma-ca/3_p/","","","","","null","1.8 acres","null","null","$487,000","null","null","null","null","null","null","$2,200/mo","2","3","6","{""targetDiv"":""gpt-ad-4fce86b9-782d-4284-963a-ab9bec404890"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95476"",""aamgnrc1"":""1055 Heaven Hill Rd"",""mlat"":""38.33379"",""bd"":""0"",""fsbid"":""2877"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISijmp7yl31o9y0000000000.jpg"",""zusr"":""true"",""city"":""Sonoma"",""proptp"":""lot"",""pid"":""2084038083"",""lot"":""6"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""3550950631133616744"",""premieragent"":""no"",""price"":""487000"",""posting_url"":""http://www.coldwellbanker.com/listingdetail/CBY7RN7T/"",""mlong"":""-122.511317"",""state"":""CA"",""prange"":""450-499k""}}","null","null","null","null"
"1572919676-9596","https://www.zillow.com/homes/sonoma-CA_rb/","","https://www.zillow.com/homedetails/456-2nd-St-E-Sonoma-CA-95476/15769885_zpid/","Sonoma, CA 95476","For sale","456 2nd St E,","2","https://www.zillow.com/sonoma-ca/2_p/","","","","","","","null","2","null","$2,432,962","$2,499,000","Single Family","2012","Baseboard, Forced air, Radiant","Central, Refrigeration","Single Family","6,098 sqft","$8,518/mo","6","5","6","{""targetDiv"":""gpt-ad-0cd505cc-1a8b-4c5b-9ff6-04415c66cb44"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""456 2nd St E"",""bd"":""2"",""fsbid"":""13478"",""city"":""Sonoma"",""proptp"":""sfh"",""pid"":""15769885"",""lot"":""2"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""zguidh"":""7401136069935257803"",""sqftrange"":""1500-1999"",""price"":""2499000"",""sqft"":""1900"",""posting_url"":""https://santarosa.evrealestate.com/mls=RHN21918183?s=zillow"",""mlong"":""-122.453932"",""state"":""CA"",""prange"":""2-2_499m"",""zip"":""95476"",""mlat"":""38.292357"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzn4nei3kf2gp0000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""2010-2019"",""zestimate"":""2432962"",""premieragent"":""no""}}","null","null","null","null"
"1572919826-9758","https://www.zillow.com/homes/sonoma-CA_rb/","","https://www.zillow.com/homedetails/197-Avenida-Barbera-Sonoma-CA-95476/15837829_zpid/","Sonoma, CA 95476","For sale","197 Avenida Barbera,","","","","","","","","","1,532","2","2","$755,717","$749,000","Single Family","1981","Heat pump","No Data","Single Family","4,791 sqft","$2,700/mo","6","5","6","{""targetDiv"":""gpt-ad-44ae8a65-20b5-43b5-897e-7240de5a24c3"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""197 Avenida Barbera"",""bd"":""2"",""fsbid"":""13601"",""city"":""Sonoma"",""proptp"":""sfh"",""pid"":""15837829"",""lot"":""1"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""-8434690655135571538"",""sqftrange"":""1500-1999"",""price"":""749000"",""sqft"":""1532"",""posting_url"":""http://greathomes.org/mls/property/21927331"",""mlong"":""-122.489801"",""state"":""CA"",""prange"":""700-799k"",""zip"":""95476"",""mlat"":""38.261445"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfse6xjwglwec1000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""yrblt"":""1980-1989"",""zestimate"":""755717"",""premieragent"":""no""}}","null","null","null","null"
"1572919853-9782","https://www.zillow.com/homes/sonoma-CA_rb/","","https://www.zillow.com/homedetails/197-Temelec-Cir-Sonoma-CA-95476/15837599_zpid/","Sonoma, CA 95476","For sale","197 Temelec Cir,","","","","","","","","","1,392","2","2","null","$474,000","Single Family","1967","None","No Data","Single Family","6,098 sqft","$2,500/mo","6","5","6","{""targetDiv"":""gpt-ad-f4c1c4ab-1d05-4992-8845-e18fe13f56e2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""197 Temelec Cir"",""bd"":""2"",""fsbid"":""4383"",""city"":""Sonoma"",""proptp"":""sfh"",""pid"":""15837599"",""lot"":""2"",""zestibuck"":""450-499k"",""listtp"":""buy_agent"",""zguidh"":""8220507958269570552"",""sqftrange"":""1000-1499"",""price"":""474000"",""sqft"":""1392"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/sonoma/197-temelec-circle/pid_33435531/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.498681"",""state"":""CA"",""prange"":""450-499k"",""zip"":""95476"",""mlat"":""38.26721"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr94jlbie4sjv1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1960-1969"",""zestimate"":""469553"",""premieragent"":""no""}}","null","null","null","null"
"1572919907-9835","https://www.zillow.com/homes/sonoma-CA_rb/","","https://www.zillow.com/homedetails/456-Bernice-Ln-Sonoma-CA-95476/15828904_zpid/","Sonoma, CA 95476","For sale","456 Bernice Ln,","","","","","","","","","1,028","2","2","$424,526","$429,900","Condo","1986","None","Central","Condo","$404/month","$2,300/mo","2","3","6","{""targetDiv"":""gpt-ad-7ec4fbb2-affe-4c77-837c-5894198bd539"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""456 Bernice Ln"",""bd"":""2"",""fsbid"":""13862"",""city"":""Sonoma"",""proptp"":""cnd"",""pid"":""15828904"",""lot"":""1"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""6594993473858542991"",""sqftrange"":""1000-1499"",""price"":""429900"",""sqft"":""1028"",""posting_url"":"""",""mlong"":""-122.469957"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""95476"",""mlat"":""38.29373"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb17fs09o6zrr1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1980-1989"",""zestimate"":""424526"",""premieragent"":""no""}}","null","null","null","null"
"1572919156-9004","https://www.zillow.com/homes/sonoma-CA_rb/","","https://www.zillow.com/homedetails/105-Fairway-Ct-Sonoma-CA-95476/15831626_zpid/","Sonoma, CA 95476","For sale","105 Fairway Ct,","","","3","https://www.zillow.com/sonoma-ca/3_p/","","","","","3,809","4","3","$2,159,159","$2,295,000","Single Family","1991","Forced air","Central","Single Family","0.57 acres","$7,380/mo","1","3","6","{""targetDiv"":""gpt-ad-d041200f-7da2-4960-90a5-ca3301a580e4"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""105 Fairway Ct"",""bd"":""4"",""fsbid"":""14224"",""city"":""Sonoma"",""proptp"":""sfh"",""pid"":""15831626"",""lot"":""4"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""zguidh"":""3484834468624339682"",""sqftrange"":""3500-3999"",""price"":""2295000"",""sqft"":""3809"",""posting_url"":"""",""mlong"":""-122.493296"",""state"":""CA"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""95476"",""mlat"":""38.315387"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb1jsqtotegjk0000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""1990-1999"",""zestimate"":""2159159"",""premieragent"":""no""}}","null","null","null","null"
"1572919365-9238","https://www.zillow.com/homes/sonoma-CA_rb/","","https://www.zillow.com/homedetails/18022-Brooks-Ave-Sonoma-CA-95476/15796772_zpid/","Sonoma, CA 95476","For sale","18022 Brooks Ave,","","","3","https://www.zillow.com/sonoma-ca/3_p/","","","","","616","2","1","$472,870","$475,000","Single Family","1957","None","Wall","Single Family","3,497 sqft","$2,250/mo","1","3","6","{""targetDiv"":""gpt-ad-262d2259-f4bc-4556-9f43-33265fc7512b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""18022 Brooks Ave"",""bd"":""2"",""fsbid"":""14311"",""city"":""Sonoma"",""proptp"":""sfh"",""pid"":""15796772"",""lot"":""1"",""zestibuck"":""450-499k"",""listtp"":""buy_agent"",""zguidh"":""-2616280072705019655"",""sqftrange"":""500-999"",""price"":""475000"",""sqft"":""616"",""posting_url"":""http://www.SueVaterlaus.com"",""mlong"":""-122.491018"",""state"":""CA"",""park"":""yes"",""prange"":""450-499k"",""zip"":""95476"",""mlat"":""38.311851"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3nuxkwp1k8ai0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1940-1959"",""zestimate"":""472870"",""premieragent"":""no""}}","null","null","null","null"
