web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572901489-2073","https://www.zillow.com/homes/st.-helena-CA_rb/","","https://www.zillow.com/homedetails/3052-White-Sulphur-Springs-Rd-Saint-Helena-CA-94574/2084827798_zpid/","Saint Helena, CA 94574","Lot/land","3052 White Sulphur Springs Rd,","","","3","https://www.zillow.com/saint-helena-ca/3_p/","null","52.58 acres","null","None","$2,995,000","null","null","null","null","null","null","$1,950/mo","5","6","8","{""targetDiv"":""gpt-ad-01170432-1d60-430a-bc00-a3e34730e551"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94574"",""aamgnrc1"":""3052 White Sulphur Springs Rd"",""mlat"":""38.489732"",""bd"":""0"",""fsbid"":""13753"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISaxr0kv4zivkk0000000000.jpg"",""zusr"":""true"",""city"":""Saint_Helena"",""proptp"":""lot"",""pid"":""2084827798"",""lot"":""11"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""789441630943912280"",""premieragent"":""no"",""price"":""2995000"",""posting_url"":""https://www.pacificunion.com/real-estate/3052-white-sulphur-springs-road-st-helena-ca-94574/21908993/71511789"",""mlong"":""-122.495878"",""state"":""CA"",""prange"":""2_5-2_999m""}}","null","null","null","null"
"1572901621-2217","https://www.zillow.com/homes/st.-helena-CA_rb/","","https://www.zillow.com/homedetails/1443-S-Whitehall-Ln-Saint-Helena-CA-94574/19404499_zpid/","Saint Helena, CA 94574","For sale","1443 S Whitehall Ln,","2","https://www.zillow.com/saint-helena-ca/2_p/","","","1,524","1","2","null","$5,000,000","Single Family","No Data","None","No Data","Single Family","8.3 acres","$3,112/mo","5","6","8","{""targetDiv"":""gpt-ad-814ecc72-0312-4d40-91c7-a474173cf1be"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1443 S Whitehall Ln"",""bd"":""1"",""fsbid"":""14642"",""city"":""Saint_Helena"",""proptp"":""sfh"",""pid"":""19404499"",""lot"":""8"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""4869653814027029939"",""sqftrange"":""1500-1999"",""price"":""5000000"",""sqft"":""1524"",""posting_url"":""http://www.cydgreer.com"",""mlong"":""-122.446109"",""state"":""CA"",""park"":""yes"",""prange"":""5m-5_999m"",""zip"":""94574"",""mlat"":""38.466777"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbl255vq7v0zi1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""zestimate"":""1660502"",""premieragent"":""no""}}","null","null","null","null"
"1572901599-2193","https://www.zillow.com/homes/st.-helena-CA_rb/","","https://www.zillow.com/homedetails/545-Greenfield-Rd-Saint-Helena-CA-94574/2094623340_zpid/","Saint Helena, CA 94574","Lot/land","545 Greenfield Rd,","2","https://www.zillow.com/saint-helena-ca/2_p/","","","null","1 acre","null","null","$475,000","null","null","null","null","null","null","$1,850/mo","5","6","8","{""targetDiv"":""gpt-ad-22f3c3a9-c917-4d19-a638-dcd36264db9b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94574"",""aamgnrc1"":""545 Greenfield Rd"",""mlat"":""38.506317"",""bd"":""0"",""fsbid"":""14642"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS37ih7gq106c81000000000.jpg"",""zusr"":""true"",""city"":""Saint_Helena"",""proptp"":""lot"",""pid"":""2094623340"",""lot"":""5,6"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-5022935472855511523"",""premieragent"":""no"",""price"":""475000"",""posting_url"":""http://www.joeltoller.com"",""mlong"":""-122.3924"",""state"":""CA"",""prange"":""450-499k""}}","null","null","null","null"
"1572901658-2259","https://www.zillow.com/homes/st.-helena-CA_rb/","","https://www.zillow.com/homedetails/189-Reserve-Rd-Saint-Helena-CA-94574/89157030_zpid/","Saint Helena, CA 94574","For sale","189 Reserve Rd,","2","https://www.zillow.com/saint-helena-ca/2_p/","","","6,350","6","7","null","$5,850,000","Single Family","2010","Other","Central","Single Family","69.43 acres","$4,800/mo","5","6","8","{""targetDiv"":""gpt-ad-fab20721-55fd-4f79-81eb-9cbeb5dd7bf5"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""189 Reserve Rd"",""bd"":""6"",""fsbid"":""9457"",""city"":""Saint_Helena"",""proptp"":""sfh"",""pid"":""89157030"",""lot"":""11"",""zestibuck"":""5m-5_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-2895379407341276161"",""sqftrange"":""6000-6999"",""price"":""5850000"",""sqft"":""6350"",""posting_url"":""https://www.sothebysrealty.com/id/cqhfr7"",""mlong"":""-122.317274"",""state"":""CA"",""park"":""yes"",""prange"":""5m-5_999m"",""zip"":""94574"",""mlat"":""38.505553"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISa9pmwxxqd5y30000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""2010-2019"",""zestimate"":""5505181"",""premieragent"":""no""}}","null","null","null","null"
"1572901513-2098","https://www.zillow.com/homes/st.-helena-CA_rb/","","https://www.zillow.com/homedetails/1060-Rutherford-Rd-Rutherford-CA-94573/2100798763_zpid/","Rutherford, CA 94573","For sale","1060 Rutherford Rd,","","","3","https://www.zillow.com/saint-helena-ca/3_p/","3,139","4","3","null","$2,450,000","Single Family","2005","No Data","No Data","Single Family","0.36 acres","$8,232/mo","5","6","8","{""targetDiv"":""gpt-ad-d27d59c8-992a-4578-87ef-c5454e87c390"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94573"",""aamgnrc1"":""1060 Rutherford Rd"",""mlat"":""38.5132"",""bd"":""4"",""fsbid"":""9457"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISi7lkhdpd1mmw0000000000.jpg"",""zusr"":""true"",""city"":""Rutherford"",""proptp"":""sfh"",""pid"":""2100798763"",""yrblt"":""2000-2009"",""lot"":""3"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-4775628760208111572"",""premieragent"":""no"",""sqftrange"":""3000-3499"",""price"":""2450000"",""sqft"":""3139"",""posting_url"":""https://www.sothebysrealty.com/id/sm74v5"",""mlong"":""-122.4366"",""state"":""CA"",""prange"":""2-2_499m""}}","null","null","null","null"
"1572901811-2411","https://www.zillow.com/homes/st.-helena-CA_rb/","","https://www.zillow.com/homedetails/2509-Madrona-Ave-Saint-Helena-CA-94574/19403357_zpid/","Saint Helena, CA 94574","Pre-foreclosure / auction","2509 Madrona Ave,","","","","","null","4","null","$3,747,369","$3,747,369","Single Family","1952","Other","No Data","Single Family","3.2 acres","null","5","6","8","{""targetDiv"":""gpt-ad-b56c4338-04a1-423a-9df8-14ad0819a77f"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2509 Madrona Ave"",""bd"":""4"",""city"":""Saint_Helena"",""proptp"":""sfh"",""pid"":""19403357"",""lot"":""7"",""zestibuck"":""5m-5_999m"",""listtp"":""buy_foreclosure"",""zguidh"":""-6657324640405253777"",""sqftrange"":""4500-4999"",""price"":""5064013"",""sqft"":""4748"",""posting_url"":"""",""mlong"":""-122.491712"",""state"":""CA"",""park"":""yes"",""prange"":""5m-5_999m"",""zip"":""94574"",""mlat"":""38.49899"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb1zkfcv8oju70000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""1940-1959"",""zestimate"":""5064013"",""premieragent"":""no""}}","null","null","null","null"
"1572901891-2477","https://www.zillow.com/homes/st.-helena-CA_rb/","","https://www.zillow.com/homedetails/1528-Voorhees-Cir-Saint-Helena-CA-94574/19400419_zpid/","Saint Helena, CA 94574","For sale","1528 Voorhees Cir,","","","","","1,254","2","2","$747,959","$775,000","Condo","1984","Other","No Data","Condo","$670/month","$3,200/mo","5","6","8","{""targetDiv"":""gpt-ad-52e5eb4f-79c5-4c24-b5d8-7ed08c07ac39"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1528 Voorhees Cir"",""bd"":""2"",""fsbid"":""13753"",""city"":""Saint_Helena"",""proptp"":""cnd"",""pid"":""19400419"",""lot"":""1"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""-1494483323480948598"",""sqftrange"":""1000-1499"",""price"":""775000"",""sqft"":""1254"",""posting_url"":""https://www.pacificunion.com/real-estate/1528-voorhees-circle-st-helena-ca-94574/21927284/79215466"",""mlong"":""-122.469787"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""94574"",""mlat"":""38.499904"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfcq4r9qxf9sd0000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""yrblt"":""1980-1989"",""zestimate"":""747959"",""premieragent"":""no""}}","null","null","null","null"
"1572901616-2211","https://www.zillow.com/homes/st.-helena-CA_rb/","","https://www.zillow.com/homedetails/2705-Spring-St-Saint-Helena-CA-94574/129656052_zpid/","Saint Helena, CA 94574","For sale","2705 Spring St,","2","https://www.zillow.com/saint-helena-ca/2_p/","","","2,130","3","4","null","$2,650,000","Single Family","1997","Forced air","Central","Single Family","6.32 acres","$3,250/mo","5","6","8","{""targetDiv"":""gpt-ad-547a7634-4539-4175-ace3-43b6f3bc27be"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2705 Spring St"",""bd"":""3"",""fsbid"":""2877"",""city"":""Saint_Helena"",""proptp"":""sfh"",""pid"":""129656052"",""lot"":""8"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-2016464244271724927"",""sqftrange"":""2000-2499"",""price"":""2650000"",""sqft"":""2130"",""posting_url"":""https://www.coldwellbankerluxury.com/property/?provider_id=8DE93FBA-59FB-44D3-8C00-F6F7E9E2F96B"",""mlong"":""-122.478145"",""state"":""CA"",""park"":""yes"",""prange"":""2_5-2_999m"",""zip"":""94574"",""mlat"":""38.490025"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS6itc99bfpp1v1000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""1990-1999"",""zestimate"":""2477510"",""premieragent"":""no""}}","null","null","null","null"
"1572901791-2392","https://www.zillow.com/homes/st.-helena-CA_rb/","","https://www.zillow.com/homedetails/1638-Madrona-Ave-Saint-Helena-CA-94574/19399220_zpid/","Saint Helena, CA 94574","For sale","1638 Madrona Ave,","","","","","1,136","2","1","null","$1,000,000","Single Family","1946","Other","None","Single Family","4,791 sqft","$3,100/mo","5","6","8","{""targetDiv"":""gpt-ad-6680e517-7c1b-49da-9076-243c4fe838ac"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1638 Madrona Ave"",""bd"":""2"",""fsbid"":""2877"",""city"":""Saint_Helena"",""proptp"":""sfh"",""pid"":""19399220"",""lot"":""1"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""1384192605640072415"",""sqftrange"":""1000-1499"",""price"":""1000000"",""sqft"":""1136"",""posting_url"":""http://www.coldwellbanker.com/listingdetail/CB77W8S7/"",""mlong"":""-122.476459"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94574"",""mlat"":""38.50301"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISj79n7ig0nvcb0000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""1940-1959"",""zestimate"":""973410"",""premieragent"":""no""}}","null","null","null","null"
"1572901895-2479","https://www.zillow.com/homes/st.-helena-CA_rb/","","https://www.zillow.com/homedetails/2455-Sulphur-Springs-Ave-Saint-Helena-CA-94574/129661222_zpid/","Saint Helena, CA 94574","For sale","2455 Sulphur Springs Ave,","","","","","3,804","5","5","null","$15,000,000","Single Family","1868","No Data","No Data","Single Family","48.82 acres","$4,800/mo","5","6","8","{""targetDiv"":""gpt-ad-82e76162-09e2-4e02-a92c-235a908967a6"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94574"",""aamgnrc1"":""2455 Sulphur Springs Ave"",""mlat"":""38.485511"",""bd"":""5"",""fsbid"":""2877"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnut1wcil8k1t0000000000.jpg"",""zusr"":""true"",""city"":""Saint_Helena"",""proptp"":""sfh"",""pid"":""129661222"",""yrblt"":""pre1900"",""lot"":""10"",""listtp"":""buy_agent"",""zguidh"":""5205244053362501308"",""premieragent"":""no"",""sqftrange"":""3500-3999"",""price"":""15000000"",""sqft"":""3804"",""posting_url"":""https://www.coldwellbankerluxury.com/property/?provider_id=73CA54A1-5823-487A-ACF4-F6B9F6E4E933"",""mlong"":""-122.472753"",""state"":""CA"",""prange"":""15m_and_up""}}","null","null","null","null"
