web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572919526-9423","https://www.zillow.com/homes/sunnyvale-CA_rb/","","https://www.zillow.com/homedetails/999-W-Evelyn-Ter-APT-83-Sunnyvale-CA-94086/19550566_zpid/","Sunnyvale, CA 94086","For sale","999 W Evelyn Ter APT 83,","2","https://www.zillow.com/sunnyvale-ca/2_p/","","","","","","","null","1","null","$721,758","$675,000","Condo","1976","Forced air","None","Condo","$410/month","$2,600/mo","5","7","7","{""targetDiv"":""gpt-ad-af87a538-b399-4ff9-ab2d-27462d3e30f4"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 83"",""aamgnrc1"":""999 W Evelyn Ter"",""bd"":""1"",""fsbid"":""15503"",""city"":""Sunnyvale"",""proptp"":""cnd"",""pid"":""19550566"",""lot"":""1"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""zguidh"":""586342154547420239"",""sqftrange"":""500-999"",""price"":""675000"",""sqft"":""778"",""posting_url"":""https://www.rexhomes.com/listing/999-w-evelyn-ter-apt-83"",""mlong"":""-122.008154"",""state"":""CA"",""prange"":""600-699k"",""zip"":""94086"",""mlat"":""37.370676"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISn2w03ax26zyo0000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""hood"":""Ponderosa"",""yrblt"":""1970-1979"",""zestimate"":""721758"",""premieragent"":""no""}}","null","null","null","null"
"1572919918-9842","https://www.zillow.com/homes/sunnyvale-CA_rb/","","https://www.zillow.com/community/echo-at-vale/2084288994_zpid/","Sunnyvale, CA 94085","New construction","Buildable plan: Echo - Plan 3, Echo at The Vale,","","","","","","","","","1,875","4","3.5","$1,472,231","$1,498,000","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","3","4","7","{""targetDiv"":""gpt-ad-19e66de9-57eb-42d8-ac2f-240daab22354"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 51OE5X"",""aamgnrc1"":""815 Galt Ter"",""bd"":""4"",""fsbid"":""14581"",""city"":""Sunnyvale"",""proptp"":""twn"",""pid"":""2084288994"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1500-1999"",""price"":""1498000"",""sqft"":""1875"",""posting_url"":""https://livethevale.com/echo/floor-plans/?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=506235&nhf_listing_type=plan&utm_term=plan_Echo-Plan3&utm_campaign=Sunnyvale%2FCA&plan=three"",""state"":""CA"",""mlong"":""-122.00875"",""cnty"":""Contra_Costa"",""prange"":""1-1_499m"",""zip"":""94085"",""mlat"":""37.386486"",""plid"":""19329721"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISu8qmfkpo09yr0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""East_Murphy"",""yrblt"":""2010-2019"",""zestimate"":""1472231"",""premieragent"":""no"",""builderChatId"":""14581-804227"",""dma"":""37""}}","null","null","null","null"
"1572919759-9686","https://www.zillow.com/homes/sunnyvale-CA_rb/","","https://www.zillow.com/community/nexus-at-vale/2084288997_zpid/","Sunnyvale, CA 94085","New construction","Buildable plan: Plan Four, Nexus at The Vale,","","","","","","","","","1,960","4","3.5","$1,508,929","$1,548,000","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","3","4","7","{""targetDiv"":""gpt-ad-8c99c40d-d78f-4211-ab55-61e5a99a8bcf"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" PPTOLC"",""aamgnrc1"":""812 Galt Ter"",""bd"":""4"",""fsbid"":""14581"",""city"":""Sunnyvale"",""proptp"":""twn"",""pid"":""2084288997"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1500-1999"",""price"":""1548000"",""sqft"":""1960"",""posting_url"":""https://landseahomes.com/nexus/plan-four?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=507509&nhf_listing_type=plan&utm_term=plan_PlanFour&utm_campaign=Sunnyvale%2FCA"",""state"":""CA"",""mlong"":""-122.005065"",""cnty"":""Santa_Clara"",""prange"":""1_5-1_999m"",""zip"":""94085"",""mlat"":""37.387319"",""plid"":""19625833"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISec2ytkf7i3zr0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""East_Murphy"",""yrblt"":""2010-2019"",""zestimate"":""1508929"",""premieragent"":""no"",""builderChatId"":""14581-804470"",""dma"":""37""}}","null","null","null","null"
"1572919968-9885","https://www.zillow.com/homes/sunnyvale-CA_rb/","","https://www.zillow.com/community/santorini/2082595372_zpid/","Sunnyvale, CA 94089","New construction","Buildable plan: PLAN 1BX, Santorini,","","","","","","","","","1,571","3","3","None","$1,489,990","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","4","4","7","{""targetDiv"":""gpt-ad-69d64bcf-b3e1-4201-9206-bdc39d05feaa"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" RTFDOS"",""aamgnrc1"":""160 Persian Dr"",""bd"":""3"",""fsbid"":""12653"",""city"":""Sunnyvale"",""proptp"":""twn"",""pid"":""2082595372"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1500-1999"",""price"":""1489990"",""sqft"":""1571"",""posting_url"":""http://www.drhorton.com/california/bay-area/sunnyvale/santorini/floor-plans/001b.aspx?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=613440&nhf_listing_type=plan&utm_term=plan_PLAN1BX&utm_campaign=SUNNYVALE%2FCA"",""state"":""CA"",""mlong"":""-122.0212"",""cnty"":""Contra_Costa"",""prange"":""1-1_499m"",""zip"":""94089"",""mlat"":""37.40382"",""plid"":""28629923"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISn6vqdkqdulxu1000000000.jpg"",""zusr"":""true"",""hood"":""Lakewood"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""12653-820702"",""dma"":""37""}}","null","null","null","null"
"1572919151-8999","https://www.zillow.com/homes/sunnyvale-CA_rb/","","https://www.zillow.com/homedetails/1220-Vienna-Dr-SPC-510-Sunnyvale-CA-94089/2084198406_zpid/","Sunnyvale, CA 94089","For sale","1220 Vienna Dr SPC 510,","","","","","4","https://www.zillow.com/sunnyvale-ca/4_p/","","","1,566","3","2","$228,413","$230,000","Mobile / Manufactured","1999","Forced air","Central","Mobile / Manufactured","$147","$3,600/mo","5","7","8","{""targetDiv"":""gpt-ad-00b09bd4-9b53-496e-bdce-b2899d76e337"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Spc 510"",""aamgnrc1"":""1220 Vienna Dr"",""bd"":""3"",""fsbid"":""13698"",""city"":""Sunnyvale"",""proptp"":""mm"",""pid"":""2084198406"",""zestibuck"":""200-249k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-6232146868771048898"",""sqftrange"":""1500-1999"",""price"":""230000"",""sqft"":""1566"",""posting_url"":""http://www.pamshomes.com"",""mlong"":""-121.998936"",""state"":""CA"",""prange"":""200-249k"",""zip"":""94089"",""mlat"":""37.40199"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISr9cxdxrnde900000000000.jpg"",""zusr"":""true"",""price_band"":""z200"",""hood"":""Lakewood"",""yrblt"":""1990-1999"",""zestimate"":""228413"",""premieragent"":""no""}}","null","null","null","null"
"1572919485-9372","https://www.zillow.com/homes/sunnyvale-CA_rb/","","https://www.zillow.com/homedetails/903-Sunrose-Ter-APT-314-Sunnyvale-CA-94086/19551512_zpid/","Sunnyvale, CA 94086","For sale","903 Sunrose Ter APT 314,","2","https://www.zillow.com/sunnyvale-ca/2_p/","","","","","","","1,366","2","2","$1,036,889","$989,999","Condo","1994","Forced air","Central","Condo","$496/month","$3,500/mo","6","7","8","{""targetDiv"":""gpt-ad-798049a9-b916-4e85-bb1c-998466d43720"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 314"",""aamgnrc1"":""903 Sunrose Ter"",""bd"":""2"",""fsbid"":""16701"",""city"":""Sunnyvale"",""proptp"":""cnd"",""pid"":""19551512"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""1495876729099252191"",""sqftrange"":""1000-1499"",""price"":""989999"",""sqft"":""1366"",""posting_url"":"""",""mlong"":""-122.013849"",""state"":""CA"",""prange"":""900-999k"",""zip"":""94086"",""mlat"":""37.354552"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvc5lfoi4tdy40000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""hood"":""Ponderosa"",""yrblt"":""1990-1999"",""zestimate"":""1036889"",""premieragent"":""no""}}","null","null","null","null"
"1572919867-9796","https://www.zillow.com/homes/sunnyvale-CA_rb/","","https://www.zillow.com/community/santorini/2082823888_zpid/","Sunnyvale, CA 94089","New construction","Buildable plan: Residence 2, Santorini,","","","","","","","","","1,749","4","4","None","$1,634,990","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","4","4","7","{""targetDiv"":""gpt-ad-0d0e5e41-15ea-4c41-81f1-db2aef79d0be"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" CZ04X"",""aamgnrc1"":""160 Persian Dr"",""bd"":""4"",""fsbid"":""12653"",""city"":""Sunnyvale"",""proptp"":""twn"",""pid"":""2082823888"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1500-1999"",""price"":""1634990"",""sqft"":""1749"",""posting_url"":""http://www.drhorton.com/california/bay-area/sunnyvale/santorini/floor-plans/0002.aspx?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=603855&nhf_listing_type=plan&utm_term=plan_Residence2&utm_campaign=SUNNYVALE%2FCA"",""state"":""CA"",""mlong"":""-122.0212"",""cnty"":""Santa_Clara"",""prange"":""1_5-1_999m"",""zip"":""94089"",""mlat"":""37.40382"",""plid"":""28629923"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfw13xkwpxfdc1000000000.jpg"",""zusr"":""true"",""hood"":""Lakewood"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""12653-820702"",""dma"":""37""}}","null","null","null","null"
"1572919101-8946","https://www.zillow.com/homes/sunnyvale-CA_rb/","","https://www.zillow.com/homedetails/1111-Morse-Ave-SPC-145-Sunnyvale-CA-94089/2108722863_zpid/","Sunnyvale, CA 94089","For sale","1111 Morse Ave SPC 145,","","","","","4","https://www.zillow.com/sunnyvale-ca/4_p/","","","1,536","1","2","$213,285","$214,000","Mobile / Manufactured","1975","Forced air","Central","Mobile / Manufactured","$139","$3,500/mo","4","4","7","{""targetDiv"":""gpt-ad-e1c1994a-22ff-401c-aba3-ac655bb22bd2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Spc 145"",""aamgnrc1"":""1111 Morse Ave"",""bd"":""1"",""fsbid"":""13698"",""city"":""Sunnyvale"",""proptp"":""mm"",""pid"":""2108722863"",""zestibuck"":""200-249k"",""listtp"":""buy_agent"",""zguidh"":""-4239036618343481170"",""sqftrange"":""1500-1999"",""price"":""214000"",""sqft"":""1536"",""posting_url"":"""",""mlong"":""-122.017801"",""state"":""CA"",""prange"":""200-249k"",""zip"":""94089"",""mlat"":""37.403141"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbl6g0a1wjqjw0000000000.jpg"",""zusr"":""true"",""price_band"":""z200"",""hood"":""Lakewood"",""yrblt"":""1970-1979"",""zestimate"":""213285"",""premieragent"":""no""}}","null","null","null","null"
"1572919985-9898","https://www.zillow.com/homes/sunnyvale-CA_rb/","","https://www.zillow.com/homedetails/1582-Albatross-Dr-Sunnyvale-CA-94087/153288869_zpid/","Sunnyvale, CA 94087","For sale","1582 Albatross Dr,","","","","","","","","","null","--","null","$2,097,120","$1,995,000","Multi Family","1964","Gas","Wall","Multi Family","$718","$3,700/mo","9","8","7","{""targetDiv"":""gpt-ad-7a667fe3-eca4-4729-aff0-92aac498a904"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1582 Albatross Dr"",""bd"":""0"",""fsbid"":""13698"",""city"":""Sunnyvale"",""proptp"":""mfh"",""pid"":""153288869"",""lot"":""2"",""zestibuck"":""2-2_499m"",""listtp"":""buy_agent"",""zguidh"":""6796127030524093819"",""sqftrange"":""2500-2999"",""price"":""1995000"",""oh"":""yes"",""sqft"":""2778"",""posting_url"":"""",""mlong"":""-122.030894"",""state"":""CA"",""prange"":""1_5-1_999m"",""zip"":""94087"",""mlat"":""37.341973"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS33r5l03eh97b0000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""hood"":""Ortega"",""yrblt"":""1960-1969"",""zestimate"":""2097120"",""premieragent"":""no""}}","null","null","null","null"
"1572918970-8797","https://www.zillow.com/homes/sunnyvale-CA_rb/","","https://www.zillow.com/homedetails/1220-Tasman-Dr-SPC-316-Sunnyvale-CA-94089/2126695125_zpid/","Sunnyvale, CA 94089","For sale","1220 Tasman Dr SPC 316,","","","","","","","5","https://www.zillow.com/sunnyvale-ca/5_p/","1,368","2","2","null","$199,900","Mobile / Manufactured","1969","Forced air","Wall","Mobile / Manufactured","$146","$3,550/mo","5","7","8","{""targetDiv"":""gpt-ad-6d8dff61-3f34-416a-b8d1-5085e94fca2e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Spc 316"",""aamgnrc1"":""1220 Tasman Dr"",""bd"":""2"",""fsbid"":""14641"",""city"":""Sunnyvale"",""proptp"":""mm"",""pid"":""2126695125"",""zestibuck"":""150-199k"",""listtp"":""buy_agent"",""zguidh"":""-3058115424764718559"",""sqftrange"":""1000-1499"",""price"":""199900"",""sqft"":""1368"",""posting_url"":"""",""mlong"":""-121.987604"",""state"":""CA"",""prange"":""150-199k"",""zip"":""94089"",""mlat"":""37.403301"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7m4khatlff7h1000000000.jpg"",""zusr"":""true"",""price_band"":""z100"",""hood"":""Lakewood"",""yrblt"":""1960-1969"",""zestimate"":""197234"",""premieragent"":""no""}}","null","null","null","null"
