web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572899319-1039","https://www.zillow.com/homes/tiburon-CA_rb/","","https://www.zillow.com/homedetails/6-Via-Elverano-Belvedere-CA-94920/19261027_zpid/","Belvedere, CA 94920","Pre-foreclosure / auction","6 Via Elverano,","2","https://www.zillow.com/tiburon-ca/2_p/","null","5","null","$1,817,736","$1,817,736","Single Family","1972","Other","No Data","Single Family","0.82 acres","null","9","9","10","{""targetDiv"":""gpt-ad-6f6d7c2c-7d17-4725-bfc1-01010490661c"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""6 Via Elverano"",""bd"":""5"",""city"":""Belvedere"",""proptp"":""sfh"",""pid"":""19261027"",""lot"":""5"",""zestibuck"":""2-2_499m"",""listtp"":""buy_foreclosure"",""zguidh"":""196850480977492947"",""sqftrange"":""3000-3499"",""price"":""2456400"",""sqft"":""3315"",""posting_url"":"""",""mlong"":""-122.499109"",""state"":""CA"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""94920"",""mlat"":""37.907613"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISiv72hinzeqrd1000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""1970-1979"",""zestimate"":""2456400"",""premieragent"":""no""}}","null","null","null","null"
"1572899309-1031","https://www.zillow.com/homes/tiburon-CA_rb/","","https://www.zillow.com/homedetails/1911-Mar-West-St-Tiburon-CA-94920/157228343_zpid/","Tiburon, CA 94920","Lot/land","1911 Mar West St,","2","https://www.zillow.com/tiburon-ca/2_p/","null","7,787 sqft","null","None","$1,350,000","null","null","null","null","null","null","null","9","9","10","{""targetDiv"":""gpt-ad-91ec211a-cce3-42b8-af45-25041d8efeb7"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94920"",""aamgnrc1"":""1911 Mar West St"",""mlat"":""37.874047"",""bd"":""0"",""fsbid"":""13753"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISuggwu1qt8alt1000000000.jpg"",""zusr"":""true"",""city"":""Tiburon"",""proptp"":""lot"",""pid"":""157228343"",""lot"":""2"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""2121654838030999912"",""premieragent"":""no"",""price"":""1350000"",""posting_url"":""https://www.pacificunion.com/real-estate/1911-mar-west-street-tiburon-ca-94920/21909508/72064672"",""mlong"":""-122.452106"",""state"":""CA"",""prange"":""1-1_499m""}}","null","null","null","null"
"1572899325-1046","https://www.zillow.com/homes/tiburon-CA_rb/","","https://www.zillow.com/homedetails/190-Gilmartin-Dr-Tiburon-CA-94920/19261602_zpid/","Tiburon, CA 94920","For sale","190 Gilmartin Dr,","2","https://www.zillow.com/tiburon-ca/2_p/","7,771","8","8","null","$7,750,000","Single Family","1991","Other","No Data","Single Family","0.45 acres","$25,843/mo","9","9","10","{""targetDiv"":""gpt-ad-d8c9fd43-098e-40fd-b8d9-679a9e37632a"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94920"",""aamgnrc1"":""190 Gilmartin Dr"",""mlat"":""37.890795"",""bd"":""8"",""fsbid"":""9457"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS6a7isn3ivrom0000000000.jpg"",""zusr"":""true"",""city"":""Tiburon"",""proptp"":""sfh"",""pid"":""19261602"",""yrblt"":""1990-1999"",""lot"":""3"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-4667192237597543388"",""premieragent"":""no"",""sqftrange"":""7000-7999"",""price"":""7750000"",""sqft"":""7771"",""posting_url"":""https://www.sothebysrealty.com/id/wk6d8d"",""mlong"":""-122.466971"",""state"":""CA"",""park"":""yes"",""prange"":""7m-7_999m""}}","null","null","null","null"
"1572899299-1022","https://www.zillow.com/homes/tiburon-CA_rb/","","https://www.zillow.com/homedetails/3820-Paradise-Dr-LOT-Tiburon-CA-94920/2093823841_zpid/","Tiburon, CA 94920","Lot/land","3820 Paradise Dr LOT #,","2","https://www.zillow.com/tiburon-ca/2_p/","null","3.2 acres","null","None","$2,145,000","null","null","null","null","null","null","$3,195/mo","9","9","10","{""targetDiv"":""gpt-ad-ad3a84bc-ad79-4720-9fd7-c9751d6ab73d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Lot "",""zip"":""94920"",""aamgnrc1"":""3820 Paradise Dr"",""mlat"":""37.897661"",""bd"":""0"",""fsbid"":""13753"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISmm3sw7u6so3m0000000000.jpg"",""zusr"":""true"",""city"":""Tiburon"",""proptp"":""lot"",""pid"":""2093823841"",""lot"":""7"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""7850097325048340201"",""premieragent"":""no"",""price"":""2145000"",""posting_url"":""https://www.pacificunion.com/real-estate/3820-paradise-drive-lot-2-tiburon-ca-94920/21912752/72921512"",""mlong"":""-122.470229"",""state"":""CA"",""prange"":""2-2_499m""}}","null","null","null","null"
"1572899406-1116","https://www.zillow.com/homes/tiburon-CA_rb/","","https://www.zillow.com/homedetails/25-Gilmartin-Dr-Belvedere-Tiburon-CA-94920/95716218_zpid/","Belvedere Tiburon, CA 94920","New construction","25 Gilmartin Dr,","","","5,200","5","6","null","$8,995,000","Single Family","2019","Other","No Data","Single Family","0.65 acres","$29,968/mo","9","9","10","{""targetDiv"":""gpt-ad-beb098b7-6df1-4fc9-8fac-58af334e75bc"",""slot"":""zillow/property_details/buy_new_home/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""25 Gilmartin Dr"",""bd"":""5"",""fsbid"":""9457"",""city"":""Belvedere_Tiburon"",""proptp"":""sfh"",""pid"":""95716218"",""lot"":""4"",""zestibuck"":""8m-8_999m"",""listtp"":""buy_new_home"",""zguidh"":""3274933511196231848"",""sqftrange"":""5000-5999"",""price"":""8995000"",""sqft"":""5200"",""posting_url"":""https://www.sothebysrealty.com/id/le9ztg"",""mlong"":""-122.473628"",""state"":""CA"",""park"":""yes"",""prange"":""8m-8_999m"",""zip"":""94920"",""mlat"":""37.887848"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISnywe3b3pmtvj0000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""2010-2019"",""zestimate"":""8673750"",""premieragent"":""no""}}","null","null","null","null"
"1572899306-1028","https://www.zillow.com/homes/tiburon-CA_rb/","","https://www.zillow.com/homedetails/141-Taylor-Rd-Belvedere-Tiburon-CA-94920/72671212_zpid/","Belvedere Tiburon, CA 94920","For sale","141 Taylor Rd,","2","https://www.zillow.com/tiburon-ca/2_p/","5,801","5","5","$5,368,873","$5,650,000","Single Family","2007","Radiant","No Data","Single Family","1.62 acres","$18,580/mo","9","9","10","{""targetDiv"":""gpt-ad-89bd9097-7954-422c-9090-76c8a6c49705"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""141 Taylor Rd"",""bd"":""5"",""fsbid"":""13753"",""city"":""Belvedere_Tiburon"",""proptp"":""sfh"",""pid"":""72671212"",""lot"":""6"",""zestibuck"":""5m-5_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""12607908525341378"",""sqftrange"":""5000-5999"",""price"":""5650000"",""sqft"":""5801"",""posting_url"":""https://www.pacificunion.com/real-estate/141-taylor-road-tiburon-ca-94920/21902974/67028614"",""mlong"":""-122.485136"",""state"":""CA"",""park"":""yes"",""prange"":""5m-5_999m"",""zip"":""94920"",""mlat"":""37.914443"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS2n6rvhovqufx1000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""2000-2009"",""zestimate"":""5368873"",""premieragent"":""no""}}","null","null","null","null"
"1572899458-1166","https://www.zillow.com/homes/tiburon-CA_rb/","","https://www.zillow.com/homedetails/39-Geldert-Ct-Belvedere-CA-94920/19261686_zpid/","Belvedere, CA 94920","For sale","39 Geldert Ct,","","","3,339","4","5","null","$2,995,000","Single Family","1976","Other","No Data","Single Family","0.3 acres","$10,193/mo","9","9","10","{""targetDiv"":""gpt-ad-45c6c8df-6275-40f1-aa07-282665c400b8"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""39 Geldert Ct"",""bd"":""4"",""fsbid"":""9457"",""city"":""Belvedere"",""proptp"":""sfh"",""pid"":""19261686"",""lot"":""3"",""zestibuck"":""2_5-2_999m"",""listtp"":""buy_agent"",""zguidh"":""8954966746841873240"",""sqftrange"":""3000-3499"",""price"":""2995000"",""sqft"":""3339"",""posting_url"":""https://www.sothebysrealty.com/id/q9snzt"",""mlong"":""-122.477798"",""state"":""CA"",""park"":""yes"",""prange"":""2_5-2_999m"",""zip"":""94920"",""mlat"":""37.894548"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISzrvqev796l5p1000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""1970-1979"",""zestimate"":""2951990"",""premieragent"":""no""}}","null","null","null","null"
"1572899539-1227","https://www.zillow.com/homes/tiburon-CA_rb/","","https://www.zillow.com/homedetails/2334-Paradise-Dr-Belvedere-CA-94920/19267920_zpid/","Belvedere, CA 94920","For sale","2334 Paradise Dr,","","","1,872","2","2","$2,131,979","$2,100,000","Condo","1981","Other","No Data","Condo","No Data","$7,167/mo","9","9","10","No Data","null","null","null","null"
"1572899478-1185","https://www.zillow.com/homes/tiburon-CA_rb/","","https://www.zillow.com/homedetails/5-Mar-Centro-Dr-Belvedere-Tiburon-CA-94920/240254158_zpid/","Belvedere Tiburon, CA 94920","For sale","5 Mar Centro Dr,","","","4,725","4","5","$6,584,930","$6,750,000","Single Family","2001","Forced air, Radiant","Other","Single Family","0.55 acres","$22,734/mo","9","9","10","{""targetDiv"":""gpt-ad-956212d4-215d-4e25-ad8d-c89367be402a"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""5 Mar Centro Dr"",""bd"":""4"",""fsbid"":""14224"",""city"":""Belvedere_Tiburon"",""proptp"":""sfh"",""pid"":""240254158"",""lot"":""4"",""zestibuck"":""6m-6_999m"",""listtp"":""buy_agent"",""zguidh"":""-6815624147362526901"",""sqftrange"":""4500-4999"",""price"":""6750000"",""sqft"":""4725"",""posting_url"":""http://www.go2marin.com"",""mlong"":""-122.445144"",""state"":""CA"",""park"":""yes"",""prange"":""6m-6_999m"",""zip"":""94920"",""mlat"":""37.879031"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISni0zwwnybbii1000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""2000-2009"",""zestimate"":""6584930"",""premieragent"":""no""}}","null","null","null","null"
"1572899536-1224","https://www.zillow.com/homes/tiburon-CA_rb/","","https://www.zillow.com/homedetails/6-Midden-Ln-Belvedere-Tiburon-CA-94920/19261281_zpid/","Belvedere Tiburon, CA 94920","For sale","6 Midden Ln,","","","5,481","5","6","$5,859,069","$5,995,000","Single Family","1992","Forced air, Other","No Data","Single Family","0.71 acres","$20,097/mo","9","9","10","No Data","null","null","null","null"
