web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount,next_page6,next_page6-href,next_page7,next_page7-href,next_page8,next_page8-href
"1572903629-3366","https://www.zillow.com/homes/vacaville-CA_rb/","","https://www.zillow.com/homedetails/606-Blake-Rd-Vacaville-CA/2082425020_zpid/","Vacaville, CA --","For sale","606 Blake Rd,","","","","","","","5","https://www.zillow.com/vacaville-ca/5_p/","3,130","5","3","$565,279","$584,384","Single Family","2019","No Data","No Data","Single Family","No Data","$3,000/mo","5","6","8","{""targetDiv"":""gpt-ad-435c0b3b-c844-4e08-8089-10971fea89e1"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""606 Blake Rd"",""mlat"":""38.319935"",""bd"":""5"",""fsbid"":""13601"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISni42i6h91y5o1000000000.jpg"",""zusr"":""true"",""city"":""Vacaville"",""proptp"":""sfh"",""pid"":""2082425020"",""price_band"":""z500"",""yrblt"":""2010-2019"",""zestimate"":""565279"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""-5387139667930805170"",""premieragent"":""no"",""sqftrange"":""3000-3499"",""price"":""584384"",""sqft"":""3130"",""posting_url"":""http://greathomes.org/mls/property/21926410"",""mlong"":""-121.946754"",""state"":""CA"",""prange"":""500-599k""}}","null","null","null","null","","","","","",""
"1572904005-3611","https://www.zillow.com/homes/vacaville-CA_rb/","","https://www.zillow.com/homedetails/600-Elderberry-Loop-Vacaville-CA-95688/111920852_zpid/","Vacaville, CA 95688","For sale","600 Elderberry Loop,","","","3","https://www.zillow.com/vacaville-ca/3_p/","","","","","3,375","5","5","$1,067,274","$1,100,000","Single Family","2017","Other","Central","Single Family","0.27 acres","$5,096/mo","6","6","8","{""targetDiv"":""gpt-ad-c8738492-a690-4be6-a715-bf24027c68aa"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""600 Elderberry Loop"",""bd"":""5"",""fsbid"":""13601"",""city"":""Vacaville"",""proptp"":""sfh"",""pid"":""111920852"",""lot"":""3"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""6274535956184850459"",""sqftrange"":""3000-3499"",""price"":""1100000"",""sqft"":""3375"",""posting_url"":""http://greathomes.org/mls/property/21912704"",""mlong"":""-121.983636"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95688"",""mlat"":""38.398664"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS2jrgql0td6uz0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1067274"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572903820-3520","https://www.zillow.com/homes/vacaville-CA_rb/","","https://www.zillow.com/community/addington-at-brighton-landing/2092430278_zpid/","Vacaville, CA 95687","New construction","Buildable plan: Plan 1, Addington at Brighton Landing,","","","","","4","https://www.zillow.com/vacaville-ca/4_p/","","","1,664","3","2.5","$454,423","$462,990","Single Family","2019","No Data","No Data","Single Family","No Data","null","5","5","6","{""targetDiv"":""gpt-ad-bd46d7c2-42b7-4a6f-9229-6df4996fef47"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" DI2NI2"",""aamgnrc1"":""172 Wisteria Cir"",""bd"":""3"",""fsbid"":""13645"",""city"":""Vacaville"",""proptp"":""sfh"",""pid"":""2092430278"",""zestibuck"":""450-499k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1500-1999"",""price"":""462990"",""sqft"":""1664"",""posting_url"":""http://www.woodsidehomes.com/california-community-addington-at-brighton-landing?utm_medium=referral&utm_source=zillow.com&nhf_channel=6&nhf_listing_id=48107&nhf_listing_type=community&utm_term=comm_AddingtonatBrightonLanding&utm_campaign=zillow"",""state"":""CA"",""mlong"":""-121.92388"",""cnty"":""Solano"",""prange"":""450-499k"",""zip"":""95687"",""mlat"":""38.349852"",""plid"":""26037"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISadcv9xa3efa80000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""2010-2019"",""zestimate"":""454423"",""premieragent"":""no"",""builderChatId"":""13645-813447"",""dma"":""35""}}","null","null","null","null","","","","","",""
"1572904083-3644","https://www.zillow.com/homes/vacaville-CA_rb/","","https://www.zillow.com/homedetails/260-Kirkwood-Ct-Vacaville-CA-95687/15714807_zpid/","Vacaville, CA 95687","For sale","260 Kirkwood Ct,","","","3","https://www.zillow.com/vacaville-ca/3_p/","","","","","null","3","null","$450,002","$450,000","Single Family","1979","Forced air","Central","Single Family","3,920 sqft","$2,400/mo","4","5","6","{""targetDiv"":""gpt-ad-bb2e5b5c-3399-48e2-bf0b-c4d827317b7a"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""260 Kirkwood Ct"",""bd"":""3"",""fsbid"":""15503"",""city"":""Vacaville"",""proptp"":""sfh"",""pid"":""15714807"",""lot"":""1"",""zestibuck"":""450-499k"",""listtp"":""buy_agent"",""zguidh"":""-2077327363846912303"",""sqftrange"":""1500-1999"",""price"":""450000"",""sqft"":""1760"",""posting_url"":""https://www.rexhomes.com/listing/260-kirkwood-ct"",""mlong"":""-121.957819"",""state"":""CA"",""park"":""yes"",""prange"":""450-499k"",""zip"":""95687"",""mlat"":""38.336623"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISj7lk1p7j1boc0000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1970-1979"",""zestimate"":""450002"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572903667-3396","https://www.zillow.com/homes/vacaville-CA_rb/","","https://www.zillow.com/homedetails/2939-Mix-Canyon-Rd-Vacaville-CA-95688/15694287_zpid/","Vacaville, CA 95688","For sale","2939 Mix Canyon Rd,","","","","","","","5","https://www.zillow.com/vacaville-ca/5_p/","1,934","3","2","null","$799,000","Single Family","2004","Forced air, Other","Central","Single Family","24.42 acres","$2,750/mo","8","6","8","{""targetDiv"":""gpt-ad-997b8e7a-3087-4c2b-8f66-18099588aad1"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2939 Mix Canyon Rd"",""bd"":""3"",""fsbid"":""2877"",""city"":""Vacaville"",""proptp"":""sfh"",""pid"":""15694287"",""lot"":""10"",""zestibuck"":""700-799k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""8413554229693052908"",""sqftrange"":""1500-1999"",""price"":""799000"",""sqft"":""1934"",""posting_url"":""https://www.coldwellbanker.com/property/2939-Mix-Canyon-Rd-Vacaville-CA-95688/11859595/detail"",""mlong"":""-122.077727"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""95688"",""mlat"":""38.408117"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISqxml6gdvns9s0000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""yrblt"":""2000-2009"",""zestimate"":""793177"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572904275-3723","https://www.zillow.com/homes/vacaville-CA_rb/","","https://www.zillow.com/homedetails/261-Larkspur-Dr-Vacaville-CA-95687/15719267_zpid/","Vacaville, CA 95687","For sale","261 Larkspur Dr,","2","https://www.zillow.com/vacaville-ca/2_p/","","","","","","","2,258","4","3","$530,440","$534,950","Single Family","1989","Other","Central","Single Family","6,098 sqft","$2,700/mo","6","6","8","{""targetDiv"":""gpt-ad-af226e9e-711d-495d-833b-625c24d7e8f0"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""261 Larkspur Dr"",""bd"":""4"",""fsbid"":""13601"",""city"":""Vacaville"",""proptp"":""sfh"",""pid"":""15719267"",""lot"":""2"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""-966395227547049272"",""sqftrange"":""2000-2499"",""price"":""534950"",""sqft"":""2258"",""posting_url"":""http://greathomes.org/mls/property/21926660"",""mlong"":""-121.967429"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""95687"",""mlat"":""38.327975"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3r90gfqw2j870000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""yrblt"":""1980-1989"",""zestimate"":""530440"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572904409-3824","https://www.zillow.com/homes/vacaville-CA_rb/","","https://www.zillow.com/homedetails/384-Robin-Cir-Vacaville-CA-95687/15716379_zpid/","Vacaville, CA 95687","For sale","384 Robin Cir,","","","","","","","","","1,417","3","3","null","$445,000","Single Family","1988","Other","Central","Single Family","4,356 sqft","$2,300/mo","5","5","6","{""targetDiv"":""gpt-ad-66f0c0f1-daf0-40fc-a0ae-003171c95159"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""384 Robin Cir"",""bd"":""3"",""fsbid"":""2877"",""city"":""Vacaville"",""proptp"":""sfh"",""pid"":""15716379"",""lot"":""1"",""zestibuck"":""400-449k"",""listtp"":""buy_agent"",""zguidh"":""-8019577714798089832"",""sqftrange"":""1000-1499"",""price"":""445000"",""sqft"":""1417"",""posting_url"":""http://www.coldwellbanker.com/listingdetail/CB3DHEC8/"",""mlong"":""-121.937014"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""95687"",""mlat"":""38.339001"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjbcopsc50c1j1000000000.jpg"",""zusr"":""true"",""price_band"":""z400"",""yrblt"":""1980-1989"",""zestimate"":""437075"",""premieragent"":""no""}}","null","null","null","null","","","","","",""
"1572904384-3805","https://www.zillow.com/homes/vacaville-CA_rb/","","https://www.zillow.com/community/cheyenne-at-brown-s-valley/2085275375_zpid/","Vacaville, CA 95688","New construction","Buildable plan: Residence 4, Cheyenne at Brown's Valley,","","","","","","","","","3,648","3","3","$735,482","$745,990","Single Family","2019","No Data","No Data","Single Family","No Data","null","6","6","8","{""targetDiv"":""gpt-ad-f1467b00-2eb8-4682-b064-d15e32159043"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" DXSU0Z"",""aamgnrc1"":""6054 Peacock Ct"",""bd"":""3"",""fsbid"":""12653"",""city"":""Vacaville"",""proptp"":""sfh"",""pid"":""2085275375"",""zestibuck"":""700-799k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""3500-3999"",""price"":""745990"",""sqft"":""3648"",""posting_url"":""http://www.drhorton.com/california/bay-area/vacaville/cheyenne-at-browns-valley/floor-plans/residence-4.aspx"",""state"":""CA"",""mlong"":""-121.984"",""cnty"":""Santa_Clara"",""prange"":""700-799k"",""zip"":""95688"",""mlat"":""38.4027"",""plid"":""30869"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISeseuv29i2elz0000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""hood"":""Fairgrounds"",""yrblt"":""2010-2019"",""zestimate"":""735482"",""premieragent"":""no"",""builderChatId"":""12653-812009"",""dma"":""37""}}","null","null","null","null","","","","","",""
"1572904206-3692","https://www.zillow.com/homes/vacaville-CA_rb/","","https://www.zillow.com/homedetails/131-Sage-Sparrow-Cir-Vacaville-CA-95687/69026705_zpid/","Vacaville, CA 95687","Pre-foreclosure / auction","131 Sage Sparrow Cir,","2","https://www.zillow.com/vacaville-ca/2_p/","","","","","","","3,623","4","4","null","null","Single Family","2005","Other","Central","Single Family","7,326 sqft","null","5","6","8","{""targetDiv"":""gpt-ad-0080d30c-464d-4c3f-be85-a74aeb77533e"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95687"",""aamgnrc1"":""131 Sage Sparrow Cir"",""mlat"":""38.333577"",""bd"":""4"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3vgwwkrp5ulh0000000000.jpg"",""zusr"":""true"",""city"":""Vacaville"",""proptp"":""sfh"",""pid"":""69026705"",""yrblt"":""2000-2009"",""lot"":""2"",""listtp"":""buy_foreclosure"",""zguidh"":""-498515067771895007"",""premieragent"":""no"",""sqftrange"":""3500-3999"",""sqft"":""3623"",""posting_url"":"""",""mlong"":""-121.934425"",""state"":""CA"",""park"":""yes""}}","null","null","null","null","","","","","",""
"1572903534-3293","https://www.zillow.com/homes/vacaville-CA_rb/","","https://www.zillow.com/homedetails/104-Carlton-Ave-Vacaville-CA-95687/15715332_zpid/","Vacaville, CA 95687","Pre-foreclosure","104 Carlton Ave,","","","","","","","5","https://www.zillow.com/vacaville-ca/5_p/","1,318","3","2","$360,653","$360,653","Single Family","1978","Other","No Data","Single Family","6,098 sqft","null","5","5","6","{""targetDiv"":""gpt-ad-fd8306ca-80fc-4f95-8589-d937232df986"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""104 Carlton Ave"",""bd"":""3"",""city"":""Vacaville"",""proptp"":""sfh"",""pid"":""15715332"",""lot"":""2"",""zestibuck"":""350-399k"",""listtp"":""buy_foreclosure"",""zguidh"":""1862950999081200058"",""sqftrange"":""1000-1499"",""price"":""383000"",""sqft"":""1318"",""posting_url"":"""",""mlong"":""-121.94864"",""state"":""CA"",""park"":""yes"",""prange"":""350-399k"",""zip"":""95687"",""mlat"":""38.338635"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISyvm2xr96odle1000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""1970-1979"",""zestimate"":""387799"",""premieragent"":""no""}}","null","null","null","null","NEXT","https://www.zillow.com/vacaville-ca/6_p/","","","",""
