web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572899405-1115","https://www.zillow.com/homes/Windsor-CA_rb/","","https://www.zillow.com/homedetails/1445-Golf-Course-Dr-Windsor-CA-95492/51605335_zpid/","Windsor, CA 95492","For sale","1445 Golf Course Dr,","2","https://www.zillow.com/windsor-ca/2_p/","3,034","5","4","$1,276,793","$1,300,000","Single Family","2001","Other","No Data","Single Family","9,583 sqft","$4,360/mo","NA","3","7","{""targetDiv"":""gpt-ad-bc37e63e-fa9e-4e25-8130-99c7c6a0d4a7"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1445 Golf Course Dr"",""bd"":""5"",""fsbid"":""13601"",""city"":""Windsor"",""proptp"":""sfh"",""pid"":""51605335"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-1448246883622741081"",""sqftrange"":""3000-3499"",""price"":""1300000"",""sqft"":""3034"",""posting_url"":""http://greathomes.org/mls/property/21915142"",""mlong"":""-122.805724"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""95492"",""mlat"":""38.530753"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvwke0btlw6k61000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2000-2009"",""zestimate"":""1276793"",""premieragent"":""no""}}","null","null","null","null"
"1572899392-1101","https://www.zillow.com/homes/Windsor-CA_rb/","","https://www.zillow.com/homedetails/176-Flametree-Cir-Windsor-CA-95492/15860645_zpid/","Windsor, CA 95492","Pre-foreclosure","176 Flametree Cir,","2","https://www.zillow.com/windsor-ca/2_p/","null","3","null","$452,507","$452,507","Single Family","1989","None","No Data","Single Family","4,791 sqft","null","NA","3","7","No Data","null","null","null","null"
"1572899465-1173","https://www.zillow.com/homes/Windsor-CA_rb/","","https://www.zillow.com/homedetails/332-Shannon-Way-Windsor-CA-95492/15861852_zpid/","Windsor, CA 95492","For sale","332 Shannon Way,","","","1,559","4","2","$629,368","$629,000","Single Family","1986","None","No Data","Single Family","6,098 sqft","$2,850/mo","NA","3","7","{""targetDiv"":""gpt-ad-d405353a-1233-4b91-af01-3dbbb8a07d58"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""332 Shannon Way"",""bd"":""4"",""fsbid"":""13601"",""city"":""Windsor"",""proptp"":""sfh"",""pid"":""15861852"",""lot"":""2"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""-5055517105644913298"",""sqftrange"":""1500-1999"",""price"":""629000"",""sqft"":""1559"",""posting_url"":""http://greathomes.org/mls/property/21924694"",""mlong"":""-122.794515"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""95492"",""mlat"":""38.536871"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3jnxocgx6zow0000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1980-1989"",""zestimate"":""629368"",""premieragent"":""no""}}","null","null","null","null"
"1572899351-1068","https://www.zillow.com/homes/Windsor-CA_rb/","","https://www.zillow.com/homedetails/8550-Old-Redwood-Hwy-Windsor-CA-95492/61206587_zpid/","Windsor, CA 95492","Lot/land","8550 Old Redwood Hwy,","2","https://www.zillow.com/windsor-ca/2_p/","null","0.59 acres","null","None","$585,000","null","null","null","null","null","null","null","NA","3","7","{""targetDiv"":""gpt-ad-a702edc5-00dd-47cf-ac67-0bd4cbb547d3"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95492"",""aamgnrc1"":""8550 Old Redwood Hwy"",""mlat"":""38.544775"",""bd"":""0"",""fsbid"":""13601"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISa17fwn11z9aj1000000000.jpg"",""zusr"":""true"",""city"":""Windsor"",""proptp"":""lot"",""pid"":""61206587"",""lot"":""4"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-6835957094679439098"",""premieragent"":""no"",""price"":""585000"",""posting_url"":""http://greathomes.org/mls/property/21900153"",""mlong"":""-122.80218"",""state"":""CA"",""prange"":""500-599k""}}","null","null","null","null"
"1572899416-1125","https://www.zillow.com/homes/Windsor-CA_rb/","","https://www.zillow.com/homedetails/6808-Hembree-Ln-Windsor-CA-95492/15862214_zpid/","Windsor, CA 95492","For sale","6808 Hembree Ln,","2","https://www.zillow.com/windsor-ca/2_p/","1,667","3","2","None","$722,860","Single Family","2019","No Data","No Data","Single Family","4,791 sqft","null","null","null","null","{""targetDiv"":""gpt-ad-df58e2d0-7192-4673-a813-bc701865af55"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95492"",""aamgnrc1"":""6808 Hembree Ln"",""mlat"":""38.530396"",""bd"":""3"",""fsbid"":""13601"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISi366pok76v6s1000000000.jpg"",""zusr"":""true"",""city"":""Windsor"",""proptp"":""sfh"",""pid"":""15862214"",""yrblt"":""2010-2019"",""lot"":""1"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""8963046918622510649"",""premieragent"":""no"",""sqftrange"":""1500-1999"",""price"":""722860"",""sqft"":""1667"",""posting_url"":""http://greathomes.org/mls/property/21918695"",""mlong"":""-122.790612"",""state"":""CA"",""prange"":""700-799k""}}","null","null","null","null"
"1572899372-1085","https://www.zillow.com/homes/Windsor-CA_rb/","","https://www.zillow.com/homedetails/8146-D-St-Windsor-CA-95492/2083998513_zpid/","Windsor, CA 95492","For sale","8146 D St,","2","https://www.zillow.com/windsor-ca/2_p/","1,080","2","2","null","$140,000","Mobile / Manufactured","1968","None","No Data","Mobile / Manufactured","$130","$2,350/mo","NA","3","7","{""targetDiv"":""gpt-ad-d9b95252-a0fb-479d-8584-6c5ab6134847"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""8146 D St"",""bd"":""2"",""fsbid"":""4383"",""city"":""Windsor"",""proptp"":""mm"",""pid"":""2083998513"",""zestibuck"":""100-149k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-7168930654266274006"",""sqftrange"":""1000-1499"",""price"":""140000"",""sqft"":""1080"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/windsor/8146-d-st/pid_30846402/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.804694"",""state"":""CA"",""prange"":""100-149k"",""zip"":""95492"",""mlat"":""38.538492"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISu8elqiecx08s0000000000.jpg"",""zusr"":""true"",""price_band"":""z100"",""yrblt"":""1960-1969"",""zestimate"":""133333"",""premieragent"":""no""}}","null","null","null","null"
"1572899445-1156","https://www.zillow.com/homes/Windsor-CA_rb/","","https://www.zillow.com/homedetails/9797-Montego-Ct-Windsor-CA-95492/15861080_zpid/","Windsor, CA 95492","Pre-foreclosure / auction","9797 Montego Ct,","","","2,237","4","4","$536,110","$536,110","Single Family","1994","None","No Data","Single Family","7,405 sqft","null","NA","3","7","{""targetDiv"":""gpt-ad-c360f7f4-dcad-4451-b79a-e829c2401fbf"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95492"",""aamgnrc1"":""9797 Montego Ct"",""mlat"":""38.560637"",""bd"":""4"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbptgb2lqe88a0000000000.jpg"",""zusr"":""true"",""city"":""Windsor"",""proptp"":""sfh"",""pid"":""15861080"",""price_band"":""z700"",""yrblt"":""1990-1999"",""zestimate"":""724473"",""lot"":""2"",""zestibuck"":""700-799k"",""listtp"":""buy_foreclosure"",""zguidh"":""2739351489382406470"",""premieragent"":""no"",""sqftrange"":""2000-2499"",""price"":""724473"",""sqft"":""2237"",""posting_url"":"""",""mlong"":""-122.796606"",""state"":""CA"",""prange"":""700-799k""}}","null","null","null","null"
"1572899422-1131","https://www.zillow.com/homes/Windsor-CA_rb/","","https://www.zillow.com/homedetails/488-Colonial-Park-Dr-Santa-Rosa-CA-95403/2082922342_zpid/","Santa Rosa, CA 95403","For sale","488 Colonial Park Dr,","","","1,160","2","2","$122,467","$125,000","Mobile / Manufactured","1969","No Data","No Data","Mobile / Manufactured","$108","$2,350/mo","5","4","8","{""targetDiv"":""gpt-ad-151994d0-db5f-45d9-923f-7e19de1a79ca"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95403"",""aamgnrc1"":""488 Colonial Park Dr"",""mlat"":""38.518826"",""bd"":""2"",""fsbid"":""13601"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbplq9pqxu6bo0000000000.jpg"",""zusr"":""true"",""city"":""Santa_Rosa"",""proptp"":""mm"",""pid"":""2082922342"",""price_band"":""z100"",""yrblt"":""1960-1969"",""zestimate"":""122467"",""zestibuck"":""100-149k"",""listtp"":""buy_agent"",""zguidh"":""5279683290948897694"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""price"":""125000"",""sqft"":""1160"",""posting_url"":""http://greathomes.org/mls/property/21922685"",""mlong"":""-122.776139"",""state"":""CA"",""prange"":""100-149k""}}","null","null","null","null"
"1572899356-1074","https://www.zillow.com/homes/Windsor-CA_rb/","","https://www.zillow.com/homedetails/609-Aspen-Way-Windsor-CA-95492/2082953412_zpid/","Windsor, CA 95492","For sale","609 Aspen Way,","2","https://www.zillow.com/windsor-ca/2_p/","1,440","2","2","null","$125,000","Mobile / Manufactured","1977","No Data","No Data","Mobile / Manufactured","$87","$2,600/mo","NA","3","7","{""targetDiv"":""gpt-ad-942c360e-0ea2-4230-953e-ce335308f4b6"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""95492"",""aamgnrc1"":""609 Aspen Way"",""mlat"":""38.538496"",""bd"":""2"",""fsbid"":""4383"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISfce3e5p0ddx41000000000.jpg"",""zusr"":""true"",""city"":""Windsor"",""proptp"":""mm"",""pid"":""2082953412"",""price_band"":""z100"",""yrblt"":""1970-1979"",""zestimate"":""120967"",""zestibuck"":""100-149k"",""listtp"":""buy_agent"",""zguidh"":""-2913093690562919958"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""price"":""125000"",""sqft"":""1440"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/windsor/609-aspen-way/pid_32047102/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.80632"",""state"":""CA"",""prange"":""100-149k""}}","null","null","null","null"
"1572899399-1109","https://www.zillow.com/homes/Windsor-CA_rb/","","https://www.zillow.com/homedetails/1354-Calabazas-Way-Windsor-CA-95492/2083081761_zpid/","Windsor, CA 95492","For sale","1354 Calabazas Way,","2","https://www.zillow.com/windsor-ca/2_p/","2,496","4","4","$924,736","$927,000","Single Family","2019","No Data","No Data","Single Family","5,662 sqft","$3,490/mo","NA","3","7","No Data","null","null","null","null"
