web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572920484-2201","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/6468-Washington-St-SPC-148-Yountville-CA-94599/2120263958_zpid/","Yountville, CA 94599","For sale","6468 Washington St SPC 148,","940","2","1","$144,000","$150,000","Mobile / Manufactured","2006","No Data","No Data","No Data","$160","$2,500/mo","5","4","6","null","Composition","null","null","null"
"1572920706-2250","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/124-Burgundy-Cir-Yountville-CA-94599/2082902837_zpid/","Yountville, CA 94599","For sale","124 Burgundy Cir,","664","1","1","$106,494","$110,000","Mobile / Manufactured","1970","No Data","No Data","No Data","$166","$2,395/mo","5","4","6","null","Metal","null","null","null"
"1572920417-2182","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/6468-Washington-St-SPC-205-Yountville-CA-94599/2103216870_zpid/","Yountville, CA 94599","For sale by owner","6468 Washington St SPC 205,","1,344","2","2","$256,136","$239,000","Mobile / Manufactured","1972","Forced air","Central","2 spaces","$178","$3,156/mo","5","4","6","Central","Metal","null","null","null"
"1572920554-2222","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/137-Chablis-Cir-Yountville-CA-94599/63072874_zpid/","Yountville, CA 94599","For sale","137 Chablis Cir,","1,344","2","2","null","$230,000","Mobile / Manufactured","1991","None","No Data","No Data","$171","$1,750/mo","5","4","6","null","Composition","null","null","null"
"1572920737-2256","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/1885-Mulberry-St-Yountville-CA-94599/19406766_zpid/","Yountville, CA 94599","For sale","1885 Mulberry St,","1,598","3","2","$1,242,800","$1,299,900","Single Family","1973","Forced air","Central","2 spaces","7,601 sqft","$3,929/mo","5","4","6","Double Sinks, Tub, Tile, Shower Stall(s), Stone","Frame, Stucco, Wood","Composition","Natural Gas Connected, All Public","$10,159"
"1572920528-2214","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/6600-Yount-St-APT-10-Yountville-CA-94599/19407104_zpid/","Yountville, CA 94599","For sale","6600 Yount St APT 10,","1,054","2","1","null","$690,000","Single Family","1989","Forced air","Central","1 space","435 sqft","$2,500/mo","5","4","6","Central","Composition","null","null","$4,236"
"1572920504-2207","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/6468-Washington-St-SPC-104-Yountville-CA-94599/2084615799_zpid/","Yountville, CA 94599","For sale","6468 Washington St SPC 104,","1,480","3","2","$215,624","$225,000","Mobile / Manufactured","2001","No Data","No Data","No Data","$152","$3,250/mo","null","null","null","null","Composition","null","null","null"
"1572920429-2185","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/157-Port-Cir-Yountville-CA-94599/69000706_zpid/","Yountville, CA 94599","For sale","157 Port Cir,","1,980","3","2","null","$329,000","Mobile / Manufactured","2005","Other","No Data","No Data","$166","$1,950/mo","5","4","6","null","Composition","null","null","null"
"1572920787-2261","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/6468-Washington-St-SPC-77-Yountville-CA-94599/2082537881_zpid/","Yountville, CA 94599","For sale","6468 Washington St SPC 77,","1,578","2","2","$148,825","$154,900","Mobile / Manufactured","No Data","No Data","No Data","No Data","$98","$3,200/mo","5","4","6","null","No","null","null","null"
"1572920653-2241","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/161-Vineyard-Cir-Yountville-CA-94599/19406944_zpid/","Yountville, CA 94599","For sale","161 Vineyard Cir,","1,154","2","2","null","$750,000","Condo","1977","Forced air","Central","1 space","$430/month","$3,250/mo","5","4","6","null","Tile","null","null","$6,931"
"1572920664-2244","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/6468-Washington-St-SPC-9-Yountville-CA-94599/2083131739_zpid/","Yountville, CA 94599","For sale","6468 Washington St SPC 9,","1,440","2","2","null","$199,000","Mobile / Manufactured","1985","No Data","No Data","No Data","$138","$3,200/mo","5","4","6","null","No","null","null","null"
"1572920687-2248","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/1984-Yountville-Cross-Rd-Yountville-CA-94599/19404909_zpid/","Yountville, CA 94599","For sale","1984 Yountville Cross Rd,","1,646","2","2","$778,295","$799,000","Condo","1982","Other","Central","2 spaces","$513/month","$3,400/mo","5","4","6","null","Composition","null","null","$8,228"
"1572920472-2200","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/8-Forrester-Ln-Yountville-CA-94599/19407229_zpid/","Yountville, CA 94599","For sale","8 Forrester Ln,","1,876","3","3","null","$1,750,000","Single Family","1998","Forced air","Central","2 spaces","5,662 sqft","$5,983/mo","5","4","6","null","Composition","null","null","$9,201"
"1572920776-2260","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/6468-Washington-St-SPC-89-Yountville-CA-94599/2136049549_zpid/","Yountville, CA 94599","For sale","6468 Washington St SPC 89,","1,635","3","2","$315,821","$325,000","Mobile / Manufactured","2006","Other","Central","Carport","$199","$3,300/mo","5","4","6","null","Composition","null","null","null"
"1572920461-2195","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/173-Riesling-Cir-Yountville-CA-94599/2095848662_zpid/","Yountville, CA 94599","For sale","173 Riesling Cir,","1,368","2","2","$244,974","$250,000","Mobile / Manufactured","1967","No Data","No Data","No Data","$183","$3,200/mo","5","4","6","null","Metal","null","null","null"
"1572920589-2230","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/6816-Yount-St-Yountville-CA-94599/130966312_zpid/","Yountville, CA 94599","For sale","6816 Yount St,","2,148","4","4","$1,502,633","$1,559,000","Single Family","1900","No Data","No Data","2 spaces","5,662 sqft","$3,505/mo","5","4","6","null","Composition","null","null","$9,227"
"1572920814-2262","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/139-Chablis-Cir-Yountville-CA-94599/63072875_zpid/","Yountville, CA 94599","For sale","139 Chablis Cir,","1,248","2","2","$218,346","$225,000","Mobile / Manufactured","1991","No Data","No Data","No Data","$180","$1,750/mo","5","4","6","null","Composition","null","null","null"
"1572920424-2184","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/6468-Washington-St-SPC-150-Yountville-CA-94599/2117713594_zpid/","Yountville, CA 94599","For sale","6468 Washington St SPC 150,","1,859","2","2","null","$335,000","Mobile / Manufactured","1971","Other","Central","4 spaces","$180","$2,900/mo","5","4","6","null","Other","null","null","null"
"1572920674-2246","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/185-Sauterne-Cir-Yountville-CA-94599/64791115_zpid/","Yountville, CA 94599","For sale","185 Sauterne Cir,","1,514","2","3","$327,286","$334,000","Mobile / Manufactured","2003","No Data","No Data","No Data","$221","$1,950/mo","5","4","6","null","No","null","null","null"
"1572920715-2252","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/6600-Yount-St-APT-24-Yountville-CA-94599/19407123_zpid/","Yountville, CA 94599","For sale","6600 Yount St APT 24,","1,212","2","1","null","$675,000","Townhouse","1989","Other","None","1 space","570 sqft","$2,600/mo","5","4","6","null","Composition","null","null","$4,430"
"1572920639-2239","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/6468-Washington-St-SPC-121-Yountville-CA-94599/2083547523_zpid/","Yountville, CA 94599","For sale","6468 Washington St SPC 121,","1,482","3","2","null","$339,000","Mobile / Manufactured","2014","No Data","No Data","No Data","$229","$3,000/mo","5","4","6","null","Composition","null","null","null"
"1572920547-2220","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/2009-Webber-Ave-Yountville-CA-94599/19406230_zpid/","Yountville, CA 94599","For sale","2009 Webber Ave,","1,824","2","2","null","$2,500,000","Single Family","2018","Other","Central","1 space","6,969 sqft","$8,428/mo","5","4","6","null","Metal","null","null","$13,131"
"1572920744-2257","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/6468-Washington-St-SPACE-77-Yountville-CA-94599/63072037_zpid/","Yountville, CA 94599","For sale by owner","6468 Washington St SPACE 77,","1,578","2","2","$169,198","$154,900","Mobile / Manufactured","1985","Forced air","Central","2 spaces","$98","$1,750/mo","5","4","6","Central","Shake/Shingle","null","null","null"
"1572920609-2234","https://www.zillow.com/homes/yontville-CA_rb/","","https://www.zillow.com/homedetails/162-Vineyard-Cir-Yountville-CA-94599/19406959_zpid/","Yountville, CA 94599","For sale","162 Vineyard Cir,","1,154","2","2","$722,137","$740,000","Condo","1977","Other","No Data","1 space","$555/month","$3,200/mo","5","4","6","null","Tile","null","null","$5,935"
