"area_sqft","bedroom","bathroom","type","year_built","heating","cooling","parking","elementrary_rating","middle_school_rating","high_school_rating","annual_tax_amount","zestimate"
1113,2,2,"Condo",1977,"Electric",,,8,9,9,8659,607793
,3,,"Single",1936,,,"Garage",10,9,9,9077,862066
,1,,"Single",1928,,,"Garage",8,9,9,3685,706353
745,1,1,"Condo",1977,"Wall","Central","Garage",8,9,9,6826,483759
1113,2,2,"Condo",1977,"Electric",,"1 space",8,9,9,8558,555597
994,2,2,"Single",1922,"ForcedAir",,"Garage",8,9,9,4837,888453
1113,2,2,"Condo",1977,"Electric",,,8,9,9,6589,538460
1113,2,2,"Condo",1977,"Electric",,"Garage",8,9,9,8018,529411
1329,2,2,"Single",1926,"ForcedAir",,"Garage",8,9,9,18774,1694626
1113,2,2,"Condo",1977,"Wall",,,8,9,9,7727,543847
786,2,1,"Condo",1961,"ForcedAir",,,8,9,9,4185,630048
,2,,"Single",1925,,,"Garage",10,9,9,6531,754777
2825,3,3,"Single",1970,,,"Garage",8,7,9,5701,1645756
1028,2,2,"Single",1987,"ForcedAir",,"Garage",9,9,9,6369,854612
510,1,1,"Condo",1970,"Electric","Central",,6,6,,2353,283542
1292,2,2,"Condo",1988,,,"Garage",7,6,,5977,874582
,3,,"Single",1939,,,"Garage",9,9,9,3231,1203007
1247,2,2,"Townhouse",1975,"ForcedAir","Central","Garage",9,9,9,6612,744778
715,1,1,"Condo",1962,,,"1 space",9,7,9,2541,421166
1093,2,2,"Single",1939,"ForcedAir",,"Garage",9,9,9,8656,1052333
2035,3,3,"Single",2007,"ForcedAir","Central","2 spaces",3,6,,12644,1132184
1162,2,2,"Condo",1966,"Electric",,,9,7,9,5606,663730
,,,"Multiple",1963,,,"Garage",9,9,9,12800,1526568
,,,"Single",,,,,3,6,,,3224249
1730,3,3,"Townhouse",1970,"ForcedAir","Central","Garage",9,9,9,7253,857392
577,1,1,"Condo",1959,"Wall","Central","1 space",6,6,,2024,437904
1242,3,2,"Single",1966,"ForcedAir","Central","Garage",9,9,9,10764,1042682
3210,4,4,"Single",1987,"ForcedAir","Central","Garage",,,,12852,1822637
1949,3,4,"Single",1940,"ForcedAir",,"1 space",6,6,,5325,1167448
795,2,1,"Single",1906,,,,7,6,,5871,701615
854,2,1,"Single",1941,"Wall","Central",,,,,,572472
1422,3,2,"Single",1912,"ForcedAir",,"1 space",8,7,9,11075,1180576
665,1,1,"Condo",1959,"Baseboard",,"Garage",6,6,,3851,483193
773,1,2,"Condo",1971,"Electric","Central",,9,6,,4632,400055
,4,,"Multiple",1908,"Wall","Central","2 spaces",7,7,9,6698,1618406
,4,,"Condo",1985,,,"Garage",9,9,,8488,1173315
,,,"Multiple",1910,"ForcedAir","Central","Garage",7,7,9,11267,1609405
2361,3,3,"Single",2007,"ForcedAir",,"2 spaces",3,6,,13546,1163818
1182,2,2,"Townhouse",1980,"Wall",,"Garage",6,6,,1641,758308
1558,3,2,"Single",1896,"ForcedAir",,"1 space",8,6,,4499,1212581
1525,3,3,"Single",1989,"ForcedAir",,"2 spaces",9,9,,8975,1089841
1637,3,2,"Single",1916,"Wall",,"Garage",9,9,9,2031,1172706
3011,4,1,"Single",1898,"ForcedAir",,"Garage",8,6,,14181,1602248
1946,3,3,"Townhouse",1980,"ForcedAir",,"Garage",6,6,,2395,977534
,2,,"Single",1992,,,"Garage",9,9,,7323,778591
1168,2,1,"Condo",1964,"Wall",,"Garage",9,9,9,2775,581267
2018,4,3,"Condo",1979,"ForcedAir",,"Garage",9,9,9,5915,1256462
2139,3,3,"Condo",1971,"Baseboard","Central",,6,6,,3048,947368
,,,"Multiple",1890,"ForcedAir","Central","5+ spaces",9,9,9,6215,1154999
1575,3,2,"Single",1958,"ForcedAir","Central","Garage",7,9,9,2555,1254959
1056,2,2,"Condo",1966,"Electric",,"Garage",,,,3334,618430
2233,4,2,"Single",2003,,"Central","2 spaces",7,6,6,8082,462155
,3,,"Single",1953,,,,4,6,6,5450,326885
2981,6,4,"Single",1989,"ForcedAir",,"3 spaces",5,6,6,3952,670875
,4,,"Single",2001,,"Central","2 spaces",7,6,6,5788,392699
1080,2,2,"Mobile",1970,,,,7,6,6,,137777
1032,3,2,"Single",1957,"ForcedAir","Central","1 space",5,6,6,3070,425472
1080,2,2,"Single",1982,,,"Garage",7,6,6,1320,308370
2370,4,3,"Single",2001,,,,7,6,6,,650003
2829,4,3,"Single",2007,,"Central","2 spaces",7,6,6,8356,678005
2502,5,3,"Single",2002,,"Central","2 spaces",5,6,6,5354,613537
1368,2,2,"Mobile",1971,,,,4,6,6,,93265
,6,,"Single",2002,,"Central","2 spaces",7,6,6,7000,510744
,3,,"Single",1957,,,"2 spaces",4,6,6,5790,351650
1152,3,2,"Mobile",1986,,,,7,6,6,,152520
3301,4,4,"Single",2002,,"Central","2 spaces",5,6,6,6803,729902
2877,4,3,"Single",2004,,"Central","3 spaces",5,6,6,8138,699000
1903,4,3,"Single",1990,,,"2 spaces",5,6,6,3102,555000
,5,,"Single",2004,,"Central","2 spaces",7,6,6,8297,528303
1181,4,2,"Single",1957,,,"1 space",5,6,6,4228,292649
1975,4,3,"Single",1987,,"Central","2 spaces",4,6,6,5624,370904
,4,,"Single",2002,,"Central","2 spaces",7,6,6,7438,456130
,5,,"Single",2002,,"Central","3 spaces",5,6,6,5547,500373
1903,4,2.5,"Single",1989,,,"2 spaces",5,6,6,6979,477633
740,1,2,"Mobile",1971,,,,4,6,6,,83800
1104,3,2,"Single",1963,,,"Garage",4,6,6,2537,382081
,5,,"Single",2004,,"Central","2 spaces",5,6,6,7950,537279
,5,,"Single",2003,,"Central","2 spaces",7,6,6,7522,486429
,3,,"Single",1988,,,"2 spaces",5,6,6,5250,389005
1681,3,3,"Single",1989,,,"2 spaces",5,6,6,3342,533054
3666,5,3.5,"Single",2005,,"Central","2 spaces",7,6,6,6909,516245
,6,,"Single",2006,,"Central","2 spaces",4,6,6,9650,533309
3606,5,3,"Single",2005,,,,5,6,6,,737381
1008,2,2,"Condo",1988,"ForcedAir","Central",,2,1,3,,279952
1236,3,2,"Townhouse",1971,"ForcedAir","Wall",,2,3,3,,275001
,6,,"Single",2000,,"Central",,3,3,5,,540957
,3,,"Single",1992,,"Central",,4,3,5,,421051
1770,3,2,"Single",1956,"ForcedAir","Central",,2,1,3,,495004
,4,,"Single",1971,"ForcedAir","Central",,3,3,3,,432231
2334,4,2,"Single",2000,"ForcedAir","Central",,3,3,5,,523707
2590,5,3,"Single",1989,"ForcedAir","Central",,3,1,5,,505004
1690,3,2,"Single",1969,"ForcedAir","Central",,,,,,460014
,4,,"Single",2001,,"Central",,4,3,5,,524976
1081,3,1,"Single",1947,"Wall",,,1,1,3,,354666
4008,5,3,"Single",2000,"ForcedAir","Central",,4,3,5,,577012
,4,,"Single",2002,,"Central",,6,8,9,,606090
1907,4,2,"Multiple",1985,"ForcedAir","Central",,2,1,5,,498274
2308,4,3,"Single",2019,,,,2,1,5,,635113
,3,,"Single",1968,,"Central",,2,3,3,,403749
1006,2,2,"Single",1984,"ForcedAir","Central",,2,3,3,,321625
1485,4,2,"Single",1956,"ForcedAir","Central",,2,3,3,,410085
2321,4,2,"Single",2005,,"Central",,1,1,3,,522974
2567,5,4,"Single",2019,,,,2,1,5,,663499
2501,4,3,"Single",1998,"ForcedAir","Central",,3,3,5,,518322
,4,,"Multiple",1970,,,,2,1,3,,635000
,2,,"Single",1949,"Electric","Central",,2,1,3,,414966
1241,3,2,"Single",1975,"ForcedAir","Central",,3,3,3,,460049
,4,,"Single",1993,,"Central",,3,1,5,,468310
,3,,"Townhouse",1985,"ForcedAir","Central",,2,1,3,,347723
2449,5,3,"Single",1977,"ForcedAir","Central",,3,3,3,,507659
,4,,"Single",1977,"ForcedAir","Central",,3,3,3,,485662
,4,,"Single",1986,,"Central",,3,3,5,,482672
1735,3,2,"Single",1993,"ForcedAir","Central",,3,3,5,,496963
2766,4,3,"Single",2019,,,,2,1,5,,609154
,3,,"Single",1989,,"Central",,2,3,3,,416100
1152,3,2,"Townhouse",1974,"ForcedAir","Central",,2,3,3,,305052
,4,,,,,,,3,3,5,,530971
1863,3,3,"Single",1977,"ForcedAir","Central",,2,3,3,,491118
1697,3,3,"Single",1992,,,,4,3,5,,465087
3211,3,3,"Single",1967,"ForcedAir","Central",,2,1,3,,513588
,6,,"Single",1997,,,,3,3,5,,661734
2033,4,3,"Single",2019,,,,2,1,5,,608707
1652,3,2,"Single",,,,,4,3,5,,565951
2478,4,3,"Single",2002,"ForcedAir","Central",,2,1,5,,568687
,3,,"Single",1981,,,,3,3,3,,447675
1983,3,2,"Single",2019,,,,2,3,3,,565786
,4,,"Single",1979,"ForcedAir","Central",,3,3,3,,453836
