RState,RCounty,WState,WCounty,Number,ME,start_year,end_year
California,Alameda County,California,Napa County,552,171.0,2006,2010
California,Alameda County,California,Sonoma County,829,225.0,2006,2010
California,Alameda County,California,Solano County,1774,320.0,2006,2010
California,Alameda County,California,Marin County,3711,406.0,2006,2010
California,Alameda County,California,San Mateo County,34369,1272.0,2006,2010
California,Alameda County,California,Contra Costa County,39883,1528.0,2006,2010
California,Alameda County,California,Santa Clara County,64696,1865.0,2006,2010
California,Alameda County,California,San Francisco County,71861,2017.0,2006,2010
California,Alameda County,California,Alameda County,468181,4506.0,2006,2010
California,Contra Costa County,California,Sonoma County,1040,202.0,2006,2010
California,Contra Costa County,California,Napa County,1328,271.0,2006,2010
California,Contra Costa County,California,Marin County,6850,763.0,2006,2010
California,Contra Costa County,California,Solano County,7442,659.0,2006,2010
California,Contra Costa County,California,San Mateo County,10040,695.0,2006,2010
California,Contra Costa County,California,Santa Clara County,11526,778.0,2006,2010
California,Contra Costa County,California,San Francisco County,47861,1741.0,2006,2010
California,Contra Costa County,California,Alameda County,92797,2340.0,2006,2010
California,Contra Costa County,California,Contra Costa County,280521,3420.0,2006,2010
California,Marin County,California,Napa County,419,161.0,2006,2010
California,Marin County,California,Solano County,640,169.0,2006,2010
California,Marin County,California,Santa Clara County,914,238.0,2006,2010
California,Marin County,California,San Mateo County,2016,344.0,2006,2010
California,Marin County,California,Contra Costa County,2357,312.0,2006,2010
California,Marin County,California,Sonoma County,4187,464.0,2006,2010
California,Marin County,California,Alameda County,4479,523.0,2006,2010
California,Marin County,California,San Francisco County,25931,1042.0,2006,2010
California,Marin County,California,Marin County,78950,1681.0,2006,2010
California,Napa County,California,Santa Clara County,278,118.0,2006,2010
California,Napa County,California,San Mateo County,321,106.0,2006,2010
California,Napa County,California,Marin County,932,228.0,2006,2010
California,Napa County,California,Alameda County,1271,265.0,2006,2010
California,Napa County,California,Contra Costa County,1576,226.0,2006,2010
California,Napa County,California,San Francisco County,1864,350.0,2006,2010
California,Napa County,California,Sonoma County,2177,386.0,2006,2010
California,Napa County,California,Solano County,4441,460.0,2006,2010
California,Napa County,California,Napa County,48424,1297.0,2006,2010
California,San Francisco County,California,Napa County,380,153.0,2006,2010
California,San Francisco County,California,Solano County,618,157.0,2006,2010
California,San Francisco County,California,Sonoma County,889,230.0,2006,2010
California,San Francisco County,California,Contra Costa County,4851,466.0,2006,2010
California,San Francisco County,California,Marin County,7412,773.0,2006,2010
California,San Francisco County,California,Santa Clara County,19087,1135.0,2006,2010
California,San Francisco County,California,Alameda County,22009,1012.0,2006,2010
California,San Francisco County,California,San Mateo County,43423,1628.0,2006,2010
California,San Francisco County,California,San Francisco County,330965,3078.0,2006,2010
California,San Mateo County,California,Napa County,50,37.0,2006,2010
California,San Mateo County,California,Solano County,320,128.0,2006,2010
California,San Mateo County,California,Sonoma County,411,139.0,2006,2010
California,San Mateo County,California,Marin County,1142,258.0,2006,2010
California,San Mateo County,California,Contra Costa County,1909,264.0,2006,2010
California,San Mateo County,California,Alameda County,13417,739.0,2006,2010
California,San Mateo County,California,Santa Clara County,50215,1559.0,2006,2010
California,San Mateo County,California,San Francisco County,75047,1554.0,2006,2010
California,San Mateo County,California,San Mateo County,204512,2185.0,2006,2010
California,Santa Clara County,California,Napa County,85,51.0,2006,2010
California,Santa Clara County,California,Sonoma County,349,131.0,2006,2010
