Year,County,Median Household Income,Median Household Income in Dollars LB 90%,Median Household Income in Dollars UB 90%,90% Confidence Interval
2017,Alameda County,95550,"$93,504 ","$97,596 ","$93,504 to $97,596"
2016,Alameda County,89472,"$87,862 ","$91,082 ","$87,862 to $91,082"
2015,Alameda County,81462,"$80,249 ","$82,675 ","$80,249 to $82,675"
2014,Alameda County,76996,"$75,788 ","$78,204 ","$75,788 to $78,204"
2013,Alameda County,72128,"$70,566 ","$73,690 ","$70,566 to $73,690"
2012,Alameda County,70209,"$68,893 ","$71,525 ","$68,893 to $71,525"
2011,Alameda County,67295,"$65,680 ","$68,910 ","$65,680 to $68,910"
2010,Alameda County,66937,"$65,510 ","$68,364 ","$65,510 to $68,364"
2009,Alameda County,68258,"$66,996 ","$69,521 ","$66,996 to $69,521"
2008,Alameda County,70217,"$68,667 ","$71,767 ","$68,667 to $71,767"
2007,Alameda County,68263,"$65,968 ","$70,558 ","$65,968 to $70,558"
2006,Alameda County,64285,"$62,843 ","$65,728 ","$62,843 to $65,728"
2017,Contra Costa County,95062,"$92,560 ","$97,564 ","$92,560 to $97,564"
2016,Contra Costa County,90920,"$89,413 ","$92,427 ","$89,413 to $92,427"
2015,Contra Costa County,83036,"$80,380 ","$85,692 ","$80,380 to $85,692"
2014,Contra Costa County,80338,"$78,400 ","$82,276 ","$78,400 to $82,276"
2013,Contra Costa County,78909,"$76,035 ","$81,783 ","$76,035 to $81,783"
2012,Contra Costa County,74208,"$72,512 ","$75,904 ","$72,512 to $75,904"
2011,Contra Costa County,74241,"$71,679 ","$76,803 ","$71,679 to $76,803"
2010,Contra Costa County,73678,"$71,878 ","$75,478 ","$71,878 to $75,478"
2009,Contra Costa County,75084,"$72,611 ","$77,558 ","$72,611 to $77,558"
2008,Contra Costa County,78469,"$76,334 ","$80,603 ","$76,334 to $80,603"
2007,Contra Costa County,76317,"$74,190 ","$78,444 ","$74,190 to $78,444"
2006,Contra Costa County,74058,"$71,822 ","$76,294 ","$71,822 to $76,294"
2017,Marin County,112735,"$107,137 ","$118,333 ","$107,137 to $118,333"
2016,Marin County,103488,"$98,224 ","$108,752 ","$98,224 to $108,752"
2015,Marin County,99868,"$95,541 ","$104,195 ","$95,541 to $104,195"
2014,Marin County,94549,"$88,283 ","$100,815 ","$88,283 to $100,815"
2013,Marin County,94347,"$89,659 ","$99,035 ","$89,659 to $99,035"
2012,Marin County,88654,"$84,146 ","$93,162 ","$84,146 to $93,162"
2011,Marin County,78470,"$74,282 ","$82,658 ","$74,282 to $82,658"
2010,Marin County,82383,"$77,154 ","$87,612 ","$77,154 to $87,612"
2009,Marin County,86658,"$81,257 ","$92,059 ","$81,257 to $92,059"
2008,Marin County,89909,"$84,791 ","$95,027 ","$84,791 to $95,027"
2007,Marin County,83910,"$79,669 ","$88,151 ","$79,669 to $88,151"
2006,Marin County,81305,"$77,986 ","$84,625 ","$77,986 to $84,625"
2017,Napa County,83881,"$79,865 ","$87,897 ","$79,865 to $87,897"
2016,Napa County,73112,"$67,483 ","$78,741 ","$67,483 to $78,741"
2015,Napa County,72683,"$68,588 ","$76,778 ","$68,588 to $76,778"
2014,Napa County,71063,"$66,853 ","$75,273 ","$66,853 to $75,273"
