Area Name,Forecast indicator,Month of Date,Lower Prediction Interval for Accurate rate,Upper Prediction Interval for Accurate rate,Accurate rate
San Francisco County,Actual,April 1990,,,0.034820991
San Francisco County,Actual,May-90,,,0.034423408
San Francisco County,Actual,Jun-90,,,0.035644531
San Francisco County,Actual,Jul-90,,,0.044604317
San Francisco County,Actual,Aug-90,,,0.042826034
San Francisco County,Actual,Sep-90,,,0.041277641
San Francisco County,Actual,Oct-90,,,0.038938915
San Francisco County,Actual,Nov-90,,,0.039254171
San Francisco County,Actual,Dec-90,,,0.037355616
San Francisco County,Actual,Jan-91,,,0.048931942
San Francisco County,Actual,Feb-91,,,0.051256531
San Francisco County,Actual,Mar-91,,,0.049364248
San Francisco County,Actual,April 1991,,,0.048270714
San Francisco County,Actual,May-91,,,0.051102204
San Francisco County,Actual,Jun-91,,,0.05515528
San Francisco County,Actual,Jul-91,,,0.059326172
San Francisco County,Actual,Aug-91,,,0.058895108
San Francisco County,Actual,Sep-91,,,0.058024691
San Francisco County,Actual,Oct-91,,,0.054674152
San Francisco County,Actual,Nov-91,,,0.05245098
San Francisco County,Actual,Dec-91,,,0.050465458
San Francisco County,Actual,Jan-92,,,0.063845583
San Francisco County,Actual,Feb-92,,,0.062998008
San Francisco County,Actual,Mar-92,,,0.064427861
San Francisco County,Actual,April 1992,,,0.063602484
San Francisco County,Actual,May-92,,,0.066766318
San Francisco County,Actual,Jun-92,,,0.072147239
San Francisco County,Actual,Jul-92,,,0.075229802
San Francisco County,Actual,Aug-92,,,0.074884513
San Francisco County,Actual,Sep-92,,,0.073991586
San Francisco County,Actual,Oct-92,,,0.066517746
San Francisco County,Actual,Nov-92,,,0.068148148
San Francisco County,Actual,Dec-92,,,0.063134439
San Francisco County,Actual,Jan-93,,,0.069715698
San Francisco County,Actual,Feb-93,,,0.069686411
San Francisco County,Actual,Mar-93,,,0.069982504
San Francisco County,Actual,April 1993,,,0.069709127
San Francisco County,Actual,May-93,,,0.068707991
San Francisco County,Actual,Jun-93,,,0.074722565
San Francisco County,Actual,Jul-93,,,0.077389617
