Area Name,Time,Rate
San Francisco County,Jan-90,0.036865234
San Francisco County,Feb-90,0.033586663
San Francisco County,Mar-90,0.032099975
San Francisco County,Apr-90,0.034820991
San Francisco County,May-90,0.034423408
San Francisco County,Jun-90,0.035644531
San Francisco County,Jul-90,0.044604317
San Francisco County,Aug-90,0.042826034
San Francisco County,Sep-90,0.041277641
San Francisco County,Oct-90,0.038938915
San Francisco County,Nov-90,0.039254171
San Francisco County,Dec-90,0.037355616
San Francisco County,Jan-91,0.048931942
San Francisco County,Feb-91,0.051256531
San Francisco County,Mar-91,0.049364248
San Francisco County,Apr-91,0.048270714
San Francisco County,May-91,0.051102204
San Francisco County,Jun-91,0.05515528
San Francisco County,Jul-91,0.059326172
San Francisco County,Aug-91,0.058895108
San Francisco County,Sep-91,0.058024691
San Francisco County,Oct-91,0.054674152
San Francisco County,Nov-91,0.05245098
San Francisco County,Dec-91,0.050465458
San Francisco County,Jan-92,0.063845583
San Francisco County,Feb-92,0.062998008
San Francisco County,Mar-92,0.064427861
San Francisco County,Apr-92,0.063602484
San Francisco County,May-92,0.066766318
San Francisco County,Jun-92,0.072147239
San Francisco County,Jul-92,0.075229802
San Francisco County,Aug-92,0.074884513
San Francisco County,Sep-92,0.073991586
San Francisco County,Oct-92,0.066517746
San Francisco County,Nov-92,0.068148148
San Francisco County,Dec-92,0.063134439
San Francisco County,Jan-93,0.069715698
San Francisco County,Feb-93,0.069686411
San Francisco County,Mar-93,0.069982504
San Francisco County,Apr-93,0.069709127
San Francisco County,May-93,0.068707991
San Francisco County,Jun-93,0.074722565
San Francisco County,Jul-93,0.077389617
San Francisco County,Aug-93,0.075219085
San Francisco County,Sep-93,0.072445972
San Francisco County,Oct-93,0.070145631
San Francisco County,Nov-93,0.066488066
San Francisco County,Dec-93,0.060679612
San Francisco County,Jan-94,0.072223596
San Francisco County,Feb-94,0.067859806
San Francisco County,Mar-94,0.066134265
San Francisco County,Apr-94,0.064847271
San Francisco County,May-94,0.060727729
San Francisco County,Jun-94,0.065713569
San Francisco County,Jul-94,0.070158103
San Francisco County,Aug-94,0.068837898
San Francisco County,Sep-94,0.064896016
San Francisco County,Oct-94,0.060703667
San Francisco County,Nov-94,0.054934129
San Francisco County,Dec-94,0.050284865
San Francisco County,Jan-95,0.059152069
San Francisco County,Feb-95,0.058089172
San Francisco County,Mar-95,0.058343949
San Francisco County,Apr-95,0.062165605
San Francisco County,May-95,0.060404402
San Francisco County,Jun-95,0.064812452
San Francisco County,Jul-95,0.069825436
San Francisco County,Aug-95,0.066281697
San Francisco County,Sep-95,0.063975628
San Francisco County,Oct-95,0.057668094
San Francisco County,Nov-95,0.053972257
San Francisco County,Dec-95,0.049192735
San Francisco County,Jan-96,0.057482907
San Francisco County,Feb-96,0.051314459
San Francisco County,Mar-96,0.049283379
San Francisco County,Apr-96,0.048755714
San Francisco County,May-96,0.048854962
San Francisco County,Jun-96,0.050012629
San Francisco County,Jul-96,0.055721393
San Francisco County,Aug-96,0.04931164
San Francisco County,Sep-96,0.046072508
San Francisco County,Oct-96,0.04241517
San Francisco County,Nov-96,0.040258449
San Francisco County,Dec-96,0.036413178
San Francisco County,Jan-97,0.042842992
San Francisco County,Feb-97,0.038986839
San Francisco County,Mar-97,0.039930983
San Francisco County,Apr-97,0.038537549
San Francisco County,May-97,0.038547072
San Francisco County,Jun-97,0.044215181
San Francisco County,Jul-97,0.04664723
San Francisco County,Aug-97,0.046116505
San Francisco County,Sep-97,0.044776119
San Francisco County,Oct-97,0.040291262
San Francisco County,Nov-97,0.036552893
San Francisco County,Dec-97,0.034282955
San Francisco County,Jan-98,0.038808885
San Francisco County,Feb-98,0.036350329
San Francisco County,Mar-98,0.03886325
San Francisco County,Apr-98,0.03425656
San Francisco County,May-98,0.034239922
San Francisco County,Jun-98,0.039584842
San Francisco County,Jul-98,0.041627022
San Francisco County,Aug-98,0.041108987
San Francisco County,Sep-98,0.039083233
San Francisco County,Oct-98,0.036118469
San Francisco County,Nov-98,0.032250301
San Francisco County,Dec-98,0.028871391
San Francisco County,Jan-99,0.034995206
San Francisco County,Feb-99,0.032358581
San Francisco County,Mar-99,0.031339713
San Francisco County,Apr-99,0.030222437
San Francisco County,May-99,0.027724204
San Francisco County,Jun-99,0.032590462
San Francisco County,Jul-99,0.035083532
San Francisco County,Aug-99,0.032998565
San Francisco County,Sep-99,0.030702806
San Francisco County,Oct-99,0.029016787
San Francisco County,Nov-99,0.026981853
San Francisco County,Dec-99,0.024142012
San Francisco County,Jan-00,0.035913978
San Francisco County,Feb-00,0.034100597
San Francisco County,Mar-00,0.035139712
San Francisco County,Apr-00,0.031529612
San Francisco County,May-00,0.032313289
San Francisco County,Jun-00,0.036856598
San Francisco County,Jul-00,0.037481575
San Francisco County,Aug-00,0.036749265
San Francisco County,Sep-00,0.033586819
San Francisco County,Oct-00,0.032528856
San Francisco County,Nov-00,0.03274927
San Francisco County,Dec-00,0.030101723
San Francisco County,Jan-01,0.038871473
San Francisco County,Feb-01,0.038597955
San Francisco County,Mar-01,0.041640641
San Francisco County,Apr-01,0.04239983
San Francisco County,May-01,0.042884574
San Francisco County,Jun-01,0.051096445
San Francisco County,Jul-01,0.053777209
San Francisco County,Aug-01,0.058304647
San Francisco County,Sep-01,0.056432432
San Francisco County,Oct-01,0.062823834
San Francisco County,Nov-01,0.064369311
San Francisco County,Dec-01,0.060652174
San Francisco County,Jan-02,0.071963028
San Francisco County,Feb-02,0.068806331
San Francisco County,Mar-02,0.069711008
San Francisco County,Apr-02,0.06816663
San Francisco County,May-02,0.064487237
San Francisco County,Jun-02,0.070933095
San Francisco County,Jul-02,0.071077336
San Francisco County,Aug-02,0.071077336
San Francisco County,Sep-02,0.068616423
San Francisco County,Oct-02,0.068283917
San Francisco County,Nov-02,0.067987393
San Francisco County,Dec-02,0.064937993
San Francisco County,Jan-03,0.071526196
San Francisco County,Feb-03,0.069146508
San Francisco County,Mar-03,0.070296347
San Francisco County,Apr-03,0.067238581
San Francisco County,May-03,0.064901593
San Francisco County,Jun-03,0.074453234
San Francisco County,Jul-03,0.070409357
San Francisco County,Aug-03,0.068149883
San Francisco County,Sep-03,0.064447592
San Francisco County,Oct-03,0.063177746
San Francisco County,Nov-03,0.062161526
San Francisco County,Dec-03,0.056132075
San Francisco County,Jan-04,0.063653573
San Francisco County,Feb-04,0.060455192
San Francisco County,Mar-04,0.063582444
San Francisco County,Apr-04,0.058696175
San Francisco County,May-04,0.054426705
San Francisco County,Jun-04,0.059134615
San Francisco County,Jul-04,0.059861674
San Francisco County,Aug-04,0.05734767
San Francisco County,Sep-04,0.052758371
San Francisco County,Oct-04,0.054028209
San Francisco County,Nov-04,0.057034221
San Francisco County,Dec-04,0.05009542
San Francisco County,Jan-05,0.054751568
San Francisco County,Feb-05,0.054243009
San Francisco County,Mar-05,0.053662074
San Francisco County,Apr-05,0.049307748
San Francisco County,May-05,0.046318869
San Francisco County,Jun-05,0.050921435
San Francisco County,Jul-05,0.051553842
San Francisco County,Aug-05,0.050180941
San Francisco County,Sep-05,0.04862119
San Francisco County,Oct-05,0.047584541
San Francisco County,Nov-05,0.04810249
San Francisco County,Dec-05,0.042222761
San Francisco County,Jan-06,0.045719844
San Francisco County,Feb-06,0.045829292
San Francisco County,Mar-06,0.044584444
San Francisco County,Apr-06,0.040806412
San Francisco County,May-06,0.039416058
San Francisco County,Jun-06,0.04308884
San Francisco County,Jul-06,0.045618247
San Francisco County,Aug-06,0.043613707
San Francisco County,Sep-06,0.040086414
San Francisco County,Oct-06,0.03829686
San Francisco County,Nov-06,0.039981074
San Francisco County,Dec-06,0.037325774
San Francisco County,Jan-07,0.04409706
San Francisco County,Feb-07,0.041598884
San Francisco County,Mar-07,0.042063677
San Francisco County,Apr-07,0.040084388
San Francisco County,May-07,0.038596491
San Francisco County,Jun-07,0.043427775
San Francisco County,Jul-07,0.04607978
San Francisco County,Aug-07,0.044889503
San Francisco County,Sep-07,0.042577675
San Francisco County,Oct-07,0.041991739
San Francisco County,Nov-07,0.042417332
San Francisco County,Dec-07,0.042057143
San Francisco County,Jan-08,0.045757441
San Francisco County,Feb-08,0.043323706
San Francisco County,Mar-08,0.046017699
San Francisco County,Apr-08,0.043103448
San Francisco County,May-08,0.04703025
San Francisco County,Jun-08,0.05281613
San Francisco County,Jul-08,0.056395851
San Francisco County,Aug-08,0.058275563
San Francisco County,Sep-08,0.055241409
San Francisco County,Oct-08,0.057538395
San Francisco County,Nov-08,0.060455038
San Francisco County,Dec-08,0.063663924
San Francisco County,Jan-09,0.076086957
San Francisco County,Feb-09,0.079089924
San Francisco County,Mar-09,0.083929733
San Francisco County,Apr-09,0.081045752
San Francisco County,May-09,0.083954406
