Time,Rate
28-Nov-99,5.3
26-Dec-99,5.45
30-Jan-00,5.73
27-Feb-00,5.85
26-Mar-00,6.02
30-Apr-00,6.27
28-May-00,6.53
25-Jun-00,6.54
30-Jul-00,6.5
27-Aug-00,6.52
1-Oct-00,6.51
29-Oct-00,6.51
26-Nov-00,6.4
31-Dec-00,5.98
28-Jan-01,5.49
25-Feb-01,5.31
1-Apr-01,4.8
29-Apr-01,4.21
27-May-01,3.97
1-Jul-01,3.77
29-Jul-01,3.65
26-Aug-01,3.07
30-Sep-01,2.49
28-Oct-01,2.09
25-Nov-01,1.82
30-Dec-01,1.73
27-Jan-02,1.74
24-Feb-02,1.73
31-Mar-02,1.75
28-Apr-02,1.75
26-May-02,1.75
30-Jun-02,1.73
28-Jul-02,1.74
1-Sep-02,1.75
29-Sep-02,1.75
27-Oct-02,1.34
1-Dec-02,1.24
29-Dec-02,1.24
26-Jan-03,1.26
23-Feb-03,1.25
30-Mar-03,1.26
27-Apr-03,1.26
1-Jun-03,1.22
29-Jun-03,1.01
27-Jul-03,1.03
31-Aug-03,1.01
28-Sep-03,1.01
26-Oct-03,1
30-Nov-03,0.98
28-Dec-03,1
1-Feb-04,1.01
29-Feb-04,1
28-Mar-04,1
25-Apr-04,1
30-May-04,1.03
27-Jun-04,1.26
1-Aug-04,1.43
29-Aug-04,1.61
26-Sep-04,1.76
31-Oct-04,1.93
28-Nov-04,2.16
26-Dec-04,2.28
30-Jan-05,2.5
27-Feb-05,2.63
27-Mar-05,2.79
1-May-05,3
29-May-05,3.04
26-Jun-05,3.26
31-Jul-05,3.5
28-Aug-05,3.62
25-Sep-05,3.78
30-Oct-05,4
27-Nov-05,4.16
1-Jan-06,4.29
29-Jan-06,4.49
26-Feb-06,4.59
26-Mar-06,4.79
30-Apr-06,4.94
28-May-06,4.99
25-Jun-06,5.24
30-Jul-06,5.25
27-Aug-06,5.25
1-Oct-06,5.25
29-Oct-06,5.25
26-Nov-06,5.24
31-Dec-06,5.25
28-Jan-07,5.26
25-Feb-07,5.26
1-Apr-07,5.25
29-Apr-07,5.25
27-May-07,5.25
1-Jul-07,5.26
29-Jul-07,5.02
26-Aug-07,4.94
30-Sep-07,4.76
28-Oct-07,4.49
25-Nov-07,4.24
30-Dec-07,3.94
27-Jan-08,2.98
24-Feb-08,2.61
30-Mar-08,2.28
27-Apr-08,1.98
1-Jun-08,2
29-Jun-08,2.01
27-Jul-08,2
31-Aug-08,1.81
28-Sep-08,0.97
26-Oct-08,0.39
30-Nov-08,0.16
28-Dec-08,0.15
1-Feb-09,0.22
1-Mar-09,0.18
29-Mar-09,0.15
26-Apr-09,0.18
31-May-09,0.21
28-Jun-09,0.16
26-Jul-09,0.16
30-Aug-09,0.15
27-Sep-09,0.12
1-Nov-09,0.12
29-Nov-09,0.12
27-Dec-09,0.11
31-Jan-10,0.13
28-Feb-10,0.16
28-Mar-10,0.2
25-Apr-10,0.2
30-May-10,0.18
27-Jun-10,0.18
1-Aug-10,0.19
29-Aug-10,0.19
26-Sep-10,0.19
31-Oct-10,0.19
28-Nov-10,0.18
26-Dec-10,0.17
30-Jan-11,0.16
27-Feb-11,0.14
27-Mar-11,0.1
1-May-11,0.09
29-May-11,0.09
26-Jun-11,0.07
31-Jul-11,0.1
28-Aug-11,0.08
25-Sep-11,0.07
30-Oct-11,0.08
27-Nov-11,0.07
1-Jan-12,0.08
29-Jan-12,0.1
26-Feb-12,0.13
1-Apr-12,0.14
29-Apr-12,0.16
27-May-12,0.16
1-Jul-12,0.16
29-Jul-12,0.13
26-Aug-12,0.14
30-Sep-12,0.16
28-Oct-12,0.16
25-Nov-12,0.16
30-Dec-12,0.14
27-Jan-13,0.15
24-Feb-13,0.14
31-Mar-13,0.15
28-Apr-13,0.11
26-May-13,0.09
30-Jun-13,0.09
28-Jul-13,0.08
1-Sep-13,0.08
29-Sep-13,0.09
27-Oct-13,0.08
1-Dec-13,0.09
29-Dec-13,0.07
26-Jan-14,0.07
23-Feb-14,0.08
30-Mar-14,0.09
27-Apr-14,0.09
1-Jun-14,0.1
29-Jun-14,0.09
27-Jul-14,0.09
31-Aug-14,0.09
28-Sep-14,0.09
26-Oct-14,0.09
30-Nov-14,0.12
28-Dec-14,0.11
1-Feb-15,0.11
1-Mar-15,0.11
29-Mar-15,0.12
26-Apr-15,0.12
31-May-15,0.13
28-Jun-15,0.13
26-Jul-15,0.14
30-Aug-15,0.14
27-Sep-15,0.12
1-Nov-15,0.12
29-Nov-15,0.24
27-Dec-15,0.34
31-Jan-16,0.38
28-Feb-16,0.36
27-Mar-16,0.37
1-May-16,0.37
29-May-16,0.38
26-Jun-16,0.39
31-Jul-16,0.4
28-Aug-16,0.4
25-Sep-16,0.4
30-Oct-16,0.41
27-Nov-16,0.54
1-Jan-17,0.65
29-Jan-17,0.66
26-Feb-17,0.79
26-Mar-17,0.9
30-Apr-17,0.91
28-May-17,1.04
25-Jun-17,1.15
30-Jul-17,1.16
27-Aug-17,1.15
1-Oct-17,1.15
29-Oct-17,1.16
26-Nov-17,1.3
31-Dec-17,1.41
28-Jan-18,1.42
25-Feb-18,1.51
1-Apr-18,1.69
29-Apr-18,1.7
27-May-18,1.82
1-Jul-18,1.91
29-Jul-18,1.91
26-Aug-18,1.95
30-Sep-18,2.19
28-Oct-18,2.2
25-Nov-18,2.27
30-Dec-18,2.4
27-Jan-19,2.4
24-Feb-19,2.41
31-Mar-19,2.42
28-Apr-19,2.39
26-May-19,2.38
30-Jun-19,2.4
28-Jul-19,2.13
1-Sep-19,2.04
29-Sep-19,1.83
